c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN	BE_AgMNN	CPS_AgMNN
301.11	1185.5	4367.46
301.21	1185.4	4429.07
301.31	1185.3	4371.54
301.41	1185.2	4349.21
301.51	1185.1	4344.14
301.61	1185	4390.54
301.71	1184.9	4376.25
301.81	1184.8	4326.61
301.91	1184.7	4356.57
302.01	1184.6	4326.71
302.11	1184.5	4314.29
302.21	1184.4	4334.04
302.31	1184.3	4270.11
302.41	1184.2	4287.71
302.51	1184.1	4339.32
302.61	1184	4267.07
302.71	1183.9	4251.61
302.81	1183.8	4304.54
302.91	1183.7	4275.46
303.01	1183.6	4228.79
303.11	1183.5	4248.46
303.21	1183.4	4245.14
303.31	1183.3	4258.61
303.41	1183.2	4175.75
303.51	1183.1	4203.79
303.61	1183	4226.07
303.71	1182.9	4212.75
303.81	1182.8	4221.61
303.91	1182.7	4257.79
304.01	1182.6	4202.39
304.11	1182.5	4205.75
304.21	1182.4	4204.96
304.31	1182.3	4221.54
304.41	1182.2	4266.86
304.51	1182.1	4234.14
304.61	1182	4116.25
304.71	1181.9	4120.18
304.81	1181.8	4162.46
304.91	1181.7	4097.5
305.01	1181.6	4102.07
305.11	1181.5	4103.32
305.21	1181.4	4077.5
305.31	1181.3	4098.86
305.41	1181.2	4107.79
305.51	1181.1	4069.61
305.61	1181	4063.25
305.71	1180.9	4100.21
305.81	1180.8	4076.21
305.91	1180.7	4073.61
306.01	1180.6	4047.43
306.11	1180.5	4034.68
306.21	1180.4	4062.07
306.31	1180.3	4041.11
306.41	1180.2	4022.39
306.51	1180.1	4019.68
306.61	1180	4061.71
306.71	1179.9	4011.79
306.81	1179.8	4028.71
306.91	1179.7	3999.61
307.01	1179.6	3960.89
307.11	1179.5	3955.93
307.21	1179.4	4022.14
307.31	1179.3	3988.21
307.41	1179.2	3929.36
307.51	1179.1	3913.11
307.61	1179	3994.25
307.71	1178.9	3996.89
307.81	1178.8	3943.71
307.91	1178.7	3934.93
308.01	1178.6	3973.68
308.11	1178.5	3937.46
308.21	1178.4	3962.5
308.31	1178.3	3947.75
308.41	1178.2	3952.46
308.51	1178.1	3925.43
308.61	1178	3928.68
308.71	1177.9	3856.79
308.81	1177.8	3912.39
308.91	1177.7	3881.75
309.01	1177.6	3830.54
309.11	1177.5	3844.29
309.21	1177.4	3831.89
309.31	1177.3	3870.68
309.41	1177.2	3860.61
309.51	1177.1	3809
309.61	1177	3836.32
309.71	1176.9	3814.5
309.81	1176.8	3834.14
309.91	1176.7	3808.64
310.01	1176.6	3790.86
310.11	1176.5	3831.54
310.21	1176.4	3836.14
310.31	1176.3	3834.25
310.41	1176.2	3774.57
