c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
728.21	758.4	2914.53
728.31	758.3	3086.81
728.41	758.2	3056.82
728.51	758.1	3160.52
728.61	758	3148.76
728.71	757.9	3025.06
728.81	757.8	3097.45
728.91	757.7	2979.36
729.01	757.6	2888.61
729.11	757.5	3057.49
729.21	757.4	2968.07
729.31	757.3	3033.97
729.41	757.2	3112.92
729.51	757.1	3066.16
729.61	757	3055.32
729.71	756.9	3025.29
729.81	756.8	2972.12
729.91	756.7	2993.99
730.01	756.6	3023.02
730.11	756.5	3148.04
730.21	756.4	2995.36
730.31	756.3	3045.55
730.41	756.2	2972.31
730.51	756.1	2998.79
730.61	756	3069.43
730.71	755.9	3057.21
730.81	755.8	3056.92
730.91	755.7	2979.75
731.01	755.6	2974.1
731.11	755.5	3016.55
731.21	755.4	2967.25
731.31	755.3	3100.59
731.41	755.2	3046.28
731.51	755.1	2962.65
731.61	755	3047.98
731.71	754.9	3084.62
731.81	754.8	3173.97
731.91	754.7	3154.11
732.01	754.6	3064.91
732.11	754.5	3128.54
732.21	754.4	3075.34
732.31	754.3	2953.28
732.41	754.2	3015.52
732.51	754.1	3099.58
732.61	754	3098.98
732.71	753.9	3100.61
732.81	753.8	3104.96
732.91	753.7	3178.42
733.01	753.6	3127.48
733.11	753.5	3068.59
733.21	753.4	3199.18
733.31	753.3	2957.55
733.41	753.2	3035.9
733.51	753.1	3123.75
733.61	753	3200.47
733.71	752.9	3063.1
733.81	752.8	3174.75
733.91	752.7	3219.05
734.01	752.6	3038.62
734.11	752.5	3059.19
734.21	752.4	3234.8
734.31	752.3	3220.19
734.41	752.2	3089.18
734.51	752.1	3121.13
734.61	752	3111.04
734.71	751.9	3100.33
734.81	751.8	3092.89
734.91	751.7	3170.62
735.01	751.6	3196.41
735.11	751.5	3154.52
735.21	751.4	3249.38
735.31	751.3	3150.79
735.41	751.2	3070.33
735.51	751.1	3177.04
735.61	751	3094.96
735.71	750.9	3161.69
735.81	750.8	3157.57
735.91	750.7	3125.26
736.01	750.6	3119.99
736.11	750.5	3208.39
736.21	750.4	3069.55
736.31	750.3	3077
736.41	750.2	3138.39
736.51	750.1	3007.12
736.61	750	3141.91
736.71	749.9	3131.82
736.81	749.8	3156.4
736.91	749.7	3115.76
737.01	749.6	3096.13
737.11	749.5	3201.17
737.21	749.4	3140.38
737.31	749.3	3216.52
737.41	749.2	3174.85
737.51	749.1	3220.51
737.61	749	3124.44
737.71	748.9	3091.54
737.81	748.8	3367.3
737.91	748.7	3247.08
738.01	748.6	3244.74
738.11	748.5	3238.15
738.21	748.4	3149.24
738.31	748.3	3257.04
738.41	748.2	3162.92
738.51	748.1	3074.05
738.61	748	3222.46
738.71	747.9	3194.77
738.81	747.8	3229.1
738.91	747.7	3100.79
739.01	747.6	3149.93
739.11	747.5	3245.67
739.21	747.4	3308.18
739.31	747.3	3203.89
739.41	747.2	3104.47
739.51	747.1	3068.32
739.61	747	3237.55
739.71	746.9	3217.98
739.81	746.8	3207.54
739.91	746.7	3291.52
740.01	746.6	3146.58
740.11	746.5	3141.58
740.21	746.4	3181.25
740.31	746.3	3278.59
740.41	746.2	3167.51
740.51	746.1	3238.56
740.61	746	3236.75
740.71	745.9	3231.18
740.81	745.8	3226.25
740.91	745.7	3209.27
741.01	745.6	3384.97
741.11	745.5	3259.99
741.21	745.4	3276.89
741.31	745.3	3318.68
741.41	745.2	3362.95
741.51	745.1	3305.42
741.61	745	3265.34
741.71	744.9	3264.52
741.81	744.8	3254.23
741.91	744.7	3287.87
742.01	744.6	3231.24
742.11	744.5	3210.03
742.21	744.4	3266.29
742.31	744.3	3259.15
742.41	744.2	3332.98
742.51	744.1	3196.99
742.61	744	3298.49
742.71	743.9	3268.1
742.81	743.8	3261.04
742.91	743.7	3239.49
743.01	743.6	3252.18
743.11	743.5	3255.77
743.21	743.4	3262.05
743.31	743.3	3337.71
743.41	743.2	3314.88
743.51	743.1	3373.42
743.61	743	3334.39
743.71	742.9	3190
743.81	742.8	3215.8
743.91	742.7	3332.72
744.01	742.6	3207.92
744.11	742.5	3226.66
744.21	742.4	3251.49
744.31	742.3	3270.6
744.41	742.2	3223.01
744.51	742.1	3172.41
744.61	742	3193.15
744.71	741.9	3097.83
744.81	741.8	3312.55
744.91	741.7	3276.72
745.01	741.6	3312.18
745.11	741.5	3299.59
745.21	741.4	3216.31
745.31	741.3	3273.79
745.41	741.2	3486.15
745.51	741.1	3339.29
745.61	741	3377.56
745.71	740.9	3293.64
745.81	740.8	3359.12
745.91	740.7	3261.09
746.01	740.6	3270.45
746.11	740.5	3372.65
746.21	740.4	3306.53
746.31	740.3	3344.67
746.41	740.2	3408.56
746.51	740.1	3355.33
746.61	740	3382.27
746.71	739.9	3388.91
746.81	739.8	3416.84
746.91	739.7	3374.94
747.01	739.6	3388.07
747.11	739.5	3380.62
747.21	739.4	3297.2
747.31	739.3	3280.44
747.41	739.2	3472.77
747.51	739.1	3283.79
747.61	739	3455.99
747.71	738.9	3327.01
747.81	738.8	3246.04
747.91	738.7	3309.62
748.01	738.6	3240.61
748.11	738.5	3374.65
748.21	738.4	3377.76
748.31	738.3	3531.31
748.41	738.2	3445.55
748.51	738.1	3307.89
748.61	738	3314.94
748.71	737.9	3345.56
748.81	737.8	3359.59
748.91	737.7	3294.39
749.01	737.6	3314.88
749.11	737.5	3360.78
749.21	737.4	3318.93
749.31	737.3	3323.89
749.41	737.2	3303.38
749.51	737.1	3491.97
749.61	737	3483.4
749.71	736.9	3313.9
749.81	736.8	3199.08
749.91	736.7	3412.02
750.01	736.6	3491.31
750.11	736.5	3506.45
750.21	736.4	3331.22
750.31	736.3	3504.48
750.41	736.2	3404.49
750.51	736.1	3298.99
750.61	736	3259.32
750.71	735.9	3376.35
750.81	735.8	3343.66
750.91	735.7	3337.34
751.01	735.6	3409.17
751.11	735.5	3465.17
751.21	735.4	3487.65
751.31	735.3	3341.12
751.41	735.2	3441.03
751.51	735.1	3456.79
751.61	735	3477.33
751.71	734.9	3445.24
751.81	734.8	3327.25
751.91	734.7	3393.89
752.01	734.6	3405.67
752.11	734.5	3367.28
752.21	734.4	3348.51
752.31	734.3	3360.66
752.41	734.2	3373.08
752.51	734.1	3423.24
752.61	734	3403.56
752.71	733.9	3404.6
752.81	733.8	3353.3
752.91	733.7	3321.77
753.01	733.6	3362.23
753.11	733.5	3497.45
753.21	733.4	3416.82
753.31	733.3	3312.18
753.41	733.2	3346.86
753.51	733.1	3364.68
753.61	733	3452.36
753.71	732.9	3548.01
753.81	732.8	3450.53
753.91	732.7	3492.73
754.01	732.6	3545.22
754.11	732.5	3485.94
754.21	732.4	3455.57
754.31	732.3	3356.92
754.41	732.2	3457.87
754.51	732.1	3528.12
754.61	732	3447.99
754.71	731.9	3542.03
754.81	731.8	3447.61
754.91	731.7	3501.96
755.01	731.6	3487.51
755.11	731.5	3451.57
755.21	731.4	3385.99
755.31	731.3	3457.68
755.41	731.2	3653.86
755.51	731.1	3568.23
755.61	731	3478.75
755.71	730.9	3431.92
755.81	730.8	3502
755.91	730.7	3500.06
756.01	730.6	3633.48
756.11	730.5	3501.44
756.21	730.4	3468.45
756.31	730.3	3484.79
756.41	730.2	3512.09
756.51	730.1	3486.83
756.61	730	3582.32
756.71	729.9	3590.75
