c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN
295.81	1190.8	9593.34
295.91	1190.7	9624.35
296.01	1190.6	9432.49
296.11	1190.5	9442.94
296.21	1190.4	9477.26
296.31	1190.3	9499.08
296.41	1190.2	9431.09
296.51	1190.1	9460.27
296.61	1190	9442.21
296.71	1189.9	9355.93
296.81	1189.8	9371.39
296.91	1189.7	9498.35
297.01	1189.6	9335.6
297.11	1189.5	9437.59
297.21	1189.4	9436.82
297.31	1189.3	9331.02
297.41	1189.2	9363.98
297.51	1189.1	9489.15
297.61	1189	9501.58
297.71	1188.9	9420.16
297.81	1188.8	9507.74
297.91	1188.7	9333.65
298.01	1188.6	9314.25
298.11	1188.5	9394.02
298.21	1188.4	9376.8
298.31	1188.3	9458.12
298.41	1188.2	9437.01
298.51	1188.1	9275.62
298.61	1188	9351.9
298.71	1187.9	9353.48
298.81	1187.8	9290.88
298.91	1187.7	9220.18
299.01	1187.6	9191.25
299.11	1187.5	9126.68
299.21	1187.4	9140.84
299.31	1187.3	9219.82
299.41	1187.2	9157.36
299.51	1187.1	9294.17
299.61	1187	9277.35
299.71	1186.9	9180.75
299.81	1186.8	9222.5
299.91	1186.7	9210.62
300.01	1186.6	9242.72
300.11	1186.5	9074.13
300.21	1186.4	9133.16
300.31	1186.3	9173.99
300.41	1186.2	9227.14
300.51	1186.1	9201.9
300.61	1186	9252.28
300.71	1185.9	9237.04
300.81	1185.8	9239.14
300.91	1185.7	9168.36
301.01	1185.6	9194.92
301.11	1185.5	9077.08
301.21	1185.4	8909.66
301.31	1185.3	8923.63
301.41	1185.2	8881.9
301.51	1185.1	9086.78
301.61	1185	9049.89
301.71	1184.9	8994.29
301.81	1184.8	8948.6
301.91	1184.7	8903.8
302.01	1184.6	8921.37
302.11	1184.5	8897.5
302.21	1184.4	8835.38
302.31	1184.3	8850.69
302.41	1184.2	8858.84
302.51	1184.1	8671.51
302.61	1184	8703.19
302.71	1183.9	8597.03
302.81	1183.8	8608.18
302.91	1183.7	8375.38
303.01	1183.6	8546.49
303.11	1183.5	8484.98
303.21	1183.4	8500.08
303.31	1183.3	8469.38
303.41	1183.2	8567.95
303.51	1183.1	8576.98
303.61	1183	8533.4
303.71	1182.9	8516.32
303.81	1182.8	8417.57
303.91	1182.7	8207.34
304.01	1182.6	8258.96
304.11	1182.5	8191
304.21	1182.4	8259.64
304.31	1182.3	8237.71
304.41	1182.2	8155.93
304.51	1182.1	8180.59
304.61	1182	7999.18
304.71	1181.9	8046.94
304.81	1181.8	8195.18
304.91	1181.7	8067.45
305.01	1181.6	8086.04
305.11	1181.5	7969.46
305.21	1181.4	7965
305.31	1181.3	8041.15
305.41	1181.2	8021.65
305.51	1181.1	7835.5
305.61	1181	8048.44
305.71	1180.9	7981.81
305.81	1180.8	7898.48
305.91	1180.7	7842.58
306.01	1180.6	7656.15
306.11	1180.5	7720.89
306.21	1180.4	7737.94
306.31	1180.3	7712.51
306.41	1180.2	7741.28
306.51	1180.1	7759.01
306.61	1180	7664.72
306.71	1179.9	7527.46
306.81	1179.8	7539.94
306.91	1179.7	7589.81
307.01	1179.6	7601.6
307.11	1179.5	7492.86
307.21	1179.4	7566.32
307.31	1179.3	7522.77
307.41	1179.2	7433.17
307.51	1179.1	7337.01
307.61	1179	7372.74
307.71	1178.9	7269.01
307.81	1178.8	7366.94
307.91	1178.7	7452.18
308.01	1178.6	7252.27
308.11	1178.5	7343.79
308.21	1178.4	7457.63
308.31	1178.3	7188.69
308.41	1178.2	7054.84
308.51	1178.1	7093.1
308.61	1178	7082.26
308.71	1177.9	7142.11
308.81	1177.8	7035.4
308.91	1177.7	7026.05
309.01	1177.6	7055.74
309.11	1177.5	7039.54
309.21	1177.4	6871.65
309.31	1177.3	6935.84
309.41	1177.2	6893.12
309.51	1177.1	6968.3
309.61	1177	6985.47
309.71	1176.9	6973.28
309.81	1176.8	6840.76
309.91	1176.7	6909.27
310.01	1176.6	6753.67
310.11	1176.5	6823.03
310.21	1176.4	6845.4
310.31	1176.3	6831.89
310.41	1176.2	6935.17
310.51	1176.1	6817.83
310.61	1176	6753.67
310.71	1175.9	6754.92
310.81	1175.8	6791.51
310.91	1175.7	6709.26
311.01	1175.6	6751.82
311.11	1175.5	6750.62
311.21	1175.4	6711.33
311.31	1175.3	6644.05
311.41	1175.2	6558.97
311.51	1175.1	6626.76
311.61	1175	6639.29
311.71	1174.9	6562.34
311.81	1174.8	6647.75
311.91	1174.7	6523.3
312.01	1174.6	6472.45
312.11	1174.5	6566.5
312.21	1174.4	6480.55
312.31	1174.3	6553.88
312.41	1174.2	6528.83
312.51	1174.1	6561.55
312.61	1174	6536.25
312.71	1173.9	6589.14
312.81	1173.8	6484.61
312.91	1173.7	6547.3
313.01	1173.6	6487.28
313.11	1173.5	6536.61
313.21	1173.4	6524.02
313.31	1173.3	6456.32
313.41	1173.2	6335.11
313.51	1173.1	6429.14
313.61	1173	6494.57
313.71	1172.9	6253.93
313.81	1172.8	6400.05
313.91	1172.7	6387.03
314.01	1172.6	6348.13
314.11	1172.5	6462.86
314.21	1172.4	6393.71
314.31	1172.3	6450.37
314.41	1172.2	6395.38
314.51	1172.1	6370.87
314.61	1172	6420.22
314.71	1171.9	6419.33
314.81	1171.8	6406.26
314.91	1171.7	6343.59
315.01	1171.6	6320.29
315.11	1171.5	6362.65
315.21	1171.4	6381.9
315.31	1171.3	6405.11
315.41	1171.2	6305.02
315.51	1171.1	6306.06
315.61	1171	6451.21
315.71	1170.9	6246.75
315.81	1170.8	6304.58
315.91	1170.7	6371.76
316.01	1170.6	6322.4
316.11	1170.5	6265.29
316.21	1170.4	6316.22
316.31	1170.3	6330.07
316.41	1170.2	6337.37
316.51	1170.1	6386.45
316.61	1170	6328.11
316.71	1169.9	6361.49
316.81	1169.8	6194.49
316.91	1169.7	6279.31
317.01	1169.6	6327.14
317.11	1169.5	6226.49
317.21	1169.4	6247.44
317.31	1169.3	6254.34
317.41	1169.2	6231.65
317.51	1169.1	6322.09
317.61	1169	6287.67
317.71	1168.9	6177.53
317.81	1168.8	6221.02
317.91	1168.7	6272.09
318.01	1168.6	6185.94
318.11	1168.5	6270.4
318.21	1168.4	6256.4
318.31	1168.3	6266.13
318.41	1168.2	6279.86
318.51	1168.1	6272.43
318.61	1168	6167.41
318.71	1167.9	6334.3
318.81	1167.8	6411.07
318.91	1167.7	6378.37
319.01	1167.6	6379.98
319.11	1167.5	6359.37
319.21	1167.4	6261.83
319.31	1167.3	6333.91
319.41	1167.2	6273.81
319.51	1167.1	6372.67
319.61	1167	6280.21
319.71	1166.9	6269.35
319.81	1166.8	6204.94
319.91	1166.7	6274.93
320.01	1166.6	6398.23
320.11	1166.5	6235.2
320.21	1166.4	6211.91
320.31	1166.3	6270.45
320.41	1166.2	6176.23
320.51	1166.1	6191.92
320.61	1166	6285.43
320.71	1165.9	6354.8
320.81	1165.8	6374.89
320.91	1165.7	6339
321.01	1165.6	6310.78
321.11	1165.5	6389.19
321.21	1165.4	6329.92
321.31	1165.3	6273.99
321.41	1165.2	6178.25
321.51	1165.1	6089.65
321.61	1165	6408.41
321.71	1164.9	6298.14
321.81	1164.8	6384.65
321.91	1164.7	6201.93
322.01	1164.6	6325.67
322.11	1164.5	6254.63
322.21	1164.4	6348.57
322.31	1164.3	6229.83
322.41	1164.2	6187.23
322.51	1164.1	6223.12
322.61	1164	6426.11
322.71	1163.9	6320.88
322.81	1163.8	6326.33
322.91	1163.7	6444.3
323.01	1163.6	6388.4
323.11	1163.5	6324.7
323.21	1163.4	6280.28
