c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
750.01	736.6	2743.25
750.11	736.5	2708.2
750.21	736.4	2758.85
750.31	736.3	2683.24
750.41	736.2	2720.96
750.51	736.1	2743.13
750.61	736	2737.97
750.71	735.9	2700.06
750.81	735.8	2720.08
750.91	735.7	2694.84
751.01	735.6	2676.9
751.11	735.5	2711.22
751.21	735.4	2703.87
751.31	735.3	2751.85
751.41	735.2	2762.31
751.51	735.1	2699.63
751.61	735	2711.46
751.71	734.9	2767.48
751.81	734.8	2763.76
751.91	734.7	2670.08
752.01	734.6	2763.39
752.11	734.5	2715.41
752.21	734.4	2702.99
752.31	734.3	2717.93
752.41	734.2	2731.54
752.51	734.1	2706.34
752.61	734	2723.25
752.71	733.9	2714.71
752.81	733.8	2711.39
752.91	733.7	2681.78
753.01	733.6	2743.21
753.11	733.5	2710.37
753.21	733.4	2684.24
753.31	733.3	2721.85
753.41	733.2	2695.02
753.51	733.1	2723.26
753.61	733	2680.5
753.71	732.9	2722.81
753.81	732.8	2721.35
753.91	732.7	2773.77
754.01	732.6	2737.75
754.11	732.5	2715.07
754.21	732.4	2656.56
754.31	732.3	2773.65
754.41	732.2	2729.26
754.51	732.1	2726.24
754.61	732	2782.7
754.71	731.9	2801.09
754.81	731.8	2821.07
754.91	731.7	2789.01
755.01	731.6	2762.32
755.11	731.5	2750.75
755.21	731.4	2847.06
755.31	731.3	2706.67
755.41	731.2	2758.02
755.51	731.1	2803.77
755.61	731	2768.94
755.71	730.9	2775.14
755.81	730.8	2764.93
755.91	730.7	2754.54
756.01	730.6	2768.63
756.11	730.5	2754.94
756.21	730.4	2722.36
756.31	730.3	2747.78
756.41	730.2	2752.68
756.51	730.1	2762.4
756.61	730	2751.64
756.71	729.9	2759.13
756.81	729.8	2695.33
756.91	729.7	2702.01
757.01	729.6	2741.21
757.11	729.5	2771.34
757.21	729.4	2778.8
757.31	729.3	2797.96
757.41	729.2	2748.05
757.51	729.1	2813.17
757.61	729	2713.66
757.71	728.9	2762.86
757.81	728.8	2787.73
757.91	728.7	2837.52
758.01	728.6	2804.12
758.11	728.5	2843.69
758.21	728.4	2777.81
758.31	728.3	2788.98
758.41	728.2	2798.25
758.51	728.1	2792.41
758.61	728	2856.6
