EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
721.11	765.5	14152.8
721.61	765	15070.1
722.11	764.5	15210.5
722.61	764	15424.4
723.11	763.5	15567.2
723.61	763	15716.9
724.11	762.5	15928.2
724.61	762	16319.8
725.11	761.5	15938.8
725.61	761	16101.3
726.11	760.5	15925.6
726.61	760	15326.7
727.11	759.5	14834
727.61	759	14480.4
728.11	758.5	14054.5
728.61	758	13576.2
729.11	757.5	13517.2
729.61	757	13060.7
730.11	756.5	12653.3
730.61	756	12440.5
731.11	755.5	12497.2
731.61	755	12129.4
732.11	754.5	11915.1
732.61	754	11431.3
733.11	753.5	11059.3
733.61	753	11646.6
734.11	752.5	11729.3
734.61	752	11471.1
735.11	751.5	11369.8
735.61	751	10799.5
736.11	750.5	10791.9
736.61	750	10757.9
737.11	749.5	10841.5
737.61	749	10945.3
738.11	748.5	10770
738.61	748	10569
739.11	747.5	10808.2
739.61	747	10911.6
740.11	746.5	10616.7
740.61	746	10711.1
741.11	745.5	10503.9
741.61	745	10386.2
742.11	744.5	10775.6
742.61	744	10785.7
743.11	743.5	10425.1
743.61	743	10890.5
744.11	742.5	10686.2
744.61	742	10551.9
745.11	741.5	10441
745.61	741	10421.7
746.11	740.5	10606.4
746.61	740	10466.7
747.11	739.5	10529
747.61	739	10484.7
748.11	738.5	10504.9
748.61	738	10755.5
749.11	737.5	10648.3
749.61	737	10237.1
750.11	736.5	10176.4
750.61	736	10615.3
751.11	735.5	10563.7
751.61	735	10545.2
752.11	734.5	10598.7
752.61	734	10227.6
753.11	733.5	10865.8
753.61	733	10527.2
754.11	732.5	10635.3
754.61	732	10586.6
755.11	731.5	10610.8
755.61	731	10810.8
756.11	730.5	10876
756.61	730	10775.8
757.11	729.5	10820.5
757.61	729	11033.4
758.11	728.5	10752.1
758.61	728	10921.8
759.11	727.5	10901.1
759.61	727	11182.7
760.11	726.5	11173.4
760.61	726	11058.8
761.11	725.5	10741.5
761.61	725	10933.5
762.11	724.5	10611.1
762.61	724	10930.2
763.11	723.5	10891.5
763.61	723	10921.5
764.11	722.5	10915.5
764.61	722	11158.6
765.11	721.5	11107
765.61	721	11215.8
766.11	720.5	11033.7
766.61	720	11174.9
767.11	719.5	10824.6
767.61	719	10699.7
768.11	718.5	10995.1
768.61	718	11207
769.11	717.5	10975.4
769.61	717	10945.3
770.11	716.5	11186.4
770.61	716	11414.8
771.11	715.5	11512.2
771.61	715	11298.4
772.11	714.5	11419.1
772.61	714	11530.9
773.11	713.5	11610
773.61	713	11659.7
774.11	712.5	11224.5
774.61	712	11274.6
775.11	711.5	11508.1
775.61	711	11501.7
