EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
886.11	600.5	14052.4
886.61	600	14024.7
887.11	599.5	14155
887.61	599	14081.7
888.11	598.5	14166.2
888.61	598	14325.2
889.11	597.5	14449.7
889.61	597	14396.6
890.11	596.5	14465.3
890.61	596	14829.2
891.11	595.5	14786.5
891.61	595	14891.8
892.11	594.5	14032.3
892.61	594	14748.9
893.11	593.5	14891.7
893.61	593	15043.2
894.11	592.5	14839.1
894.61	592	15203
895.11	591.5	15422
895.61	591	15251.7
896.11	590.5	14949.3
896.61	590	15044.6
897.11	589.5	15198.4
897.61	589	15027.7
898.11	588.5	15554
898.61	588	15464.7
899.11	587.5	15524.3
899.61	587	15481.8
900.11	586.5	15344.2
900.61	586	15706.8
901.11	585.5	16226.8
901.61	585	15965.2
902.11	584.5	15818.8
902.61	584	15661
903.11	583.5	16285.8
903.61	583	16373.1
904.11	582.5	16718.9
904.61	582	16601.7
905.11	581.5	16840.3
905.61	581	17041.1
906.11	580.5	16816
906.61	580	16731.2
907.11	579.5	17223.9
907.61	579	16883.6
908.11	578.5	16826.5
908.61	578	16844
909.11	577.5	16454.1
909.61	577	16921.5
910.11	576.5	17029.2
910.61	576	17319.8
911.11	575.5	17367.3
911.61	575	17570.5
912.11	574.5	17663.4
912.61	574	17465.7
913.11	573.5	17306.6
913.61	573	17464.7
914.11	572.5	17596.6
914.61	572	17921
915.11	571.5	18002.9
915.61	571	17809.8
916.11	570.5	17933.4
916.61	570	17805.1
917.11	569.5	17692.1
917.61	569	17992.1
918.11	568.5	17336.6
918.61	568	17414.2
919.11	567.5	17474.9
919.61	567	17496.7
920.11	566.5	17556.4
920.61	566	17871.5
921.11	565.5	17791.1
921.61	565	18201.6
922.11	564.5	17265.7
922.61	564	17551.2
923.11	563.5	18410.5
923.61	563	18407.3
924.11	562.5	18722.3
924.61	562	18748.9
925.11	561.5	18955.9
925.61	561	19230.7
926.11	560.5	18981.3
926.61	560	19716.5
927.11	559.5	19665.8
927.61	559	20139.7
928.11	558.5	20170.4
928.61	558	20377.6
929.11	557.5	20649.5
929.61	557	21201.7
930.11	556.5	21304.5
930.61	556	21554.9
931.11	555.5	22128.9
931.61	555	22554.6
932.11	554.5	23497.6
932.61	554	24149.6
933.11	553.5	25387.7
933.61	553	26110.9
934.11	552.5	27579.4
934.61	552	29359.2
935.11	551.5	30929.6
935.61	551	33446.5
936.11	550.5	36448.9
936.61	550	39660.5
937.11	549.5	44352.1
937.61	549	50078.3
938.11	548.5	56309.8
938.61	548	62507.3
939.11	547.5	68616.3
939.61	547	73689.5
940.11	546.5	76309.2
940.61	546	75539.6
941.11	545.5	71323.7
941.61	545	64650.8
942.11	544.5	57411
942.61	544	49684.1
943.11	543.5	41957.9
943.61	543	35194.1
944.11	542.5	29592.1
944.61	542	24561.3
945.11	541.5	21069.5
945.61	541	18029.2
946.11	540.5	15798.3
946.61	540	13701.3
947.11	539.5	12188.4
947.61	539	10751.7
948.11	538.5	8997.38
948.61	538	8302.66
949.11	537.5	7607.48
949.61	537	6818.32
950.11	536.5	5461
950.61	536	5005.86
951.11	535.5	4717.8
951.61	535	4619.2
952.11	534.5	3858.15
952.61	534	3485.77
953.11	533.5	3593.58
953.61	533	3516.39
954.11	532.5	3173.41
954.61	532	3179.24
955.11	531.5	2423.43
955.61	531	2559.08
956.11	530.5	2266.62
956.61	530	1744.74
957.11	529.5	1612.42
957.61	529	1629.59
958.11	528.5	1356.43
958.61	528	1202.57
959.11	527.5	1282.42
959.61	527	1281.8
960.11	526.5	1128.56
960.61	526	676.377
961.11	525.5	948.942
961.61	525	1294
962.11	524.5	898.866
962.61	524	745.901
963.11	523.5	770.056
963.61	523	384.059
964.11	522.5	359.412
964.61	522	23.9509
965.11	521.5	783.943
965.61	521	765.968
966.11	520.5	754.709
966.61	520	463.066
967.11	519.5	420.028
967.61	519	59.2813
968.11	518.5	648.077
968.61	518	746.505
969.11	517.5	113.452
969.61	517	292.745
970.11	516.5	718.616
970.61	516	314.463
971.11	515.5	281.601
971.61	515	470.577
972.11	514.5	377.961
972.61	514	487.415
973.11	513.5	400.021
973.61	513	230.094
974.11	512.5	221.004
974.61	512	447.969
975.11	511.5	582.826
975.61	511	327.698
976.11	510.5	32.1219
976.61	510	441.554
977.11	509.5	304.952
977.61	509	353.298
978.11	508.5	664.54
978.61	508	374.712
979.11	507.5	375.152
979.61	507	559.25
980.11	506.5	177.604
980.61	506	129.476
981.11	505.5	652.855
981.61	505	773.082
982.11	504.5	385.724
982.61	504	322.214
983.11	503.5	266.065
983.61	503	281.97
984.11	502.5	42.0971
984.61	502	38.5046
985.11	501.5	101.709
985.61	501	177.919
986.11	500.5	346.457
986.61	500	314.416
987.11	499.5	444.384
987.61	499	467.672
988.11	498.5	602.285
