c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
721.51	765.1	4016.2
721.61	765	3903.96
721.71	764.9	4104.97
721.81	764.8	4063.45
721.91	764.7	4073.99
722.01	764.6	3799.19
722.11	764.5	3981.31
722.21	764.4	4160.61
722.31	764.3	3955.09
722.41	764.2	3932.75
722.51	764.1	4238.92
722.61	764	4016.03
722.71	763.9	4090.53
722.81	763.8	4052.29
722.91	763.7	3917.4
723.01	763.6	4107.94
723.11	763.5	3924.32
723.21	763.4	3954.12
723.31	763.3	3908.28
723.41	763.2	4039.84
723.51	763.1	4001.66
723.61	763	3950
723.71	762.9	4025.94
723.81	762.8	4146.77
723.91	762.7	4076.33
724.01	762.6	4114.22
724.11	762.5	4091.01
724.21	762.4	4069.62
724.31	762.3	3951.76
724.41	762.2	4081.06
724.51	762.1	3970.56
724.61	762	3958.63
724.71	761.9	4095.94
724.81	761.8	3983.12
724.91	761.7	4114.08
725.01	761.6	4081.65
725.11	761.5	3956.67
725.21	761.4	4075.94
725.31	761.3	4013.57
725.41	761.2	4166.74
725.51	761.1	4040.7
725.61	761	3935.74
725.71	760.9	4185.82
725.81	760.8	4185.86
725.91	760.7	4062.62
726.01	760.6	4054.19
726.11	760.5	4190.52
726.21	760.4	3972.84
726.31	760.3	4088.72
726.41	760.2	3943.2
726.51	760.1	4122.64
726.61	760	4098.7
726.71	759.9	3943.28
726.81	759.8	4075.66
726.91	759.7	4131.17
727.01	759.6	4048.22
727.11	759.5	4213.2
727.21	759.4	4170.39
727.31	759.3	4061.27
727.41	759.2	4125.74
727.51	759.1	4052.25
727.61	759	4227.1
727.71	758.9	3931.99
727.81	758.8	4051.71
727.91	758.7	3975.75
728.01	758.6	3871.91
728.11	758.5	3943.98
728.21	758.4	4029.62
728.31	758.3	4046.92
728.41	758.2	4319.82
