c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
688.51	798.1	3123.53
688.61	798	3208.12
688.71	797.9	3132.2
688.81	797.8	3240.94
688.91	797.7	3414.78
689.01	797.6	3223.52
689.11	797.5	3285.91
689.21	797.4	3294.84
689.31	797.3	3176.63
689.41	797.2	3224.42
689.51	797.1	3122.21
689.61	797	3208.84
689.71	796.9	3303.83
689.81	796.8	3160.37
689.91	796.7	3160.56
690.01	796.6	3197.04
690.11	796.5	3284.03
690.21	796.4	3213.12
690.31	796.3	3259.2
690.41	796.2	3228.89
690.51	796.1	3300.47
690.61	796	3149.31
690.71	795.9	3234.7
690.81	795.8	3174.18
690.91	795.7	3237.72
691.01	795.6	3247.55
691.11	795.5	3203.69
691.21	795.4	3214.22
691.31	795.3	3157.46
691.41	795.2	3168.89
691.51	795.1	3099.13
691.61	795	3225.81
691.71	794.9	3332
691.81	794.8	3289.18
691.91	794.7	3174.72
692.01	794.6	3203.15
692.11	794.5	3296.53
692.21	794.4	3266.57
692.31	794.3	3210.55
692.41	794.2	3263.83
692.51	794.1	3235.27
692.61	794	3282.7
692.71	793.9	3327.78
692.81	793.8	3267.97
692.91	793.7	3201.75
693.01	793.6	3271.93
693.11	793.5	3216.51
693.21	793.4	3278.8
693.31	793.3	3266.53
693.41	793.2	3339.31
693.51	793.1	3329.84
693.61	793	3230.23
693.71	792.9	3260.81
693.81	792.8	3265.44
693.91	792.7	3308.72
694.01	792.6	3245.45
694.11	792.5	3263.93
694.21	792.4	3201.01
694.31	792.3	3132.34
694.41	792.2	3248.32
694.51	792.1	3299.85
694.61	792	3325.24
694.71	791.9	3249.32
694.81	791.8	3282.75
694.91	791.7	3204.13
695.01	791.6	3203.41
695.11	791.5	3251.73
695.21	791.4	3309.06
695.31	791.3	3337.54
695.41	791.2	3176.32
695.51	791.1	3348.5
695.61	791	3278.03
695.71	790.9	3194.71
695.81	790.8	3335.54
695.91	790.7	3284.62
696.01	790.6	3286.84
696.11	790.5	3334.62
696.21	790.4	3277.25
696.31	790.3	3318.38
696.41	790.2	3208.16
696.51	790.1	3225.58
696.61	790	3280.81
696.71	789.9	3288.79
696.81	789.8	3182.21
696.91	789.7	3269.44
697.01	789.6	3289.37
697.11	789.5	3196.19
697.21	789.4	3374.32
697.31	789.3	3372.05
697.41	789.2	3246.57
697.51	789.1	3278.45
697.61	789	3260.92
697.71	788.9	3272.85
697.81	788.8	3329.18
697.91	788.7	3262.65
698.01	788.6	3228.68
698.11	788.5	3280.4
698.21	788.4	3294.13
698.31	788.3	3240.6
698.41	788.2	3410.42
698.51	788.1	3310.9
698.61	788	3166.52
698.71	787.9	3303.3
698.81	787.8	3416.42
698.91	787.7	3269.84
699.01	787.6	3337.67
699.11	787.5	3248.59
699.21	787.4	3338.51
699.31	787.3	3302.34
699.41	787.2	3451.31
699.51	787.1	3299.38
699.61	787	3384.65
699.71	786.9	3422.13
699.81	786.8	3314.05
699.91	786.7	3347.37
700.01	786.6	3377.29
700.11	786.5	3239.96
700.21	786.4	3326.14
700.31	786.3	3343.46
700.41	786.2	3505.43
700.51	786.1	3283.65
700.61	786	3340.12
700.71	785.9	3373.34
700.81	785.8	3388.81
700.91	785.7	3323.43
701.01	785.6	3238.25
701.11	785.5	3294.07
701.21	785.4	3428.84
701.31	785.3	3430.51
701.41	785.2	3383.53
701.51	785.1	3366.55
701.61	785	3237.97
701.71	784.9	3294.79
701.81	784.8	3310.31
701.91	784.7	3329.77
702.01	784.6	3224.19
702.11	784.5	3269.51
702.21	784.4	3297.48
702.31	784.3	3341.15
702.41	784.2	3430.86
702.51	784.1	3478.03
702.61	784	3417.65
702.71	783.9	3444.57
702.81	783.8	3363.83
702.91	783.7	3242.7
703.01	783.6	3372.22
703.11	783.5	3380.53
703.21	783.4	3334.1
703.31	783.3	3260.31
703.41	783.2	3428.38
703.51	783.1	3348.2
703.61	783	3306.01
703.71	782.9	3330.48
703.81	782.8	3369.54
703.91	782.7	3321.01
704.01	782.6	3301.22
704.11	782.5	3274.04
704.21	782.4	3301.95
704.31	782.3	3433.01
704.41	782.2	3418.43
704.51	782.1	3341.39
704.61	782	3254.71
704.71	781.9	3330.32
704.81	781.8	3391.43
704.91	781.7	3436.34
705.01	781.6	3399.01
705.11	781.5	3300.97
705.21	781.4	3416.58
705.31	781.3	3390.19
705.41	781.2	3384.71
705.51	781.1	3318.97
705.61	781	3306.88
705.71	780.9	3306.29
705.81	780.8	3360.15
705.91	780.7	3190.86
706.01	780.6	3309.93
706.11	780.5	3287.14
706.21	780.4	3334.4
706.31	780.3	3332.91
706.41	780.2	3446.87
706.51	780.1	3559.33
706.61	780	3477.54
706.71	779.9	3365.3
706.81	779.8	3418.41
706.91	779.7	3341.41
707.01	779.6	3333.97
707.11	779.5	3382.43
707.21	779.4	3479.89
707.31	779.3	3490.7
707.41	779.2	3462.36
707.51	779.1	3359.07
707.61	779	3458.17
707.71	778.9	3429.43
707.81	778.8	3338.64
707.91	778.7	3446.35
708.01	778.6	3491.7
708.11	778.5	3467.46
708.21	778.4	3311.62
708.31	778.3	3311.27
708.41	778.2	3243.93
708.51	778.1	3316.73
708.61	778	3366.44
708.71	777.9	3295.2
708.81	777.8	3368.9
708.91	777.7	3493.01
709.01	777.6	3427.56
709.11	777.5	3265.12
709.21	777.4	3363.32
709.31	777.3	3330.82
709.41	777.2	3475.63
709.51	777.1	3488.53
709.61	777	3466.64
709.71	776.9	3460.94
709.81	776.8	3509.54
709.91	776.7	3422.55
710.01	776.6	3522.8
710.11	776.5	3411
710.21	776.4	3355.85
710.31	776.3	3427.06
710.41	776.2	3404.46
710.51	776.1	3365.56
710.61	776	3380.91
710.71	775.9	3377.11
710.81	775.8	3475.27
710.91	775.7	3412.82
711.01	775.6	3342.07
711.11	775.5	3430.92
711.21	775.4	3493.77
711.31	775.3	3490.57
711.41	775.2	3458.42
711.51	775.1	3435.92
711.61	775	3415.97
711.71	774.9	3540.02
711.81	774.8	3417.17
711.91	774.7	3478.76
712.01	774.6	3510.41
712.11	774.5	3459.26
712.21	774.4	3351.46
712.31	774.3	3405.26
712.41	774.2	3418.16
712.51	774.1	3506.35
712.61	774	3425.55
712.71	773.9	3444.6
712.81	773.8	3460.79
712.91	773.7	3457.79
713.01	773.6	3580.19
713.11	773.5	3599.13
713.21	773.4	3548.68
713.31	773.3	3551.68
713.41	773.2	3431.02
713.51	773.1	3379.82
713.61	773	3477.66
713.71	772.9	3500.46
713.81	772.8	3448.35
713.91	772.7	3497.05
714.01	772.6	3533.24
714.11	772.5	3431.63
714.21	772.4	3488.78
714.31	772.3	3505.27
714.41	772.2	3594.42
714.51	772.1	3492.41
714.61	772	3416.2
714.71	771.9	3507.94
714.81	771.8	3562.34
714.91	771.7	3618.73
715.01	771.6	3558.37
715.11	771.5	3601.51
715.21	771.4	3547.95
715.31	771.3	3631.45
715.41	771.2	3676.34
715.51	771.1	3526.68
715.61	771	3547.42
715.71	770.9	3575.56
715.81	770.8	3597.8
715.91	770.7	3644.99
716.01	770.6	3669.28
716.11	770.5	3654.62
716.21	770.4	3589.61
716.31	770.3	3662.1
716.41	770.2	3668.33
716.51	770.1	3678.17
716.61	770	3553.11
716.71	769.9	3517.35
716.81	769.8	3598.64
716.91	769.7	3615.02
717.01	769.6	3587.36
717.11	769.5	3655.3
717.21	769.4	3731.24
717.31	769.3	3643.57
717.41	769.2	3750.31
717.51	769.1	3717
717.61	769	3812.88
717.71	768.9	3733.87
717.81	768.8	3605.65
717.91	768.7	3775.69
718.01	768.6	3746.57
718.11	768.5	3773.26
718.21	768.4	3728.44
718.31	768.3	3820.48
718.41	768.2	3946.36
718.51	768.1	3848.59
718.61	768	3769.58
718.71	767.9	3713.71
718.81	767.8	3864.54
718.91	767.7	3853.83
719.01	767.6	3835.51
719.11	767.5	3889.94
719.21	767.4	3853.57
719.31	767.3	3951.11
719.41	767.2	3862.89
719.51	767.1	3831.17
719.61	767	4096.65
719.71	766.9	4019.78
719.81	766.8	3909.61
719.91	766.7	3972.59
720.01	766.6	4060.12
720.11	766.5	4158.85
720.21	766.4	3919.48
720.31	766.3	4039.56
720.41	766.2	4103.89
720.51	766.1	4079.67
720.61	766	4071.95
720.71	765.9	4119.48
720.81	765.8	4241.4
720.91	765.7	4194.48
721.01	765.6	4265.36
721.11	765.5	4321.89
721.21	765.4	4327.26
721.31	765.3	4267.44
721.41	765.2	4357.92
721.51	765.1	4259.29
721.61	765	4316.07
721.71	764.9	4394.65
721.81	764.8	4468.77
721.91	764.7	4390.95
722.01	764.6	4480.37
722.11	764.5	4389.35
722.21	764.4	4362.32
722.31	764.3	4632.05
722.41	764.2	4639.22
722.51	764.1	4583.64
722.61	764	4558.72
722.71	763.9	4557.59
722.81	763.8	4573.86
722.91	763.7	4702.34
723.01	763.6	4769.26
723.11	763.5	4593.38
723.21	763.4	4595.85
723.31	763.3	4635.92
723.41	763.2	4698.05
723.51	763.1	4847.57
723.61	763	4781.94
723.71	762.9	4757.01
723.81	762.8	4843.33
723.91	762.7	4828.75
724.01	762.6	4757.27
724.11	762.5	4836.69
724.21	762.4	4836.46
724.31	762.3	4883.38
724.41	762.2	4882.75
724.51	762.1	4730.87
724.61	762	4897.28
724.71	761.9	4925.85
724.81	761.8	4920.17
724.91	761.7	4895.39
725.01	761.6	4857.01
725.11	761.5	4832.57
725.21	761.4	4864.44
725.31	761.3	4819.71
725.41	761.2	4737.02
725.51	761.1	4879.09
725.61	761	4682.16
725.71	760.9	4790.62
725.81	760.8	4716.34
725.91	760.7	4725.55
726.01	760.6	4716.17
726.11	760.5	4726.18
726.21	760.4	4710.5
726.31	760.3	4612.01
726.41	760.2	4598.53
726.51	760.1	4553.09
726.61	760	4489.5
726.71	759.9	4462.72
726.81	759.8	4466.28
726.91	759.7	4417.94
727.01	759.6	4424.4
727.11	759.5	4400.27
727.21	759.4	4329.03
727.31	759.3	4309.79
727.41	759.2	4264.35
727.51	759.1	4275.96
727.61	759	4277.07
727.71	758.9	4274.09
727.81	758.8	4130.5
727.91	758.7	4004.76
728.01	758.6	4041.62
728.11	758.5	4121.68
728.21	758.4	4149.39
728.31	758.3	4106.2
728.41	758.2	4026.25
728.51	758.1	4058.01
728.61	758	3883.67
728.71	757.9	3896.43
728.81	757.8	3903.64
728.91	757.7	3854.3
729.01	757.6	3753.2
729.11	757.5	3774.36
729.21	757.4	3785.57
729.31	757.3	3617.38
729.41	757.2	3703.03
729.51	757.1	3644.29
729.61	757	3699.44
729.71	756.9	3883.2
729.81	756.8	3682.31
729.91	756.7	3564.06
730.01	756.6	3565.12
730.11	756.5	3623.62
730.21	756.4	3587.03
730.31	756.3	3499.68
730.41	756.2	3501.74
730.51	756.1	3506.24
730.61	756	3475.49
730.71	755.9	3439.95
730.81	755.8	3347.7
730.91	755.7	3434.8
731.01	755.6	3337.11
731.11	755.5	3382.61
731.21	755.4	3524.11
731.31	755.3	3434.51
731.41	755.2	3356.57
731.51	755.1	3337.87
731.61	755	3346.47
731.71	754.9	3195.12
731.81	754.8	3314.87
731.91	754.7	3297.97
732.01	754.6	3456.22
732.11	754.5	3328.87
732.21	754.4	3118.72
732.31	754.3	3134.57
732.41	754.2	3291.77
732.51	754.1	3166.72
732.61	754	3184.57
732.71	753.9	3192.17
732.81	753.8	3247.82
732.91	753.7	3231.76
733.01	753.6	3120.46
733.11	753.5	3040.41
733.21	753.4	3225.21
733.31	753.3	3227.41
733.41	753.2	3205.05
733.51	753.1	3127
733.61	753	3146
733.71	752.9	3038.74
733.81	752.8	3165.59
733.91	752.7	3098.44
734.01	752.6	3120.53
734.11	752.5	3085.53
734.21	752.4	3043.42
734.31	752.3	3101.22
734.41	752.2	3075.06
734.51	752.1	3240.36
734.61	752	3138.3
734.71	751.9	3029.39
734.81	751.8	3007.89
734.91	751.7	3031.03
735.01	751.6	3117.98
735.11	751.5	2958.77
735.21	751.4	3031.71
735.31	751.3	3102.8
735.41	751.2	3035.35
735.51	751.1	3006.84
735.61	751	3078.73
735.71	750.9	3084.62
735.81	750.8	3047.36
735.91	750.7	3008.31
736.01	750.6	3086.25
736.11	750.5	3082.94
736.21	750.4	3008.28
736.31	750.3	2791.97
736.41	750.2	2997.06
736.51	750.1	3019.65
736.61	750	2964.54
736.71	749.9	2990.53
736.81	749.8	2981.12
736.91	749.7	2883.36
737.01	749.6	2954.34
737.11	749.5	2939.03
737.21	749.4	2965.62
737.31	749.3	3028.36
737.41	749.2	2873.35
737.51	749.1	2850.39
737.61	749	2927.47
737.71	748.9	2843.81
737.81	748.8	2818.55
737.91	748.7	2940.43
738.01	748.6	2913.77
738.11	748.5	2861.76
