c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
727.41	759.2	3256.02
727.51	759.1	3178.07
727.61	759	3225.67
727.71	758.9	3209.58
727.81	758.8	3224.01
727.91	758.7	3211.54
728.01	758.6	3202.49
728.11	758.5	3177.64
728.21	758.4	3161.62
728.31	758.3	3212.77
728.41	758.2	3198.68
728.51	758.1	3151.28
728.61	758	3174.5
728.71	757.9	3176.38
728.81	757.8	3237.43
728.91	757.7	3239.44
729.01	757.6	3206.9
729.11	757.5	3181.57
729.21	757.4	3240.65
729.31	757.3	3293.63
729.41	757.2	3204.95
729.51	757.1	3213.59
729.61	757	3178.36
729.71	756.9	3243.13
729.81	756.8	3187.55
729.91	756.7	3226.49
730.01	756.6	3180.99
730.11	756.5	3176.86
730.21	756.4	3207.8
730.31	756.3	3227.92
730.41	756.2	3217.07
730.51	756.1	3169.9
730.61	756	3206.43
730.71	755.9	3233.79
730.81	755.8	3139
730.91	755.7	3220.63
731.01	755.6	3275.68
731.11	755.5	3213.48
731.21	755.4	3243.45
731.31	755.3	3253.57
731.41	755.2	3281.37
731.51	755.1	3213.24
731.61	755	3295.38
731.71	754.9	3227.01
731.81	754.8	3242.75
731.91	754.7	3321.72
732.01	754.6	3257.79
732.11	754.5	3269.11
732.21	754.4	3241.77
732.31	754.3	3263.99
732.41	754.2	3238.03
732.51	754.1	3224.28
732.61	754	3279.08
732.71	753.9	3253.19
732.81	753.8	3297.71
732.91	753.7	3248.58
733.01	753.6	3214.65
733.11	753.5	3317
733.21	753.4	3307.49
733.31	753.3	3238.22
733.41	753.2	3259.02
733.51	753.1	3187.54
733.61	753	3266.2
733.71	752.9	3304.72
733.81	752.8	3177.14
733.91	752.7	3291.45
734.01	752.6	3196.01
734.11	752.5	3249.59
734.21	752.4	3266.63
734.31	752.3	3204.74
734.41	752.2	3223.09
734.51	752.1	3318.64
734.61	752	3356.47
734.71	751.9	3246.92
734.81	751.8	3314.89
734.91	751.7	3367.65
735.01	751.6	3384.58
735.11	751.5	3285.86
735.21	751.4	3319.38
735.31	751.3	3315.31
735.41	751.2	3323.27
735.51	751.1	3331.96
735.61	751	3337.21
735.71	750.9	3274.62
735.81	750.8	3284.86
735.91	750.7	3239.58
736.01	750.6	3317.24
736.11	750.5	3336.96
736.21	750.4	3290.13
736.31	750.3	3273.44
736.41	750.2	3340.51
736.51	750.1	3273.96
736.61	750	3238.68
736.71	749.9	3308.74
736.81	749.8	3394.95
736.91	749.7	3260.95
737.01	749.6	3295.63
737.11	749.5	3387.29
737.21	749.4	3264.59
737.31	749.3	3337.11
737.41	749.2	3347.76
737.51	749.1	3364.75
737.61	749	3334.68
737.71	748.9	3290.37
737.81	748.8	3352.4
737.91	748.7	3337.53
738.01	748.6	3295.94
738.11	748.5	3311.38
738.21	748.4	3405.1
738.31	748.3	3409.85
738.41	748.2	3331.74
738.51	748.1	3400.05
