c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
724.81	761.8	3694.99
724.91	761.7	3697.24
725.01	761.6	3626.46
725.11	761.5	3593.68
725.21	761.4	3657.69
725.31	761.3	3713.54
725.41	761.2	3707.26
725.51	761.1	3726.21
725.61	761	3670.56
725.71	760.9	3583.8
725.81	760.8	3660.22
725.91	760.7	3590.13
726.01	760.6	3598.98
726.11	760.5	3491.56
726.21	760.4	3516.24
726.31	760.3	3537.02
726.41	760.2	3525.14
726.51	760.1	3567.15
726.61	760	3559.43
726.71	759.9	3520.94
726.81	759.8	3452.86
726.91	759.7	3455.97
727.01	759.6	3433.15
727.11	759.5	3405.69
727.21	759.4	3355.4
727.31	759.3	3357.32
727.41	759.2	3455.43
727.51	759.1	3431.64
727.61	759	3247.32
727.71	758.9	3306.23
727.81	758.8	3241.67
727.91	758.7	3297.45
728.01	758.6	3259.56
728.11	758.5	3223.43
728.21	758.4	3271.88
728.31	758.3	3270.32
728.41	758.2	3203.83
728.51	758.1	3190.57
728.61	758	3193.51
728.71	757.9	3107.05
728.81	757.8	3084.36
728.91	757.7	3148.83
729.01	757.6	3112.24
729.11	757.5	3045.95
729.21	757.4	3091.22
729.31	757.3	3113.86
729.41	757.2	3032.24
729.51	757.1	3021.11
729.61	757	2947.01
729.71	756.9	2990.89
729.81	756.8	3051.33
729.91	756.7	3087.2
730.01	756.6	2984.7
730.11	756.5	2958.51
730.21	756.4	2971.15
730.31	756.3	2926.32
730.41	756.2	2913.69
730.51	756.1	2936.82
730.61	756	2779.59
730.71	755.9	2827.53
730.81	755.8	2847.73
730.91	755.7	2854.3
731.01	755.6	2902.97
731.11	755.5	2876.41
731.21	755.4	2886.41
731.31	755.3	2856.98
731.41	755.2	2871.21
731.51	755.1	2885.55
731.61	755	2804.95
731.71	754.9	2767.75
731.81	754.8	2834.19
731.91	754.7	2744.39
732.01	754.6	2829.49
732.11	754.5	2708.35
732.21	754.4	2776.02
732.31	754.3	2710.58
732.41	754.2	2728.35
732.51	754.1	2764.35
732.61	754	2682.01
732.71	753.9	2638.78
732.81	753.8	2703.88
732.91	753.7	2782.91
733.01	753.6	2714.97
733.11	753.5	2708.3
733.21	753.4	2678.77
733.31	753.3	2684.7
733.41	753.2	2658.09
733.51	753.1	2729.36
733.61	753	2739.22
733.71	752.9	2620.55
733.81	752.8	2637.68
733.91	752.7	2680.87
734.01	752.6	2736.44
734.11	752.5	2712.13
734.21	752.4	2655.52
734.31	752.3	2646.15
734.41	752.2	2656.11
734.51	752.1	2617.27
734.61	752	2607.4
734.71	751.9	2613.43
734.81	751.8	2614.82
734.91	751.7	2662.68
735.01	751.6	2676.57
735.11	751.5	2639.1
735.21	751.4	2687.39
735.31	751.3	2656.05
735.41	751.2	2572.37
735.51	751.1	2528.3
735.61	751	2517.39
735.71	750.9	2546.15
735.81	750.8	2539.3
735.91	750.7	2580.79
736.01	750.6	2583.52
736.11	750.5	2588.77
736.21	750.4	2603.13
736.31	750.3	2547.05
736.41	750.2	2651.21
736.51	750.1	2631.33
736.61	750	2535.98
736.71	749.9	2642.61
736.81	749.8	2567.43
736.91	749.7	2587.92
737.01	749.6	2565.04
737.11	749.5	2586.56
737.21	749.4	2539.18
737.31	749.3	2540.83
737.41	749.2	2480.35
737.51	749.1	2534.67
737.61	749	2622.25
737.71	748.9	2639.94
737.81	748.8	2531.66
737.91	748.7	2508.71
738.01	748.6	2518.69
738.11	748.5	2483.05
738.21	748.4	2561.5
738.31	748.3	2479.71
738.41	748.2	2569.76
738.51	748.1	2577.78
738.61	748	2599.8
738.71	747.9	2511.28
738.81	747.8	2511.5
738.91	747.7	2507.05
739.01	747.6	2478.33
739.11	747.5	2504.28
739.21	747.4	2513.92
739.31	747.3	2476.87
739.41	747.2	2614.59
739.51	747.1	2601.27
739.61	747	2570.15
739.71	746.9	2525.46
739.81	746.8	2490.51
739.91	746.7	2499.19
740.01	746.6	2540.17
740.11	746.5	2541.85
740.21	746.4	2490.39
740.31	746.3	2519.7
740.41	746.2	2511.15
740.51	746.1	2513.36
740.61	746	2444.77
740.71	745.9	2452.18
740.81	745.8	2577.66
740.91	745.7	2618.54
741.01	745.6	2583.95
741.11	745.5	2535.16
741.21	745.4	2537.97
741.31	745.3	2499.87
741.41	745.2	2540.05
741.51	745.1	2475.86
741.61	745	2469.57
741.71	744.9	2431.68
741.81	744.8	2522.68
741.91	744.7	2489.92
742.01	744.6	2595.93
742.11	744.5	2629.37
742.21	744.4	2503.44
742.31	744.3	2503.62
742.41	744.2	2426.12
742.51	744.1	2513.76
742.61	744	2482.57
742.71	743.9	2485.01
742.81	743.8	2613.15
742.91	743.7	2481.48
743.01	743.6	2527.39
743.11	743.5	2517.09
743.21	743.4	2549.03
743.31	743.3	2522.03
743.41	743.2	2491.34
743.51	743.1	2412.41
743.61	743	2454.34
743.71	742.9	2482.28
743.81	742.8	2473.61
743.91	742.7	2480.88
744.01	742.6	2501.32
744.11	742.5	2529.32
744.21	742.4	2508.09
744.31	742.3	2546.46
744.41	742.2	2553.42
744.51	742.1	2527.19
744.61	742	2470.86
744.71	741.9	2471.52
744.81	741.8	2475.19
744.91	741.7	2554.55
745.01	741.6	2520.02
745.11	741.5	2562.49
745.21	741.4	2512.88
745.31	741.3	2521.52
745.41	741.2	2533.78
745.51	741.1	2539.18
745.61	741	2489.07
745.71	740.9	2505.9
745.81	740.8	2513.47
745.91	740.7	2440.43
746.01	740.6	2448.16
746.11	740.5	2490.42
746.21	740.4	2493.09
746.31	740.3	2505.58
746.41	740.2	2501.61
746.51	740.1	2539.2
746.61	740	2542.16
746.71	739.9	2529.86
746.81	739.8	2501.02
746.91	739.7	2580.01
747.01	739.6	2530.54
747.11	739.5	2485.8
