c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
AgMNN (2)
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN (2)	BE_AgMNN (2)	CPS_AgMNN (2)
322.11	1164.5	5857.46
322.21	1164.4	5864.5
322.31	1164.3	5893.89
322.41	1164.2	5893.5
322.51	1164.1	5839.79
322.61	1164	5860.54
322.71	1163.9	5892.86
322.81	1163.8	5916.14
322.91	1163.7	5896.46
323.01	1163.6	5885.46
323.11	1163.5	5893.11
323.21	1163.4	5907.32
323.31	1163.3	5978.61
323.41	1163.2	5935.46
323.51	1163.1	5959
323.61	1163	6000.14
323.71	1162.9	5889.68
323.81	1162.8	5926.54
323.91	1162.7	5885.11
324.01	1162.6	5877.11
324.11	1162.5	5957.39
324.21	1162.4	5904.71
324.31	1162.3	5897
324.41	1162.2	5997.04
324.51	1162.1	5950.79
324.61	1162	5931.11
324.71	1161.9	5965.5
324.81	1161.8	6015.18
324.91	1161.7	6056.86
325.01	1161.6	5974.07
325.11	1161.5	6035.14
325.21	1161.4	5997.25
325.31	1161.3	6008.18
325.41	1161.2	5996.93
325.51	1161.1	6012.86
325.61	1161	5961.61
325.71	1160.9	6005.39
325.81	1160.8	6015.18
325.91	1160.7	6027.89
326.01	1160.6	5989.04
326.11	1160.5	6040.21
326.21	1160.4	6050.36
326.31	1160.3	6099
326.41	1160.2	6009.75
326.51	1160.1	6070.54
326.61	1160	6062.29
326.71	1159.9	6140.79
326.81	1159.8	6082.71
326.91	1159.7	6057.18
327.01	1159.6	6150.39
327.11	1159.5	6145.75
327.21	1159.4	6129.43
327.31	1159.3	6148.93
327.41	1159.2	6056.75
327.51	1159.1	6114.54
327.61	1159	6118.25
327.71	1158.9	6158
327.81	1158.8	6155.25
327.91	1158.7	6119.68
328.01	1158.6	6073.29
328.11	1158.5	6111.5
328.21	1158.4	6040.79
328.31	1158.3	6017.46
328.41	1158.2	6094.64
328.51	1158.1	6195.57
328.61	1158	6147.25
328.71	1157.9	6107.71
328.81	1157.8	6063.07
328.91	1157.7	6093.04
329.01	1157.6	6097.61
329.11	1157.5	6092.11
329.21	1157.4	6121.5
329.31	1157.3	6145.89
329.41	1157.2	6144.32
329.51	1157.1	6129.82
329.61	1157	6139.79
329.71	1156.9	6126.21
329.81	1156.8	6147.39
329.91	1156.7	6152.39
330.01	1156.6	6223.29
330.11	1156.5	6180.75
330.21	1156.4	6215.96
330.31	1156.3	6256.75
330.41	1156.2	6337.96
330.51	1156.1	6310.32
330.61	1156	6320.68
330.71	1155.9	6327.29
330.81	1155.8	6240.61
330.91	1155.7	6212.29
331.01	1155.6	6244.07
331.11	1155.5	6273
331.21	1155.4	6151.25
331.31	1155.3	6174.68
331.41	1155.2	6172.36
331.51	1155.1	6168.96
331.61	1155	6128.07
331.71	1154.9	6132.5
331.81	1154.8	6145.32
331.91	1154.7	6141.93
332.01	1154.6	6096.43
332.11	1154.5	6156.61
332.21	1154.4	6123.64
332.31	1154.3	6152.71
332.41	1154.2	6082.14
332.51	1154.1	6075.79
332.61	1154	6069.96
332.71	1153.9	6085.89
332.81	1153.8	6047.25
332.91	1153.7	5988.04
333.01	1153.6	6032.75
333.11	1153.5	6001.11
333.21	1153.4	5943.25
333.31	1153.3	6002.04
333.41	1153.2	6028.5
333.51	1153.1	5963.11
333.61	1153	5970.68
333.71	1152.9	5891.96
333.81	1152.8	5925.75
333.91	1152.7	5977.89
334.01	1152.6	5932.89
334.11	1152.5	5883.68
334.21	1152.4	5897.25
334.31	1152.3	5979.25
334.41	1152.2	5969.82
334.51	1152.1	5904.14
334.61	1152	5872.25
334.71	1151.9	5883.82
334.81	1151.8	5936.46
334.91	1151.7	5843.25
335.01	1151.6	5880.64
335.11	1151.5	5838.75
335.21	1151.4	5913.39
335.31	1151.3	5855.96
335.41	1151.2	5792.14
335.51	1151.1	5861.86
335.61	1151	5818.96
335.71	1150.9	5863.96
335.81	1150.8	5837.71
335.91	1150.7	5877.21
336.01	1150.6	5870.71
336.11	1150.5	5888.04
336.21	1150.4	5897.07
