c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1048.01	438.6	13559.6
1048.11	438.5	13609.4
1048.21	438.4	13635.7
1048.31	438.3	13684.1
1048.41	438.2	13588.6
1048.51	438.1	13663.2
1048.61	438	13569.8
1048.71	437.9	13572.3
1048.81	437.8	13534.6
1048.91	437.7	13502.1
1049.01	437.6	13593.4
1049.11	437.5	13590.8
1049.21	437.4	13695.6
1049.31	437.3	13758.8
1049.41	437.2	13695.1
1049.51	437.1	13666.7
1049.61	437	13699.4
1049.71	436.9	13655.6
1049.81	436.8	13688.3
1049.91	436.7	13737.5
1050.01	436.6	13740.5
1050.11	436.5	13655.1
1050.21	436.4	13662
1050.31	436.3	13781.5
1050.41	436.2	13748.2
1050.51	436.1	13684.2
1050.61	436	13732.9
1050.71	435.9	13770.4
1050.81	435.8	13727.3
1050.91	435.7	13790.9
1051.01	435.6	13699
1051.11	435.5	13694.4
1051.21	435.4	13606.4
1051.31	435.3	13640
1051.41	435.2	13700.8
1051.51	435.1	13659.2
1051.61	435	13692.4
1051.71	434.9	13807.1
1051.81	434.8	13791
1051.91	434.7	13658
1052.01	434.6	13741.9
1052.11	434.5	13629.2
1052.21	434.4	13680.2
1052.31	434.3	13767.9
1052.41	434.2	13724
1052.51	434.1	13759
1052.61	434	13799.6
1052.71	433.9	13733.9
1052.81	433.8	13798.4
1052.91	433.7	13808.8
1053.01	433.6	13756.8
1053.11	433.5	13774.7
1053.21	433.4	13725.9
1053.31	433.3	13773.8
1053.41	433.2	13806.6
1053.51	433.1	13734
1053.61	433	13721.3
1053.71	432.9	13824
1053.81	432.8	13875.2
1053.91	432.7	13788.8
1054.01	432.6	13798.8
1054.11	432.5	13772.2
1054.21	432.4	13782.9
1054.31	432.3	13858.4
1054.41	432.2	13916.1
1054.51	432.1	13893.7
1054.61	432	13846
1054.71	431.9	13817.6
1054.81	431.8	13795.9
1054.91	431.7	13829.2
1055.01	431.6	13874.6
1055.11	431.5	13900.3
1055.21	431.4	13915.9
1055.31	431.3	13882.8
1055.41	431.2	13860.1
1055.51	431.1	13883.7
1055.61	431	13908.8
1055.71	430.9	13996.1
1055.81	430.8	13888.5
1055.91	430.7	13895.2
