C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
716.11	770.5	9917.09	9917.09
716.21	770.4	9952.91	9952.91
716.31	770.3	9928.89	9928.89
716.41	770.2	9721.71	9721.71
716.51	770.1	9913.11	9913.11
716.61	770	9933.39	9933.39
716.71	769.9	9939.43	9939.43
716.81	769.8	10024.7	10024.7
716.91	769.7	9998.5	9998.5
717.01	769.6	9971.71	9971.71
717.11	769.5	9712	9712
717.21	769.4	9894.31	9894.31
717.31	769.3	10006.3	10006.3
717.41	769.2	9953.56	9953.56
717.51	769.1	10105.9	10105.9
717.61	769	10015.3	10015.3
717.71	768.9	10038.4	10038.4
717.81	768.8	9914.06	9914.06
717.91	768.7	9857.93	9857.93
718.01	768.6	9966.99	9966.99
718.11	768.5	9854.51	9854.51
718.21	768.4	9835.76	9835.76
718.31	768.3	9869.99	9869.99
718.41	768.2	9990.89	9990.89
718.51	768.1	9776.14	9776.14
718.61	768	9894	9894
718.71	767.9	9962.3	9962.3
718.81	767.8	9803.3	9803.3
718.91	767.7	9938.54	9938.54
719.01	767.6	9925.3	9925.3
719.11	767.5	9973.41	9973.41
719.21	767.4	9901.84	9901.84
719.31	767.3	9733.89	9733.89
719.41	767.2	9967.13	9967.13
719.51	767.1	9846.23	9846.23
719.61	767	9999.97	9999.97
719.71	766.9	9886.9	9886.9
719.81	766.8	9750.39	9750.39
719.91	766.7	9878.27	9878.27
720.01	766.6	9983.34	9983.34
720.11	766.5	9914.73	9914.73
720.21	766.4	9951.14	9951.14
720.31	766.3	9915.53	9915.53
720.41	766.2	10028.4	10028.4
720.51	766.1	10021.5	10021.5
720.61	766	9946.71	9946.71
720.71	765.9	9755.73	9755.73
720.81	765.8	10029.2	10029.2
720.91	765.7	10044.1	10044.1
721.01	765.6	10178.4	10178.4
721.11	765.5	10029.2	10029.2
721.21	765.4	9883.96	9883.96
721.31	765.3	9802.27	9802.27
721.41	765.2	9941.9	9941.9
721.51	765.1	9977.64	9977.64
721.61	765	9866.09	9866.09
721.71	764.9	10067.8	10067.8
721.81	764.8	10027	10027
721.91	764.7	10038.2	10038.2
722.01	764.6	9764.07	9764.07
722.11	764.5	9946.89	9946.89
722.21	764.4	10126.9	10126.9
722.31	764.3	9922.04	9922.04
722.41	764.2	9900.4	9900.4
722.51	764.1	10207.3	10207.3
722.61	764	9985.06	9985.06
722.71	763.9	10060.2	10060.2
722.81	763.8	10022.7	10022.7
722.91	763.7	9888.5	9888.5
723.01	763.6	10079.7	10079.7
723.11	763.5	9896.8	9896.8
723.21	763.4	9927.29	9927.29
723.31	763.3	9882.14	9882.14
723.41	763.2	10014.4	10014.4
723.51	763.1	9976.9	9976.9
723.61	763	9925.93	9925.93
723.71	762.9	10002.6	10002.6
723.81	762.8	10124.1	10124.1
723.91	762.7	10054.3	10054.3
724.01	762.6	10092.9	10092.9
724.11	762.5	10070.4	10070.4
724.21	762.4	10049.7	10049.7
724.31	762.3	9932.53	9932.53
724.41	762.2	10062.5	10062.5
724.51	762.1	9952.71	9952.71
724.61	762	9941.47	9941.47
724.71	761.9	10079.5	10079.5
724.81	761.8	9967.34	9967.34
724.91	761.7	10099	10099
725.01	761.6	10067.3	10067.3
725.11	761.5	9942.97	9942.97
725.21	761.4	10062.9	10062.9
725.31	761.3	10001.3	10001.3
725.41	761.2	10155.1	10155.1
725.51	761.1	10029.8	10029.8
725.61	761	9925.5	9925.5
725.71	760.9	10176.3	10176.3
725.81	760.8	10177	10177
725.91	760.7	10054.5	10054.5
726.01	760.6	10046.7	10046.7
726.11	760.5	10183.7	10183.7
726.21	760.4	9966.76	9966.76
726.31	760.3	10083.3	10083.3
726.41	760.2	9938.5	9938.5
726.51	760.1	10118.6	10118.6
726.61	760	10095.4	10095.4
726.71	759.9	9940.66	9940.66
726.81	759.8	10073.7	10073.7
726.91	759.7	10129.9	10129.9
727.01	759.6	10047.7	10047.7
727.11	759.5	10213.3	10213.3
727.21	759.4	10171.2	10171.2
727.31	759.3	10062.8	10062.8
727.41	759.2	10128	10128
727.51	759.1	10055.2	10055.2
727.61	759	10230.7	10230.7
727.71	758.9	9936.3	9936.3
727.81	758.8	10056.7	10056.7
727.91	758.7	9981.44	9981.44
728.01	758.6	9878.3	9878.3
728.11	758.5	9951.06	9951.06
728.21	758.4	10037.4	10037.4
728.31	758.3	10055.4	10055.4
728.41	758.2	10329	10329
728.51	758.1	10161.5	10161.5
728.61	758	10117.1	10117.1
728.71	757.9	10098.6	10098.6
728.81	757.8	10172.9	10172.9
728.91	757.7	10166.6	10166.6
729.01	757.6	10161.2	10161.2
729.11	757.5	10014.6	10014.6
729.21	757.4	10078.6	10078.6
729.31	757.3	10187.4	10187.4
729.41	757.2	10085.2	10085.2
729.51	757.1	10164	10164
729.61	757	10056.4	10056.4
729.71	756.9	10160.3	10160.3
729.81	756.8	10085.9	10085.9
729.91	756.7	10184.6	10184.6
730.01	756.6	10132	10132
730.11	756.5	10148	10148
730.21	756.4	10324.9	10324.9
730.31	756.3	10244.4	10244.4
730.41	756.2	10169.5	10169.5
730.51	756.1	10065	10065
730.61	756	10234	10234
730.71	755.9	10396.1	10396.1
730.81	755.8	10148.9	10148.9
730.91	755.7	10150.9	10150.9
731.01	755.6	10147.8	10147.8
731.11	755.5	10009.2	10009.2
731.21	755.4	10280.2	10280.2
731.31	755.3	10217.5	10217.5
731.41	755.2	10110.3	10110.3
731.51	755.1	10141.8	10141.8
731.61	755	10250.8	10250.8
731.71	754.9	10118.5	10118.5
731.81	754.8	10163.6	10163.6
731.91	754.7	10007.8	10007.8
732.01	754.6	10212.8	10212.8
732.11	754.5	10266.7	10266.7
732.21	754.4	10308.3	10308.3
732.31	754.3	10116.1	10116.1
732.41	754.2	10152	10152
732.51	754.1	10356.1	10356.1
732.61	754	10454.5	10454.5
732.71	753.9	10199.8	10199.8
732.81	753.8	10218.1	10218.1
732.91	753.7	10220.2	10220.2
733.01	753.6	10226.5	10226.5
733.11	753.5	10220.1	10220.1
733.21	753.4	10313.2	10313.2
733.31	753.3	10206.3	10206.3
733.41	753.2	10117	10117
733.51	753.1	10174.2	10174.2
733.61	753	10216	10216
733.71	752.9	10197.8	10197.8
733.81	752.8	10250.2	10250.2
733.91	752.7	10377.2	10377.2
734.01	752.6	10086.9	10086.9
734.11	752.5	10291.4	10291.4
734.21	752.4	10180.2	10180.2
734.31	752.3	10223.5	10223.5
734.41	752.2	10221.3	10221.3
734.51	752.1	9900.84	9900.84
734.61	752	10299.9	10299.9
734.71	751.9	10128.8	10128.8
734.81	751.8	9983.61	9983.61
734.91	751.7	10128.9	10128.9
735.01	751.6	10237.7	10237.7
735.11	751.5	10282.5	10282.5
735.21	751.4	10155.2	10155.2
735.31	751.3	10068.3	10068.3
735.41	751.2	10224.3	10224.3
735.51	751.1	10269.5	10269.5
735.61	751	10047.1	10047.1
735.71	750.9	10198.8	10198.8
735.81	750.8	10095.9	10095.9
735.91	750.7	10251.5	10251.5
736.01	750.6	10386.6	10386.6
736.11	750.5	10253.4	10253.4
736.21	750.4	10181.7	10181.7
736.31	750.3	10257.6	10257.6
736.41	750.2	10311.9	10311.9
736.51	750.1	10355.7	10355.7
736.61	750	10311.3	10311.3
736.71	749.9	10199.4	10199.4
736.81	749.8	10390.5	10390.5
736.91	749.7	10241.2	10241.2
737.01	749.6	10145.8	10145.8
737.11	749.5	10154.6	10154.6
737.21	749.4	10258.4	10258.4
737.31	749.3	10427.6	10427.6
737.41	749.2	10338.4	10338.4
737.51	749.1	10220.7	10220.7
737.61	749	10127	10127
737.71	748.9	10100.1	10100.1
737.81	748.8	10388.1	10388.1
737.91	748.7	10209.3	10209.3
738.01	748.6	10301.9	10301.9
738.11	748.5	10110	10110
738.21	748.4	10238.1	10238.1
738.31	748.3	10268.2	10268.2
738.41	748.2	10488.8	10488.8
738.51	748.1	10471.1	10471.1
738.61	748	10388	10388
738.71	747.9	10399.1	10399.1
738.81	747.8	10462.2	10462.2
738.91	747.7	10404.6	10404.6
739.01	747.6	10343.7	10343.7
739.11	747.5	10266.1	10266.1
739.21	747.4	10318	10318
739.31	747.3	10335.4	10335.4
739.41	747.2	10251	10251
739.51	747.1	10246.9	10246.9
739.61	747	10317.1	10317.1
739.71	746.9	10358.8	10358.8
739.81	746.8	10351.8	10351.8
739.91	746.7	10420.8	10420.8
740.01	746.6	10302	10302
740.11	746.5	10405	10405
740.21	746.4	10417.7	10417.7
740.31	746.3	10239.2	10239.2
740.41	746.2	10410.2	10410.2
740.51	746.1	10311.4	10311.4
740.61	746	10445.3	10445.3
740.71	745.9	10407.2	10407.2
740.81	745.8	10270.3	10270.3
740.91	745.7	10305.3	10305.3
741.01	745.6	10414.6	10414.6
741.11	745.5	10301.3	10301.3
741.21	745.4	10382.9	10382.9
741.31	745.3	10307.7	10307.7
741.41	745.2	10432.9	10432.9
741.51	745.1	10400.1	10400.1
741.61	745	10375.5	10375.5
741.71	744.9	10383.1	10383.1
741.81	744.8	10411	10411
741.91	744.7	10385.3	10385.3
742.01	744.6	10419	10419
742.11	744.5	10307.8	10307.8
742.21	744.4	10372	10372
742.31	744.3	10282.2	10282.2
742.41	744.2	10388.6	10388.6
742.51	744.1	10372.1	10372.1
742.61	744	10328.3	10328.3
742.71	743.9	10437.7	10437.7
742.81	743.8	10424.3	10424.3
742.91	743.7	10384.2	10384.2
743.01	743.6	10437.5	10437.5
743.11	743.5	10614	10614
743.21	743.4	10436.7	10436.7
743.31	743.3	10612.9	10612.9
743.41	743.2	10423.4	10423.4
743.51	743.1	10512.6	10512.6
743.61	743	10613.3	10613.3
743.71	742.9	10486.5	10486.5
743.81	742.8	10403.5	10403.5
743.91	742.7	10472.4	10472.4
744.01	742.6	10477.1	10477.1
744.11	742.5	10482.4	10482.4
744.21	742.4	10446.3	10446.3
744.31	742.3	10529.8	10529.8
744.41	742.2	10591.7	10591.7
744.51	742.1	10337.1	10337.1
744.61	742	10401.6	10401.6
744.71	741.9	10483.1	10483.1
744.81	741.8	10490	10490
744.91	741.7	10342.5	10342.5
745.01	741.6	10472.2	10472.2
745.11	741.5	10802.6	10802.6
745.21	741.4	10486.6	10486.6
745.31	741.3	10421.8	10421.8
745.41	741.2	10568.4	10568.4
745.51	741.1	10432.5	10432.5
745.61	741	10407	10407
745.71	740.9	10475.7	10475.7
745.81	740.8	10420.9	10420.9
745.91	740.7	10517.6	10517.6
746.01	740.6	10526.7	10526.7
746.11	740.5	10451.4	10451.4
746.21	740.4	10448.8	10448.8
746.31	740.3	10396.1	10396.1
746.41	740.2	10453.7	10453.7
746.51	740.1	10335.5	10335.5
746.61	740	10415.5	10415.5
746.71	739.9	10411.6	10411.6
746.81	739.8	10569	10569
746.91	739.7	10654.4	10654.4
747.01	739.6	10721	10721
747.11	739.5	10457.4	10457.4
