c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1071.11	415.5	7845.9
1071.21	415.4	7891.23
1071.31	415.3	7782.7
1071.41	415.2	7867.47
1071.51	415.1	7830.57
1071.61	415	7862.83
1071.71	414.9	7891.3
1071.81	414.8	7902.13
1071.91	414.7	7896.77
1072.01	414.6	7860.83
1072.11	414.5	7778.07
1072.21	414.4	7870.93
1072.31	414.3	7847.13
1072.41	414.2	7811.07
1072.51	414.1	7771.4
1072.61	414	7736.37
1072.71	413.9	7816.17
1072.81	413.8	7847.67
1072.91	413.7	7832.7
1073.01	413.6	7848.87
1073.11	413.5	7775.77
1073.21	413.4	7833.17
1073.31	413.3	7932.2
1073.41	413.2	7802
1073.51	413.1	7800.07
1073.61	413	7908.5
1073.71	412.9	7870.2
1073.81	412.8	7851.9
1073.91	412.7	7881.5
1074.01	412.6	7778.5
1074.11	412.5	7827.1
1074.21	412.4	7893
1074.31	412.3	7894.23
1074.41	412.2	7807.17
1074.51	412.1	7778.33
1074.61	412	7865.73
1074.71	411.9	7813.27
1074.81	411.8	7841.27
1074.91	411.7	7943.07
1075.01	411.6	7884.53
1075.11	411.5	7960.7
1075.21	411.4	7865.57
1075.31	411.3	7933.8
1075.41	411.2	7875.13
1075.51	411.1	7930.93
1075.61	411	7873.8
1075.71	410.9	7904.13
1075.81	410.8	7838.1
1075.91	410.7	7888.77
1076.01	410.6	7911.47
1076.11	410.5	7915
1076.21	410.4	7947.87
1076.31	410.3	7867.2
1076.41	410.2	7901.97
1076.51	410.1	7906.8
1076.61	410	7921.4
1076.71	409.9	7873.8
1076.81	409.8	7858.47
1076.91	409.7	7934.4
1077.01	409.6	7915.27
1077.11	409.5	7937.8
1077.21	409.4	7893.67
1077.31	409.3	7984.47
1077.41	409.2	7977.43
1077.51	409.1	7932.87
1077.61	409	8000.47
1077.71	408.9	8031.73
1077.81	408.8	7934.17
1077.91	408.7	7954.7
1078.01	408.6	7915.1
1078.11	408.5	7968.73
1078.21	408.4	7955.57
1078.31	408.3	7944.93
1078.41	408.2	7998.2
1078.51	408.1	7940.2
1078.61	408	7982.9
1078.71	407.9	7965.67
1078.81	407.8	7951.7
1078.91	407.7	7980.3
1079.01	407.6	7984.8
1079.11	407.5	8061.77
1079.21	407.4	8010.77
