c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu3s
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Cu3s	BE_Cu3s	CPS_Cu3s
1315.21	171.4	2092.7
1315.31	171.3	2117.16
1315.41	171.2	2152.97
1315.51	171.1	2079.76
1315.61	171	2105.33
1315.71	170.9	2110.63
1315.81	170.8	2097.51
1315.91	170.7	2095.75
1316.01	170.6	2052.3
1316.11	170.5	2078.53
1316.21	170.4	2103.82
1316.31	170.3	2115
1316.41	170.2	2087.15
1316.51	170.1	2093.81
1316.61	170	2116.23
1316.71	169.9	2104.8
1316.81	169.8	2111.03
1316.91	169.7	2115.57
1317.01	169.6	2068.22
1317.11	169.5	2110.09
1317.21	169.4	2063.66
1317.31	169.3	2139.02
1317.41	169.2	2127
1317.51	169.1	2138.26
1317.61	169	2086.01
1317.71	168.9	2097.89
1317.81	168.8	2079.37
1317.91	168.7	2132.59
1318.01	168.6	2135.77
1318.11	168.5	2122.03
1318.21	168.4	2134.3
1318.31	168.3	2124.72
1318.41	168.2	2131.05
1318.51	168.1	2126.78
1318.61	168	2119.61
1318.71	167.9	2099.04
1318.81	167.8	2121.28
1318.91	167.7	2151.76
1319.01	167.6	2134.3
1319.11	167.5	2124.73
1319.21	167.4	2145.74
1319.31	167.3	2145.01
1319.41	167.2	2107.38
1319.51	167.1	2138.15
1319.61	167	2198.72
1319.71	166.9	2141.45
1319.81	166.8	2154.37
1319.91	166.7	2148.87
1320.01	166.6	2099.98
1320.11	166.5	2132.36
1320.21	166.4	2129.22
1320.31	166.3	2127.4
1320.41	166.2	2164.69
1320.51	166.1	2167.41
1320.61	166	2219.86
1320.71	165.9	2139.86
1320.81	165.8	2136.67
1320.91	165.7	2120.64
1321.01	165.6	2158.34
1321.11	165.5	2149.31
1321.21	165.4	2188.32
1321.31	165.3	2160.09
1321.41	165.2	2159.43
1321.51	165.1	2121.57
1321.61	165	2156.3
1321.71	164.9	2139.8
1321.81	164.8	2138.24
1321.91	164.7	2152.84
1322.01	164.6	2163.57
1322.11	164.5	2172.6
1322.21	164.4	2143.76
1322.31	164.3	2220.24
1322.41	164.2	2206.45
1322.51	164.1	2180.83
1322.61	164	2178.4
1322.71	163.9	2184.55
1322.81	163.8	2181.6
1322.91	163.7	2194.18
1323.01	163.6	2175.34
1323.11	163.5	2211.8
1323.21	163.4	2236.14
1323.31	163.3	2203.64
1323.41	163.2	2198.84
1323.51	163.1	2178.22
1323.61	163	2232.32
1323.71	162.9	2207.62
1323.81	162.8	2221.43
1323.91	162.7	2251.07
1324.01	162.6	2272.45
1324.11	162.5	2271.61
1324.21	162.4	2267.74
1324.31	162.3	2242.7
1324.41	162.2	2295.32
1324.51	162.1	2281.9
1324.61	162	2262
1324.71	161.9	2215.76
1324.81	161.8	2243.29
1324.91	161.7	2302.17
1325.01	161.6	2275.17
1325.11	161.5	2270.98
1325.21	161.4	2263.07
1325.31	161.3	2189.9
1325.41	161.2	2217.99
1325.51	161.1	2231.8
1325.61	161	2235.18
1325.71	160.9	2215.12
1325.81	160.8	2212.14
1325.91	160.7	2178.01
1326.01	160.6	2153.84
1326.11	160.5	2152.03
1326.21	160.4	2180.41
1326.31	160.3	2176.63
1326.41	160.2	2193.84
1326.51	160.1	2201.59
1326.61	160	2197.95
1326.71	159.9	2190.05
1326.81	159.8	2130.09
1326.91	159.7	2172.34
1327.01	159.6	2181.01
1327.11	159.5	2198.6
1327.21	159.4	2230.86
1327.31	159.3	2229.92
1327.41	159.2	2208
1327.51	159.1	2171.47
1327.61	159	2208.9
1327.71	158.9	2214.11
1327.81	158.8	2235.13
1327.91	158.7	2210.28
1328.01	158.6	2243.51
1328.11	158.5	2228.72
1328.21	158.4	2226.46
1328.31	158.3	2171.55
1328.41	158.2	2212.42
1328.51	158.1	2237.99
