c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	4.35
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
916.358	570.252	3140.69
916.458	570.152	3098.64
916.558	570.052	3094.11
916.658	569.952	3085.84
916.758	569.852	3116.3
916.858	569.752	3104.21
916.958	569.652	3109.79
917.057	569.553	3168.6
917.157	569.453	3193.7
917.257	569.353	3232.83
917.357	569.253	3306.53
917.457	569.153	3373.59
917.557	569.053	3505.98
917.657	568.953	3636.05
917.757	568.853	3811.82
917.857	568.753	4075.36
917.956	568.654	4337.13
918.056	568.554	4688.64
918.156	568.454	4996.14
918.256	568.354	5206.05
918.356	568.254	5528.57
918.456	568.154	5743.1
918.556	568.054	5776.37
918.656	567.954	5684.21
918.756	567.854	5478.25
918.856	567.754	5066.34
918.955	567.655	4649.54
919.055	567.555	4239.22
919.155	567.455	3920.83
919.255	567.355	3688.07
919.355	567.255	3471.31
919.455	567.155	3330.11
919.555	567.055	3280.67
919.655	566.955	3122.11
919.755	566.855	3013.52
919.855	566.755	2892.3
919.954	566.656	2754.87
920.054	566.556	2639.29
920.154	566.456	2532.87
920.254	566.356	2509.13
920.354	566.256	2422.23
920.454	566.156	2398.8
920.554	566.056	2428.46
920.654	565.956	2484.97
920.754	565.856	2488.64
920.853	565.757	2506.18
920.953	565.657	2548.92
921.053	565.557	2628.39
921.153	565.457	2649.29
921.253	565.357	2631.06
921.353	565.257	2641.2
921.453	565.157	2562.74
921.553	565.057	2450.18
921.653	564.957	2343.26
921.753	564.857	2227.37
921.852	564.758	2155.77
921.952	564.658	2048.99
922.052	564.558	1961.52
922.152	564.458	1850.45
922.252	564.358	1795
922.352	564.258	1729.14
922.452	564.158	1717.83
922.552	564.058	1653.01
922.652	563.958	1638.87
922.751	563.859	1595.65
922.851	563.759	1602.01
922.951	563.659	1587.37
923.051	563.559	1566.35
923.151	563.459	1563.22
923.251	563.359	1549.42
923.351	563.259	1545.63
923.451	563.159	1559.71
923.551	563.059	1551.62
923.651	562.959	1519.31
923.75	562.86	1492.69
923.85	562.76	1495.2
923.95	562.66	1485.31
924.05	562.56	1531.72
924.15	562.46	1515.91
924.25	562.36	1532.61
924.35	562.26	1524.7
924.45	562.16	1467.69
924.55	562.06	1504.62
924.65	561.96	1489.66
924.749	561.861	1476.74
924.849	561.761	1496.94
924.949	561.661	1491.68
925.049	561.561	1479.33
925.149	561.461	1484.5
925.249	561.361	1498.26
925.349	561.261	1475.34
925.449	561.161	1469.57
925.549	561.061	1467.39
925.648	560.962	1424.01
925.748	560.862	1463.58
925.848	560.762	1440.74
925.948	560.662	1433.77
926.048	560.562	1432.77
926.148	560.462	1420.95
926.248	560.362	1391.42
926.348	560.262	1386.31
926.448	560.162	1406.76
926.548	560.062	1409.13
926.647	559.963	1386.1
926.747	559.863	1397.73
926.847	559.763	1385.83
926.947	559.663	1359.09
927.047	559.563	1375.19
927.147	559.463	1343.85
