c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
921.653	564.957	10569.1
921.753	564.857	9840.5
921.852	564.758	9141.4
921.952	564.658	8560.3
922.052	564.558	8019.77
922.152	564.458	7534.53
922.252	564.358	7174.13
922.352	564.258	6915.4
922.452	564.158	6606.9
922.552	564.058	6471.67
922.652	563.958	6380.37
922.751	563.859	6167.2
922.851	563.759	6095.9
922.951	563.659	6023.47
923.051	563.559	5872.8
923.151	563.459	5870.37
923.251	563.359	5812.63
923.351	563.259	5777.13
923.451	563.159	5733.63
923.551	563.059	5615.23
923.651	562.959	5576.4
923.75	562.86	5590.2
923.85	562.76	5608.9
923.95	562.66	5552.7
924.05	562.56	5562
924.15	562.46	5566.33
924.25	562.36	5485.67
924.35	562.26	5510.7
924.45	562.16	5492.9
924.55	562.06	5496.13
924.65	561.96	5345.2
924.749	561.861	5445.37
924.849	561.761	5427.5
924.949	561.661	5467.33
925.049	561.561	5393.33
925.149	561.461	5446
925.249	561.361	5394.27
925.349	561.261	5328.97
925.449	561.161	5385.4
925.549	561.061	5319.03
925.648	560.962	5307.6
925.748	560.862	5326.9
925.848	560.762	5308.63
925.948	560.662	5308.63
926.048	560.562	5319.83
926.148	560.462	5258.07
926.248	560.362	5191.47
926.348	560.262	5214.8
926.448	560.162	5213.47
926.548	560.062	5172.13
926.647	559.963	5165.97
926.747	559.863	5108.23
926.847	559.763	5133.87
926.947	559.663	5109.2
927.047	559.563	5099.67
927.147	559.463	5077.67
927.247	559.363	5027.03
927.347	559.263	5014.53
927.447	559.163	4938.87
927.546	559.064	4959.23
927.646	558.964	4947.2
927.746	558.864	4916.5
927.846	558.764	4850.7
927.946	558.664	4804.5
928.046	558.564	4757.47
928.146	558.464	4763.87
928.246	558.364	4755.13
928.346	558.264	4740.27
928.446	558.164	4696.57
928.545	558.065	4676.53
928.645	557.965	4689.4
928.745	557.865	4620.73
928.845	557.765	4665.43
928.945	557.665	4633.53
929.045	557.565	4594.4
929.145	557.465	4579.3
929.245	557.365	4543
929.345	557.265	4541.7
929.445	557.165	4515.37
929.544	557.066	4437.3
929.644	556.966	4380.27
929.744	556.866	4420.7
929.844	556.766	4396.8
929.944	556.666	4318.47
930.044	556.566	4305.03
930.144	556.466	4280.17
930.244	556.366	4350.73
930.344	556.266	4251.37
930.443	556.167	4219.77
930.543	556.067	4204.93
930.643	555.967	4177.73
930.743	555.867	4153.2
