C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_AgMNN	BE_AgMNN	CPS_AgMNN
297.61	1189	1293.56
297.71	1188.9	1288.56
297.81	1188.8	1260.33
297.91	1188.7	1244.11
298.01	1188.6	1273.73
298.11	1188.5	1267.32
298.21	1188.4	1253.08
298.31	1188.3	1282.77
298.41	1188.2	1265.07
298.51	1188.1	1242.33
298.61	1188	1254.04
298.71	1187.9	1264.96
298.81	1187.8	1284.85
298.91	1187.7	1294.51
299.01	1187.6	1278.73
299.11	1187.5	1266.59
299.21	1187.4	1263.5
299.31	1187.3	1265.6
299.41	1187.2	1278.95
299.51	1187.1	1239.26
299.61	1187	1238.9
299.71	1186.9	1252.96
299.81	1186.8	1232.61
299.91	1186.7	1254.95
300.01	1186.6	1262.67
300.11	1186.5	1272.26
300.21	1186.4	1269.07
300.31	1186.3	1273.24
300.41	1186.2	1256.17
300.51	1186.1	1267.41
300.61	1186	1279.25
300.71	1185.9	1276.82
300.81	1185.8	1296.84
300.91	1185.7	1282.72
301.01	1185.6	1277.66
301.11	1185.5	1266.7
301.21	1185.4	1255.79
301.31	1185.3	1304.01
301.41	1185.2	1299.64
301.51	1185.1	1266.4
301.61	1185	1254.22
301.71	1184.9	1298.99
301.81	1184.8	1301.75
301.91	1184.7	1296.2
302.01	1184.6	1250.78
302.11	1184.5	1286.3
302.21	1184.4	1277.52
302.31	1184.3	1264.08
302.41	1184.2	1281.05
302.51	1184.1	1299.51
302.61	1184	1252.62
302.71	1183.9	1264.6
302.81	1183.8	1252.04
302.91	1183.7	1235.45
303.01	1183.6	1255.18
303.11	1183.5	1255.36
303.21	1183.4	1295.34
303.31	1183.3	1270.41
303.41	1183.2	1265.73
303.51	1183.1	1276.27
303.61	1183	1284.21
303.71	1182.9	1281.76
303.81	1182.8	1285.96
303.91	1182.7	1277.03
304.01	1182.6	1295.35
304.11	1182.5	1291.59
304.21	1182.4	1287.64
304.31	1182.3	1302.33
304.41	1182.2	1297.78
304.51	1182.1	1259.71
304.61	1182	1262.66
304.71	1181.9	1259.35
304.81	1181.8	1273.88
304.91	1181.7	1281.35
305.01	1181.6	1260.57
305.11	1181.5	1319.28
305.21	1181.4	1271.88
305.31	1181.3	1258.97
305.41	1181.2	1298.33
305.51	1181.1	1281.21
305.61	1181	1289.03
305.71	1180.9	1274.84
305.81	1180.8	1280.58
305.91	1180.7	1254.36
306.01	1180.6	1250.56
306.11	1180.5	1283.44
306.21	1180.4	1283.25
306.31	1180.3	1241.35
306.41	1180.2	1276.27
306.51	1180.1	1261.1
306.61	1180	1264.44
306.71	1179.9	1266.92
306.81	1179.8	1290.04
306.91	1179.7	1274.51
307.01	1179.6	1262.78
307.11	1179.5	1256.42
307.21	1179.4	1281.72
307.31	1179.3	1236.89
307.41	1179.2	1281.41
307.51	1179.1	1276
307.61	1179	1257.5
307.71	1178.9	1266.01
307.81	1178.8	1261.96
307.91	1178.7	1255.45
308.01	1178.6	1227.2
308.11	1178.5	1267.96
308.21	1178.4	1286.83
308.31	1178.3	1279.24
308.41	1178.2	1280.18
308.51	1178.1	1266.73
308.61	1178	1263.52
308.71	1177.9	1269.11
308.81	1177.8	1280.17
308.91	1177.7	1280.58
309.01	1177.6	1277.25
309.11	1177.5	1260.82
309.21	1177.4	1256.97
309.31	1177.3	1230.09
309.41	1177.2	1250.92
309.51	1177.1	1229.54
309.61	1177	1255.66
309.71	1176.9	1287.1
309.81	1176.8	1304.41
309.91	1176.7	1250.34
310.01	1176.6	1246.2
310.11	1176.5	1237.95
310.21	1176.4	1232.97
310.31	1176.3	1267.33
310.41	1176.2	1276.44
310.51	1176.1	1297.13
310.61	1176	1254.94
310.71	1175.9	1269.08
310.81	1175.8	1265.65
310.91	1175.7	1266.21
311.01	1175.6	1236.53
311.11	1175.5	1243.86
311.21	1175.4	1268.67
311.31	1175.3	1296.11
311.41	1175.2	1275.55
311.51	1175.1	1249.3
311.61	1175	1279.68
311.71	1174.9	1292.9
311.81	1174.8	1258.9
311.91	1174.7	1293.16
312.01	1174.6	1273.2
312.11	1174.5	1264.28
312.21	1174.4	1268.77
312.31	1174.3	1245.28
312.41	1174.2	1299.02
312.51	1174.1	1264.36
312.61	1174	1269.88
312.71	1173.9	1254.32
312.81	1173.8	1285.91
312.91	1173.7	1295.01
313.01	1173.6	1258.05
313.11	1173.5	1265.45
313.21	1173.4	1283.81
313.31	1173.3	1301.44
313.41	1173.2	1284.47
313.51	1173.1	1265.98
313.61	1173	1276.22
313.71	1172.9	1304.62
313.81	1172.8	1273.32
313.91	1172.7	1252.02
314.01	1172.6	1303.07
314.11	1172.5	1269.18
314.21	1172.4	1285.56
314.31	1172.3	1291.8
314.41	1172.2	1274.52
314.51	1172.1	1279.74
314.61	1172	1286.38
314.71	1171.9	1260.45
314.81	1171.8	1264.29
314.91	1171.7	1255.52
315.01	1171.6	1261.38
315.11	1171.5	1260.75
315.21	1171.4	1322.98
315.31	1171.3	1260.31
315.41	1171.2	1271.72
315.51	1171.1	1276.61
315.61	1171	1277.86
315.71	1170.9	1280.32
315.81	1170.8	1265.84
315.91	1170.7	1309.51
316.01	1170.6	1295.37
316.11	1170.5	1312.93
316.21	1170.4	1292.29
316.31	1170.3	1264.86
316.41	1170.2	1276.57
316.51	1170.1	1266.45
316.61	1170	1285.89
316.71	1169.9	1282.63
316.81	1169.8	1270.91
316.91	1169.7	1249.66
317.01	1169.6	1269.32
317.11	1169.5	1275.31
317.21	1169.4	1304.25
317.31	1169.3	1265.6
317.41	1169.2	1313.88
317.51	1169.1	1285.08
317.61	1169	1290.28
317.71	1168.9	1310.77
317.81	1168.8	1297.83
317.91	1168.7	1309.47
318.01	1168.6	1304.31
318.11	1168.5	1289.51
318.21	1168.4	1308.75
318.31	1168.3	1313.9
318.41	1168.2	1306.47
318.51	1168.1	1325.31
318.61	1168	1266.51
318.71	1167.9	1283.97
