C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_Ag3p	BE_Ag3p	CPS_Ag3p
725.61	761	3588.92
725.71	760.9	3585.71
725.81	760.8	3540.2
725.91	760.7	3530.9
726.01	760.6	3595.45
726.11	760.5	3563.25
726.21	760.4	3586.74
726.31	760.3	3592.8
726.41	760.2	3564.48
726.51	760.1	3558.88
726.61	760	3620.11
726.71	759.9	3561.34
726.81	759.8	3575.62
726.91	759.7	3535.67
727.01	759.6	3587.03
727.11	759.5	3594.47
727.21	759.4	3598.66
727.31	759.3	3605.09
727.41	759.2	3611.57
727.51	759.1	3606.4
727.61	759	3646.83
727.71	758.9	3608.97
727.81	758.8	3583.92
727.91	758.7	3593.23
728.01	758.6	3594.17
728.11	758.5	3617.83
728.21	758.4	3590.13
728.31	758.3	3589.61
728.41	758.2	3635.42
728.51	758.1	3558.98
728.61	758	3606.26
728.71	757.9	3560.46
728.81	757.8	3568.69
728.91	757.7	3564.45
729.01	757.6	3628.42
729.11	757.5	3589.5
729.21	757.4	3610.33
729.31	757.3	3607.19
729.41	757.2	3636.91
729.51	757.1	3599.01
729.61	757	3594.8
729.71	756.9	3593.6
729.81	756.8	3647.16
729.91	756.7	3631.56
730.01	756.6	3628.84
730.11	756.5	3588.76
730.21	756.4	3600.88
730.31	756.3	3609.14
730.41	756.2	3575.54
730.51	756.1	3625.1
730.61	756	3592.74
730.71	755.9	3587.91
730.81	755.8	3632.14
730.91	755.7	3623.98
731.01	755.6	3631.27
731.11	755.5	3614.77
731.21	755.4	3608.92
731.31	755.3	3596.84
731.41	755.2	3615.72
731.51	755.1	3659.75
731.61	755	3609.3
731.71	754.9	3614.17
731.81	754.8	3618.5
731.91	754.7	3606.47
732.01	754.6	3683.79
732.11	754.5	3638.24
732.21	754.4	3630.89
732.31	754.3	3602.05
732.41	754.2	3617.26
732.51	754.1	3610.96
732.61	754	3588.2
732.71	753.9	3625.97
732.81	753.8	3634.32
732.91	753.7	3629.94
733.01	753.6	3594.03
733.11	753.5	3642.7
733.21	753.4	3675.55
733.31	753.3	3710.01
733.41	753.2	3647.91
733.51	753.1	3616.75
733.61	753	3604.61
733.71	752.9	3647.12
733.81	752.8	3618.59
733.91	752.7	3590.26
734.01	752.6	3629.4
734.11	752.5	3612.89
734.21	752.4	3632.55
734.31	752.3	3708.89
734.41	752.2	3627.61
734.51	752.1	3677.26
734.61	752	3731.84
734.71	751.9	3709.35
734.81	751.8	3675.05
734.91	751.7	3684.82
735.01	751.6	3688.81
735.11	751.5	3697.32
735.21	751.4	3646.59
735.31	751.3	3701.14
735.41	751.2	3636.99
735.51	751.1	3547.91
735.61	751	3606.2
735.71	750.9	3688.59
735.81	750.8	3698.9
735.91	750.7	3621.46
736.01	750.6	3586.72
736.11	750.5	3661.27
736.21	750.4	3711.69
736.31	750.3	3694.89
736.41	750.2	3685.58
736.51	750.1	3650.3
736.61	750	3672.82
736.71	749.9	3668.04
736.81	749.8	3673.87
736.91	749.7	3664.68
737.01	749.6	3641.21
737.11	749.5	3673.39
737.21	749.4	3684.49
737.31	749.3	3656.02
737.41	749.2	3681.46
737.51	749.1	3607.7
737.61	749	3631.36
737.71	748.9	3690.77
737.81	748.8	3679.1
737.91	748.7	3705.59
738.01	748.6	3683.63
738.11	748.5	3659.4
738.21	748.4	3673.92
738.31	748.3	3620
738.41	748.2	3654.95
738.51	748.1	3604.98
738.61	748	3661.18
738.71	747.9	3698.89
738.81	747.8	3672.91
738.91	747.7	3623.04
739.01	747.6	3667.9
739.11	747.5	3660.03
739.21	747.4	3666.22
739.31	747.3	3659.97
739.41	747.2	3645.3
739.51	747.1	3647.74
739.61	747	3643.6
739.71	746.9	3660.35
739.81	746.8	3683.1
739.91	746.7	3668.44
740.01	746.6	3687.34
740.11	746.5	3678.78
740.21	746.4	3648.18
740.31	746.3	3675.77
740.41	746.2	3704.94
740.51	746.1	3678.1
740.61	746	3681.49
740.71	745.9	3667.47
740.81	745.8	3688.87
740.91	745.7	3712.88
741.01	745.6	3647.06
741.11	745.5	3706.98
741.21	745.4	3708.7
741.31	745.3	3712.92
741.41	745.2	3709.07
741.51	745.1	3678.99
741.61	745	3761.09
741.71	744.9	3753.56
741.81	744.8	3763.15
741.91	744.7	3773.22
742.01	744.6	3701.02
742.11	744.5	3719.72
742.21	744.4	3741.93
742.31	744.3	3758.5
742.41	744.2	3750.56
742.51	744.1	3754.72
742.61	744	3694.1
742.71	743.9	3744.73
742.81	743.8	3710.02
742.91	743.7	3672.44
743.01	743.6	3727.07
743.11	743.5	3725.55
743.21	743.4	3768.7
743.31	743.3	3758.98
743.41	743.2	3722.72
743.51	743.1	3723.68
743.61	743	3718.35
743.71	742.9	3727.64
743.81	742.8	3743.09
743.91	742.7	3759.47
744.01	742.6	3731.21
744.11	742.5	3758.8
744.21	742.4	3738.34
744.31	742.3	3744.69
744.41	742.2	3668.61
744.51	742.1	3686.79
744.61	742	3697.59
744.71	741.9	3672.16
744.81	741.8	3711.8
744.91	741.7	3793.15
745.01	741.6	3733.98
745.11	741.5	3732.45
745.21	741.4	3697.85
745.31	741.3	3662.54
745.41	741.2	3728.08
745.51	741.1	3753.06
