c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu3s
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu3s	BE_Cu3s	CPS_Cu3s
1347.61	139	1262.09
1347.71	138.9	1269.34
1347.81	138.8	1257.1
1347.91	138.7	1269.28
1348.01	138.6	1283.05
1348.11	138.5	1243.66
1348.21	138.4	1274.34
1348.31	138.3	1287.31
1348.41	138.2	1272.23
1348.51	138.1	1305.99
1348.61	138	1286.39
1348.71	137.9	1272.76
1348.81	137.8	1256.76
1348.91	137.7	1244.55
1349.01	137.6	1277.46
1349.11	137.5	1297.17
1349.21	137.4	1273.13
1349.31	137.3	1281.32
1349.41	137.2	1294.52
1349.51	137.1	1296.84
1349.61	137	1312.04
1349.71	136.9	1308.96
1349.81	136.8	1306.76
1349.91	136.7	1296.7
1350.01	136.6	1297.14
1350.11	136.5	1304.07
1350.21	136.4	1305.57
1350.31	136.3	1318.81
1350.41	136.2	1322.98
1350.51	136.1	1288.17
1350.61	136	1303.11
1350.71	135.9	1298.17
1350.81	135.8	1306.01
1350.91	135.7	1307
1351.01	135.6	1263.35
1351.11	135.5	1286.69
1351.21	135.4	1307.62
1351.31	135.3	1261.09
1351.41	135.2	1264.61
1351.51	135.1	1239.77
1351.61	135	1260.39
1351.71	134.9	1264.08
1351.81	134.8	1277.93
1351.91	134.7	1271.64
1352.01	134.6	1223.44
1352.11	134.5	1222.68
1352.21	134.4	1222.87
1352.31	134.3	1250.07
1352.41	134.2	1236.38
1352.51	134.1	1224.89
1352.61	134	1217.06
1352.71	133.9	1227.37
1352.81	133.8	1223.08
1352.91	133.7	1207.61
1353.01	133.6	1202.72
1353.11	133.5	1170.92
1353.21	133.4	1154.16
1353.31	133.3	1199.19
1353.41	133.2	1199.81
1353.51	133.1	1187.43
1353.61	133	1173.38
1353.71	132.9	1193.05
1353.81	132.8	1178.65
1353.91	132.7	1186.68
1354.01	132.6	1189.9
1354.11	132.5	1221.14
1354.21	132.4	1208.13
1354.31	132.3	1196.75
1354.41	132.2	1166.32
1354.51	132.1	1172.38
1354.61	132	1183.83
1354.71	131.9	1215.14
1354.81	131.8	1196.89
1354.91	131.7	1178.5
1355.01	131.6	1193.61
1355.11	131.5	1197.83
1355.21	131.4	1189.53
1355.31	131.3	1151.64
1355.41	131.2	1171.02
1355.51	131.1	1169.86
1355.61	131	1179.66
1355.71	130.9	1175.4
1355.81	130.8	1170.49
1355.91	130.7	1179.46
1356.01	130.6	1162.55
1356.11	130.5	1160.08
1356.21	130.4	1148.28
1356.31	130.3	1165.75
1356.41	130.2	1195.78
1356.51	130.1	1145.39
1356.61	130	1165.59
1356.71	129.9	1178.7
1356.81	129.8	1170.49
1356.91	129.7	1181.37
1357.01	129.6	1170.3
1357.11	129.5	1180.31
1357.21	129.4	1145.66
1357.31	129.3	1184.37
1357.41	129.2	1151.31
1357.51	129.1	1158.69
1357.61	129	1159.05
1357.71	128.9	1168.63
1357.81	128.8	1160.06
1357.91	128.7	1177.79
1358.01	128.6	1188.36
1358.11	128.5	1186.16
1358.21	128.4	1141.48
1358.31	128.3	1164.09
1358.41	128.2	1170.55
1358.51	128.1	1201.17
1358.61	128	1198.49
1358.71	127.9	1182.45
1358.81	127.8	1207.76
1358.91	127.7	1175.23
1359.01	127.6	1176.82
1359.11	127.5	1197.14
1359.21	127.4	1196.01
1359.31	127.3	1195.81
1359.41	127.2	1202.84
1359.51	127.1	1197.65
1359.61	127	1242.66
1359.71	126.9	1235.4
1359.81	126.8	1220.65
1359.91	126.7	1219.06
1360.01	126.6	1253.75
1360.11	126.5	1209.62
1360.21	126.4	1249.21
1360.31	126.3	1241.02
1360.41	126.2	1210.31
1360.51	126.1	1228.12
1360.61	126	1241.53
1360.71	125.9	1259.79
1360.81	125.8	1263.43
1360.91	125.7	1280.37
1361.01	125.6	1281.16
1361.11	125.5	1258.88
1361.21	125.4	1250.07
1361.31	125.3	1272.45
1361.41	125.2	1321.37
1361.51	125.1	1338.62
1361.61	125	1290.72
1361.71	124.9	1319.09
1361.81	124.8	1329.82
1361.91	124.7	1345.15
1362.01	124.6	1374.82
1362.11	124.5	1379.76
1362.21	124.4	1420.33
1362.31	124.3	1434.85
1362.41	124.2	1473.84
1362.51	124.1	1515.24
1362.61	124	1520.44
1362.71	123.9	1573.25
1362.81	123.8	1630.07
1362.91	123.7	1659.23
1363.01	123.6	1700.63
1363.11	123.5	1727.99
1363.21	123.4	1780.33
1363.31	123.3	1830.75
1363.41	123.2	1909
1363.51	123.1	1950.4
1363.61	123	1980.25
1363.71	122.9	2011.91
1363.81	122.8	2057.8
1363.91	122.7	2096.15
1364.01	122.6	2115.71
1364.11	122.5	2111.76
1364.21	122.4	2127.96
1364.31	122.3	2096.83
1364.41	122.2	2043.68
1364.51	122.1	2025.04
1364.61	122	1937.13
1364.71	121.9	1867.97
1364.81	121.8	1828.57
1364.91	121.7	1791.13
1365.01	121.6	1734.43
1365.11	121.5	1679.98
1365.21	121.4	1578.65
1365.31	121.3	1526.25
1365.41	121.2	1491.55
1365.51	121.1	1513.31
1365.61	121	1447.03
1365.71	120.9	1404.95
1365.81	120.8	1393.12
1365.91	120.7	1353.55
1366.01	120.6	1313
1366.11	120.5	1287.54
1366.21	120.4	1272.13
