c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Pr:Cu2s
	Characteristic Energy eV	1486.61	Acquisition Time s	4
KE_Pr:Cu2s	BE_Pr:Cu2s	CPS_Pr:Cu2s
324.81	1161.8	863.277
324.91	1161.7	909.407
325.01	1161.6	932.711
325.11	1161.5	927.563
325.21	1161.4	885.04
325.31	1161.3	846.44
325.41	1161.2	882.688
325.51	1161.1	898.961
325.61	1161	905.882
325.71	1160.9	925.301
325.81	1160.8	969.745
325.91	1160.7	943.337
326.01	1160.6	818.953
326.11	1160.5	918.117
326.21	1160.4	986.28
326.31	1160.3	1055.37
326.41	1160.2	923.628
326.51	1160.1	905.737
326.61	1160	870.169
326.71	1159.9	891.226
326.81	1159.8	1043.23
326.91	1159.7	917.335
327.01	1159.6	887.862
327.11	1159.5	925.663
327.21	1159.4	865.238
327.31	1159.3	873.636
327.41	1159.2	978.408
327.51	1159.1	1001.73
327.61	1159	918.148
327.71	1158.9	962.99
327.81	1158.8	971.732
327.91	1158.7	1071.97
328.01	1158.6	845.76
328.11	1158.5	916.923
328.21	1158.4	1004.38
328.31	1158.3	1027.64
328.41	1158.2	1085.85
328.51	1158.1	925.983
328.61	1158	974.813
328.71	1157.9	981.092
328.81	1157.8	1006.82
328.91	1157.7	1018.44
329.01	1157.6	969.07
329.11	1157.5	953.693
329.21	1157.4	939.464
329.31	1157.3	887.735
329.41	1157.2	985.153
329.51	1157.1	1029.12
329.61	1157	1030.91
329.71	1156.9	1009.58
329.81	1156.8	1050.19
329.91	1156.7	901.026
330.01	1156.6	969.086
330.11	1156.5	977.745
330.21	1156.4	977.277
330.31	1156.3	1021.98
330.41	1156.2	969.612
330.51	1156.1	1013.39
330.61	1156	997.291
330.71	1155.9	894.291
330.81	1155.8	929.639
330.91	1155.7	969.936
331.01	1155.6	925.107
331.11	1155.5	996.35
331.21	1155.4	992.743
331.31	1155.3	1058.96
331.41	1155.2	989.823
331.51	1155.1	1003.49
331.61	1155	1033.1
331.71	1154.9	1011.68
331.81	1154.8	933.841
331.91	1154.7	1001.85
332.01	1154.6	1022.35
332.11	1154.5	1099.48
332.21	1154.4	1062.31
332.31	1154.3	1038.66
332.41	1154.2	1069.63
332.51	1154.1	1063.41
332.61	1154	1042.95
332.71	1153.9	1005.75
332.81	1153.8	1047.76
332.91	1153.7	1094.83
333.01	1153.6	1007.85
333.11	1153.5	1053.41
333.21	1153.4	1047.5
333.31	1153.3	985.507
333.41	1153.2	1019.59
333.51	1153.1	1007.55
333.61	1153	994.803
333.71	1152.9	1022.83
333.81	1152.8	1017.26
333.91	1152.7	1047.43
334.01	1152.6	1094.01
334.11	1152.5	1123.88
334.21	1152.4	1075.63
334.31	1152.3	1147.87
334.41	1152.2	1061.16
334.51	1152.1	1133.68
334.61	1152	1210.12
334.71	1151.9	996.058
334.81	1151.8	1049.57
334.91	1151.7	1086.68
335.01	1151.6	1130.94
335.11	1151.5	1137.27
335.21	1151.4	1054.3
335.31	1151.3	1116.35
335.41	1151.2	1005.35
335.51	1151.1	927.428
335.61	1151	1015.73
335.71	1150.9	995.073
335.81	1150.8	1077.29
335.91	1150.7	1097.81
336.01	1150.6	1060.38
336.11	1150.5	1152.67
336.21	1150.4	1142.88
336.31	1150.3	1124.72
336.41	1150.2	1123.2
336.51	1150.1	1067.99
336.61	1150	1018.49
336.71	1149.9	972.023
336.81	1149.8	1068.58
336.91	1149.7	1099.1
337.01	1149.6	1160.05
337.11	1149.5	1090.78
337.21	1149.4	1048.57
337.31	1149.3	1145.94
337.41	1149.2	1148.31
337.51	1149.1	1060.9
337.61	1149	1021.27
337.71	1148.9	1087.43
337.81	1148.8	1102.32
337.91	1148.7	1140.07
338.01	1148.6	1067.33
338.11	1148.5	1114.71
338.21	1148.4	1156.97
338.31	1148.3	1192.32
338.41	1148.2	1168.75
338.51	1148.1	1127.35
338.61	1148	1272.67
338.71	1147.9	1268.71
338.81	1147.8	1195.91
338.91	1147.7	1167.6
339.01	1147.6	1038.94
339.11	1147.5	993.054
339.21	1147.4	1145.64
339.31	1147.3	1121
339.41	1147.2	1104.26
339.51	1147.1	1187.27
339.61	1147	1145.12
339.71	1146.9	1173.8
339.81	1146.8	1114
339.91	1146.7	1102.65
340.01	1146.6	1110.5
340.11	1146.5	1156.05
340.21	1146.4	1070.87
340.31	1146.3	1211.24
340.41	1146.2	1134.7
340.51	1146.1	1147.29
340.61	1146	1094.38
340.71	1145.9	1122.77
340.81	1145.8	1205.31
340.91	1145.7	1121.66
341.01	1145.6	1158.37
341.11	1145.5	1299.33
341.21	1145.4	1211.16
341.31	1145.3	1080.68
341.41	1145.2	1189.33
341.51	1145.1	1179.48
341.61	1145	1129.18
341.71	1144.9	1149.38
341.81	1144.8	1121.3
341.91	1144.7	1112.31
342.01	1144.6	1165.51
342.11	1144.5	1212.27
342.21	1144.4	1142.26
342.31	1144.3	1106.37
342.41	1144.2	1139.98
342.51	1144.1	1218.16
342.61	1144	1212.4
342.71	1143.9	1134.75
342.81	1143.8	1216.51
342.91	1143.7	1244.71
343.01	1143.6	1230.31
343.11	1143.5	1299.11
343.21	1143.4	1281.68
343.31	1143.3	1209.91
343.41	1143.2	1203.35
343.51	1143.1	1243.24
343.61	1143	1204.06
343.71	1142.9	1208.68
343.81	1142.8	1205.12
343.91	1142.7	1251.13
344.01	1142.6	1181.02
344.11	1142.5	1196.35
344.21	1142.4	1226.34
344.31	1142.3	1193.12
344.41	1142.2	1189.83
344.51	1142.1	1198.4
344.61	1142	1233.48
344.71	1141.9	1194.96
344.81	1141.8	1224.46
344.91	1141.7	1151.33
345.01	1141.6	1270.83
345.11	1141.5	1230.15
345.21	1141.4	1255.65
345.31	1141.3	1273.37
345.41	1141.2	1187.83
345.51	1141.1	1222.18
345.61	1141	1315.44
345.71	1140.9	1246.35
345.81	1140.8	1306.94
345.91	1140.7	1278.23
346.01	1140.6	1295.49
346.11	1140.5	1258.32
346.21	1140.4	1225.93
346.31	1140.3	1223.83
346.41	1140.2	1142.09
346.51	1140.1	1170.49
346.61	1140	1252.02
346.71	1139.9	1252.74
346.81	1139.8	1264.39
346.91	1139.7	1230.36
347.01	1139.6	1241.83
347.11	1139.5	1271.03
347.21	1139.4	1226.1
347.31	1139.3	1253.82
347.41	1139.2	1284.61
347.51	1139.1	1280.15
347.61	1139	1264.54
347.71	1138.9	1216.03
347.81	1138.8	1268.49
347.91	1138.7	1257.1
348.01	1138.6	1234.23
348.11	1138.5	1278.24
348.21	1138.4	1282.95
348.31	1138.3	1322.01
348.41	1138.2	1300.84
348.51	1138.1	1269.09
348.61	1138	1362.64
348.71	1137.9	1319.07
348.81	1137.8	1282.97
348.91	1137.7	1305.47
349.01	1137.6	1226.72
349.11	1137.5	1291.36
349.21	1137.4	1331.48
349.31	1137.3	1289.53
349.41	1137.2	1391.27
349.51	1137.1	1309.29
349.61	1137	1273.48
349.71	1136.9	1254.85
349.81	1136.8	1329.31
349.91	1136.7	1239.1
350.01	1136.6	1274.98
350.11	1136.5	1224.1
350.21	1136.4	1251.96
350.31	1136.3	1315.11
350.41	1136.2	1414.85
350.51	1136.1	1311.53
350.61	1136	1335.18
350.71	1135.9	1327.59
350.81	1135.8	1291.07
350.91	1135.7	1280.92
351.01	1135.6	1253.8
351.11	1135.5	1413.55
351.21	1135.4	1352.87
351.31	1135.3	1343.92
351.41	1135.2	1357.24
351.51	1135.1	1391.44
351.61	1135	1273.96
351.71	1134.9	1283.76
351.81	1134.8	1286.35
351.91	1134.7	1364.42
352.01	1134.6	1335.31
352.11	1134.5	1402.48
352.21	1134.4	1310.99
352.31	1134.3	1299.53
352.41	1134.2	1312.39
352.51	1134.1	1414.23
352.61	1134	1343.69
352.71	1133.9	1340.08
352.81	1133.8	1367.59
352.91	1133.7	1355.57
353.01	1133.6	1351.1
353.11	1133.5	1362.61
353.21	1133.4	1294.49
353.31	1133.3	1351
353.41	1133.2	1504.83
353.51	1133.1	1326.53
353.61	1133	1324.48
353.71	1132.9	1362.49
353.81	1132.8	1386.34
353.91	1132.7	1430.56
354.01	1132.6	1432.39
354.11	1132.5	1427.68
354.21	1132.4	1404.21
354.31	1132.3	1392.8
354.41	1132.2	1361.15
354.51	1132.1	1314.75
354.61	1132	1316.74
354.71	1131.9	1425.98
354.81	1131.8	1389.3
354.91	1131.7	1391.14
355.01	1131.6	1437.03
355.11	1131.5	1331.8
355.21	1131.4	1342.29
355.31	1131.3	1332.98
355.41	1131.2	1407.97
355.51	1131.1	1419.66
355.61	1131	1392.47
355.71	1130.9	1433.68
355.81	1130.8	1351.36
355.91	1130.7	1436.27
356.01	1130.6	1415.91
356.11	1130.5	1407.89
356.21	1130.4	1410.02
356.31	1130.3	1449.73
356.41	1130.2	1399.54
356.51	1130.1	1322.44
356.61	1130	1398.3
356.71	1129.9	1417.83
356.81	1129.8	1415.56
356.91	1129.7	1449.28
357.01	1129.6	1320.41
357.11	1129.5	1476.54
357.21	1129.4	1455.99
357.31	1129.3	1333.64
357.41	1129.2	1454.24
357.51	1129.1	1439.01
357.61	1129	1487.89
357.71	1128.9	1376.31
357.81	1128.8	1396.18
357.91	1128.7	1411.45
358.01	1128.6	1426.75
358.11	1128.5	1494.7
358.21	1128.4	1495.37
358.31	1128.3	1353.74
358.41	1128.2	1378.35
358.51	1128.1	1436.05
