c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	1.9
KE_Au4d	BE_Au4d	CPS_Au4d
1048.91	437.7	15575.5
1049.01	437.6	15580.1
1049.11	437.5	15655.7
1049.21	437.4	15621.2
1049.31	437.3	15525.6
1049.41	437.2	15421.7
1049.51	437.1	15578.5
1049.61	437	15680.7
1049.71	436.9	15571.1
1049.81	436.8	15562.7
1049.91	436.7	15549.9
1050.01	436.6	15609.1
1050.11	436.5	15574.7
1050.21	436.4	15760.3
1050.31	436.3	15650.1
1050.41	436.2	15814.9
1050.51	436.1	15781.8
1050.61	436	15794.7
1050.71	435.9	15659.4
1050.81	435.8	15766.1
1050.91	435.7	15730.9
1051.01	435.6	15736.7
1051.11	435.5	15643.6
1051.21	435.4	15722.4
1051.31	435.3	15592.3
1051.41	435.2	15631.6
1051.51	435.1	15727.2
1051.61	435	15726.4
1051.71	434.9	15830.9
1051.81	434.8	15770.6
1051.91	434.7	15713.7
1052.01	434.6	15696.7
1052.11	434.5	15803.3
1052.21	434.4	15727.2
1052.31	434.3	15829.3
1052.41	434.2	15824.5
1052.51	434.1	15730.5
1052.61	434	15641.8
1052.71	433.9	15617.4
1052.81	433.8	15681.3
1052.91	433.7	15764.7
1053.01	433.6	15723.7
1053.11	433.5	15784.1
1053.21	433.4	15764.4
1053.31	433.3	15869.5
1053.41	433.2	15888.7
1053.51	433.1	15839
1053.61	433	15827.3
1053.71	432.9	15913.3
1053.81	432.8	15952.2
1053.91	432.7	15844.5
1054.01	432.6	15817.2
1054.11	432.5	15947.9
1054.21	432.4	15907.3
1054.31	432.3	15955.5
1054.41	432.2	15808.3
1054.51	432.1	15823.9
1054.61	432	15869.5
1054.71	431.9	15659.3
1054.81	431.8	15778.8
1054.91	431.7	15876.2
1055.01	431.6	15774.8
1055.11	431.5	15949.5
1055.21	431.4	15849.2
1055.31	431.3	15880.8
1055.41	431.2	15842.4
1055.51	431.1	15935.4
1055.61	431	15978.8
1055.71	430.9	15959.2
1055.81	430.8	15798.9
1055.91	430.7	15913.6
1056.01	430.6	15825.6
1056.11	430.5	15957.6
1056.21	430.4	15744.1
1056.31	430.3	15826.4
1056.41	430.2	15882.1
1056.51	430.1	15816.9
1056.61	430	15985.3
1056.71	429.9	15874.4
1056.81	429.8	15910.2
1056.91	429.7	16041.5
1057.01	429.6	16061.8
1057.11	429.5	15976.6
1057.21	429.4	15988.6
1057.31	429.3	15949.2
1057.41	429.2	15916.2
1057.51	429.1	15900.2
1057.61	429	16097.3
1057.71	428.9	15992.3
1057.81	428.8	16011.6
1057.91	428.7	15834.9
1058.01	428.6	15933.4
1058.11	428.5	15991.4
