c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
687.51	799.1	4099.55
687.61	799	4151.22
687.71	798.9	4191.2
687.81	798.8	4159.62
687.91	798.7	4126.45
688.01	798.6	4105.93
688.11	798.5	4207.95
688.21	798.4	4156.93
688.31	798.3	4162.16
688.41	798.2	4248.58
688.51	798.1	4059.01
688.61	798	4143.34
688.71	797.9	4067.16
688.81	797.8	4175.64
688.91	797.7	4349.22
689.01	797.6	4157.69
689.11	797.5	4219.82
689.21	797.4	4228.5
689.31	797.3	4110.02
689.41	797.2	4157.55
689.51	797.1	4055.08
689.61	797	4141.45
689.71	796.9	4236.18
689.81	796.8	4092.46
689.91	796.7	4092.39
690.01	796.6	4128.61
690.11	796.5	4215.34
690.21	796.4	4144.17
690.31	796.3	4189.99
690.41	796.2	4159.42
690.51	796.1	4230.75
690.61	796	4079.32
690.71	795.9	4164.45
690.81	795.8	4103.68
690.91	795.7	4166.96
691.01	795.6	4176.53
691.11	795.5	4132.41
691.21	795.4	4142.69
691.31	795.3	4085.66
691.41	795.2	4096.84
691.51	795.1	4026.82
691.61	795	4153.25
691.71	794.9	4259.17
691.81	794.8	4216.1
691.91	794.7	4101.38
692.01	794.6	4129.55
692.11	794.5	4222.68
692.21	794.4	4192.46
692.31	794.3	4136.19
692.41	794.2	4189.21
692.51	794.1	4160.39
692.61	794	4207.57
692.71	793.9	4252.4
692.81	793.8	4192.32
692.91	793.7	4125.85
693.01	793.6	4195.78
693.11	793.5	4140.11
693.21	793.4	4202.13
693.31	793.3	4189.61
693.41	793.2	4262.14
693.51	793.1	4252.42
693.61	793	4152.54
693.71	792.9	4182.87
693.81	792.8	4187.25
693.91	792.7	4230.28
694.01	792.6	4166.76
694.11	792.5	4184.98
694.21	792.4	4121.81
694.31	792.3	4052.89
694.41	792.2	4168.62
694.51	792.1	4219.89
694.61	792	4245.02
694.71	791.9	4168.85
694.81	791.8	4202.03
694.91	791.7	4123.16
695.01	791.6	4122.18
695.11	791.5	4170.26
695.21	791.4	4227.34
695.31	791.3	4255.57
