c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Pr:Cu2s
	Characteristic Energy eV	1486.61	Acquisition Time s	7.8
KE_Pr:Cu2s	BE_Pr:Cu2s	CPS_Pr:Cu2s
356.51	1130.1	152.731
356.61	1130	126.566
356.71	1129.9	139.736
356.81	1129.8	177.777
356.91	1129.7	155.139
357.01	1129.6	148.206
357.11	1129.5	143.004
357.21	1129.4	131.366
357.31	1129.3	140.587
357.41	1129.2	155.437
357.51	1129.1	131.709
357.61	1129	143.226
357.71	1128.9	144.293
357.81	1128.8	124.81
357.91	1128.7	118.981
358.01	1128.6	138.369
358.11	1128.5	117.437
358.21	1128.4	107.89
358.31	1128.3	133.946
358.41	1128.2	131.617
358.51	1128.1	152.865
358.61	1128	137.126
358.71	1127.9	139.156
358.81	1127.8	148.225
358.91	1127.7	136.05
359.01	1127.6	127.991
359.11	1127.5	127.906
359.21	1127.4	104.373
359.31	1127.3	113.519
359.41	1127.2	139.255
359.51	1127.1	145.145
359.61	1127	123.996
359.71	1126.9	127.425
359.81	1126.8	131.328
359.91	1126.7	121.385
360.01	1126.6	127.634
360.11	1126.5	137.82
360.21	1126.4	126.736
360.31	1126.3	129.562
360.41	1126.2	168.261
360.51	1126.1	131.229
360.61	1126	98.7477
360.71	1125.9	115.626
360.81	1125.8	123.017
360.91	1125.7	139.087
361.01	1125.6	127.991
361.11	1125.5	117.857
361.21	1125.4	128.941
361.31	1125.3	123.589
361.41	1125.2	141.044
361.51	1125.1	117.808
361.61	1125	119.815
361.71	1124.9	132.758
361.81	1124.8	135.611
361.91	1124.7	149.118
362.01	1124.6	145.279
362.11	1124.5	126.082
362.21	1124.4	140.948
362.31	1124.3	159.661
362.41	1124.2	179.348
362.51	1124.1	194.804
362.61	1124	205.632
362.71	1123.9	208.05
362.81	1123.8	209.276
362.91	1123.7	213.669
363.01	1123.6	186.895
363.11	1123.5	168.108
363.21	1123.4	174.565
363.31	1123.3	191.24
363.41	1123.2	158.338
363.51	1123.1	171
363.61	1123	198.611
363.71	1122.9	204.016
363.81	1122.8	221.243
363.91	1122.7	237.764
364.01	1122.6	248.158
364.11	1122.5	239.23
364.21	1122.4	221.188
364.31	1122.3	257.696
364.41	1122.2	227.449
364.51	1122.1	235.099
364.61	1122	234.12
364.71	1121.9	198.488
364.81	1121.8	195.433
364.91	1121.7	177.006
365.01	1121.6	183.143
365.11	1121.5	179.191
365.21	1121.4	182.187
365.31	1121.3	214.645
365.41	1121.2	210.859
365.51	1121.1	220.688
365.61	1121	248.133
365.71	1120.9	238.924
365.81	1120.8	263.176
365.91	1120.7	268.031
366.01	1120.6	259.989
366.11	1120.5	283.652
366.21	1120.4	255.096
366.31	1120.3	273.58
366.41	1120.2	259.678
366.51	1120.1	248.674
366.61	1120	281.772
366.71	1119.9	276.524
366.81	1119.8	256.725
366.91	1119.7	281.618
367.01	1119.6	278.883
367.11	1119.5	270.519
367.21	1119.4	264.156
367.31	1119.3	231.779
367.41	1119.2	230.377
367.51	1119.1	238.795
367.61	1119	276.547
367.71	1118.9	263.208
367.81	1118.8	251.729
367.91	1118.7	239.198
368.01	1118.6	245.474
368.11	1118.5	253.264
368.21	1118.4	273.373
368.31	1118.3	232.085
368.41	1118.2	227.221
368.51	1118.1	192.83
368.61	1118	181.285
368.71	1117.9	199.663
368.81	1117.8	183.362
368.91	1117.7	174.586
369.01	1117.6	175.297
369.11	1117.5	175.957
369.21	1117.4	156.27
369.31	1117.3	151.25
369.41	1117.2	110.858
369.51	1117.1	106.21
369.61	1117	114.253
369.71	1116.9	126.36
369.81	1116.8	119.326
369.91	1116.7	104.69
370.01	1116.6	133.95
370.11	1116.5	144.634
370.21	1116.4	159.958
370.31	1116.3	170.513
370.41	1116.2	156.657
370.51	1116.1	167.391
370.61	1116	188.151
370.71	1115.9	172.833
370.81	1115.8	160.412
370.91	1115.7	127.427
371.01	1115.6	139.467
371.11	1115.5	101.982
371.21	1115.4	120.265
371.31	1115.3	98.9204
371.41	1115.2	130.152
371.51	1115.1	117.114
371.61	1115	97.2942
371.71	1114.9	98.5379
371.81	1114.8	120.73
371.91	1114.7	111.473
372.01	1114.6	68.8698
372.11	1114.5	91.1124
372.21	1114.4	102.957
372.31	1114.3	116.866
372.41	1114.2	111.582
372.51	1114.1	130.144
372.61	1114	116.744
372.71	1113.9	125.023
372.81	1113.8	104.494
372.91	1113.7	88.7341
373.01	1113.6	98.6148
373.11	1113.5	83.1106
373.21	1113.4	67.0933
373.31	1113.3	90.2166
373.41	1113.2	128.25
373.51	1113.1	124.219
373.61	1113	116.61
373.71	1112.9	91.0397
373.81	1112.8	60.9048
373.91	1112.7	92.526
374.01	1112.6	91.134
374.11	1112.5	107.665
374.21	1112.4	104.541
374.31	1112.3	121.058
374.41	1112.2	102.793
374.51	1112.1	84.1296
374.61	1112	82.4019
374.71	1111.9	88.9943
374.81	1111.8	105.125
374.91	1111.7	124.268
375.01	1111.6	118.449
375.11	1111.5	77.9624
375.21	1111.4	97.1681
375.31	1111.3	102.296
375.41	1111.2	81.309
375.51	1111.1	109.475
375.61	1111	117.935
375.71	1110.9	108.075
375.81	1110.8	87.4829
375.91	1110.7	113.686
376.01	1110.6	101.08
376.11	1110.5	98.5124
376.21	1110.4	88.9572
376.31	1110.3	115.235
376.41	1110.2	83.4736
376.51	1110.1	94.5451
376.61	1110	92.8983
376.71	1109.9	103.238
376.81	1109.8	74.8082
376.91	1109.7	80.3137
377.01	1109.6	64.8956
377.11	1109.5	96.0924
377.21	1109.4	100.801
377.31	1109.3	115.843
377.41	1109.2	100.718
377.51	1109.1	93.7076
377.61	1109	69.1582
377.71	1108.9	94.7878
377.81	1108.8	98.1091
377.91	1108.7	78.5452
378.01	1108.6	89.3013
378.11	1108.5	82.9672
378.21	1108.4	63.2094
378.31	1108.3	78.8484
378.41	1108.2	124.589
378.51	1108.1	113.958
378.61	1108	111.66
378.71	1107.9	89.8349
378.81	1107.8	85.5095
378.91	1107.7	85.4144
379.01	1107.6	87.9212
379.11	1107.5	56.453
379.21	1107.4	86.1766
379.31	1107.3	70.6944
379.41	1107.2	53.2245
379.51	1107.1	56.4975
379.61	1107	85.2571
379.71	1106.9	55.0417
379.81	1106.8	71.2359
379.91	1106.7	73.3141
380.01	1106.6	76.3405
380.11	1106.5	76.161
380.21	1106.4	66.904
380.31	1106.3	81.0694
380.41	1106.2	61.6828
380.51	1106.1	59.1803
380.61	1106	67.1642
380.71	1105.9	61.0193
380.81	1105.8	51.6814
380.91	1105.7	42.6377
381.01	1105.6	56.4395
381.11	1105.5	36.0226
381.21	1105.4	62.9641
381.31	1105.3	48.751
381.41	1105.2	28.5243
381.51	1105.1	73.0534
381.61	1105	71.9536
381.71	1104.9	36.43
381.81	1104.8	53.7775
381.91	1104.7	59.6115
382.01	1104.6	46.137
382.11	1104.5	53.2259
382.21	1104.4	33.2885
382.31	1104.3	43.1067
382.41	1104.2	53.937
382.51	1104.1	74.3947
382.61	1104	82.121
382.71	1103.9	58.6414
382.81	1103.8	62.5456
382.91	1103.7	48.9106
383.01	1103.6	40.5184
383.11	1103.5	57.087
383.21	1103.4	83.9626
383.31	1103.3	39.3758
383.41	1103.2	88.7497
383.51	1103.1	81.7768
383.61	1103	55.8671
383.71	1102.9	74.3413
383.81	1102.8	82.6992
383.91	1102.7	91.3898
384.01	1102.6	54.2205
384.11	1102.5	54.2555
384.21	1102.4	37.0205
384.31	1102.3	67.1565
384.41	1102.2	46.2532
384.51	1102.1	58.9388
384.61	1102	52.6748
384.71	1101.9	62.3716
384.81	1101.8	50.2983
384.91	1101.7	80.5574
385.01	1101.6	64.8414
385.11	1101.5	76.2655
385.21	1101.4	44.6759
385.31	1101.3	62.7907
385.41	1101.2	69.4814
385.51	1101.1	49.6072
385.61	1101	101.476
385.71	1100.9	74.9587
385.81	1100.8	72.1973
385.91	1100.7	66.4093
386.01	1100.6	81.9024
386.11	1100.5	65.5229
386.21	1100.4	62.0399
386.31	1100.3	78.4149
386.41	1100.2	64.2635
386.51	1100.1	84.8162
386.61	1100	95.0475
386.71	1099.9	58.7138
386.81	1099.8	92.3663
386.91	1099.7	76.7871
387.01	1099.6	64.1685
387.11	1099.5	76.6003
387.21	1099.4	74.8901
387.31	1099.3	84.0251
387.41	1099.2	89.7232
387.51	1099.1	76.6896
387.61	1099	96.9628
387.71	1098.9	114.966
387.81	1098.8	121.468
387.91	1098.7	90.9815
388.01	1098.6	107.917
388.11	1098.5	117.724
388.21	1098.4	102.03
388.31	1098.3	95.1679
388.41	1098.2	141.382
388.51	1098.1	115.185
388.61	1098	115.192
388.71	1097.9	105.672
388.81	1097.8	119.305
388.91	1097.7	94.4753
389.01	1097.6	136.85
389.11	1097.5	142.416
389.21	1097.4	127.032
389.31	1097.3	123.775
389.41	1097.2	140.851
389.51	1097.1	132.874
389.61	1097	146.268
389.71	1096.9	112.943
389.81	1096.8	128.796
389.91	1096.7	134.918
390.01	1096.6	141.193
390.11	1096.5	143.633
390.21	1096.4	96.3409
390.31	1096.3	103.869
390.41	1096.2	123.96
390.51	1096.1	116.383
390.61	1096	113.19
390.71	1095.9	111.803
390.81	1095.8	121.249
390.91	1095.7	108.001
391.01	1095.6	93.5863
391.11	1095.5	97.2343
391.21	1095.4	92.7659
391.31	1095.3	93.3478
