c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
693.41	793.2	1417.57
693.51	793.1	1405.05
693.61	793	1427.34
693.71	792.9	1462.69
693.81	792.8	1460.38
693.91	792.7	1465.06
694.01	792.6	1440.25
694.11	792.5	1481.57
694.21	792.4	1483.98
694.31	792.3	1464.67
694.41	792.2	1410.89
694.51	792.1	1372.34
694.61	792	1405.59
694.71	791.9	1367.21
694.81	791.8	1425.96
694.91	791.7	1458.92
695.01	791.6	1472.23
695.11	791.5	1514.95
695.21	791.4	1415.17
695.31	791.3	1424.92
695.41	791.2	1409.58
695.51	791.1	1471.76
695.61	791	1390.45
695.71	790.9	1422.63
695.81	790.8	1398.38
695.91	790.7	1406.1
696.01	790.6	1397.22
696.11	790.5	1414.4
696.21	790.4	1467.29
696.31	790.3	1417.04
696.41	790.2	1394.19
696.51	790.1	1436.31
696.61	790	1383.99
696.71	789.9	1414.51
696.81	789.8	1413.8
696.91	789.7	1415.68
697.01	789.6	1469.8
697.11	789.5	1467.45
697.21	789.4	1352.33
697.31	789.3	1393.79
697.41	789.2	1376.57
697.51	789.1	1408.62
697.61	789	1450.01
697.71	788.9	1384.09
697.81	788.8	1406.51
697.91	788.7	1389.86
698.01	788.6	1431.04
698.11	788.5	1410.63
698.21	788.4	1416.91
698.31	788.3	1428.09
698.41	788.2	1427.34
698.51	788.1	1413.66
698.61	788	1407.75
698.71	787.9	1416.73
698.81	787.8	1417.85
698.91	787.7	1402.3
699.01	787.6	1399.31
699.11	787.5	1400.8
699.21	787.4	1395.51
699.31	787.3	1427.93
699.41	787.2	1426.01
699.51	787.1	1445.76
699.61	787	1413.78
699.71	786.9	1408.5
699.81	786.8	1390.65
699.91	786.7	1446.03
700.01	786.6	1446.55
700.11	786.5	1442
700.21	786.4	1494.78
700.31	786.3	1490.6
700.41	786.2	1429.51
700.51	786.1	1507.9
700.61	786	1441.95
700.71	785.9	1443.06
700.81	785.8	1469.81
700.91	785.7	1464.9
701.01	785.6	1433.54
701.11	785.5	1378.63
701.21	785.4	1446.94
701.31	785.3	1373.16
701.41	785.2	1385.08
701.51	785.1	1409.32
701.61	785	1440.91
701.71	784.9	1405.09
701.81	784.8	1386.77
701.91	784.7	1469.09
702.01	784.6	1504.14
702.11	784.5	1495.39
702.21	784.4	1499.37
702.31	784.3	1412.52
702.41	784.2	1368.23
702.51	784.1	1463.01
702.61	784	1470.03
702.71	783.9	1434.18
702.81	783.8	1415.33
702.91	783.7	1408.04
703.01	783.6	1475.32
703.11	783.5	1419.74
703.21	783.4	1442.29
703.31	783.3	1399.34
703.41	783.2	1378.18
703.51	783.1	1442.17
703.61	783	1453.78
703.71	782.9	1405.66
703.81	782.8	1423.18
703.91	782.7	1416.46
704.01	782.6	1452.71
704.11	782.5	1468.56
704.21	782.4	1429.44
704.31	782.3	1435.08
704.41	782.2	1426.37
704.51	782.1	1460.48
704.61	782	1505.36
704.71	781.9	1465.38
704.81	781.8	1473.16
704.91	781.7	1408.87
705.01	781.6	1472.25
705.11	781.5	1403.6
705.21	781.4	1431.85
705.31	781.3	1420.06
705.41	781.2	1406.14
705.51	781.1	1442.06
705.61	781	1447.74
705.71	780.9	1461.78
705.81	780.8	1491.4
705.91	780.7	1448.04
706.01	780.6	1445.06
706.11	780.5	1459.04
706.21	780.4	1449.55
706.31	780.3	1386.53
706.41	780.2	1441.31
706.51	780.1	1401.66
706.61	780	1397.67
706.71	779.9	1435.79
706.81	779.8	1450.3
706.91	779.7	1450.11
707.01	779.6	1404.26
707.11	779.5	1415.24
707.21	779.4	1402.15
707.31	779.3	1446
707.41	779.2	1481.98
707.51	779.1	1401.29
707.61	779	1407.91
707.71	778.9	1398.12
707.81	778.8	1445.46
707.91	778.7	1491.68
708.01	778.6	1499.56
708.11	778.5	1461.1
708.21	778.4	1444.75
708.31	778.3	1443.59
708.41	778.2	1392.27
708.51	778.1	1479.49
708.61	778	1475.47
708.71	777.9	1464.14
708.81	777.8	1468.76
708.91	777.7	1519.7
709.01	777.6	1473.28
709.11	777.5	1422.73
709.21	777.4	1463.27
709.31	777.3	1456.48
709.41	777.2	1454.53
709.51	777.1	1433.67
709.61	777	1424.79
709.71	776.9	1367.9
709.81	776.8	1420.51
709.91	776.7	1455.22
710.01	776.6	1463.37
710.11	776.5	1414.04
710.21	776.4	1440.26
710.31	776.3	1430.23
710.41	776.2	1467.41
710.51	776.1	1502.86
710.61	776	1444.94
710.71	775.9	1428.98
710.81	775.8	1453.79
710.91	775.7	1436.64
711.01	775.6	1469.28
711.11	775.5	1472.32
711.21	775.4	1479.87
711.31	775.3	1487.48
711.41	775.2	1492.29
711.51	775.1	1423.43
711.61	775	1424.45
711.71	774.9	1385.36
711.81	774.8	1448.23
711.91	774.7	1439.91
712.01	774.6	1430.49
712.11	774.5	1397.47
712.21	774.4	1423.01
712.31	774.3	1446.92
712.41	774.2	1389.53
712.51	774.1	1475.11
712.61	774	1492.78
712.71	773.9	1447.99
712.81	773.8	1445.57
712.91	773.7	1397.68
713.01	773.6	1416.06
713.11	773.5	1384.93
713.21	773.4	1415.98
713.31	773.3	1474.49
