C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
796.11	690.5	12300.3	12300.3
796.61	690	12275.1	12275.1
797.11	689.5	12145.8	12145.8
797.61	689	12484.5	12484.5
798.11	688.5	12421	12421
798.61	688	12136.5	12136.5
799.11	687.5	12388.4	12388.4
799.61	687	12384.8	12384.8
800.11	686.5	12429.9	12429.9
800.61	686	12429.3	12429.3
801.11	685.5	12306.9	12306.9
801.61	685	12369	12369
802.11	684.5	12463.7	12463.7
802.61	684	12458.4	12458.4
803.11	683.5	12451.4	12451.4
803.61	683	12526.2	12526.2
804.11	682.5	12345.7	12345.7
804.61	682	12425.9	12425.9
805.11	681.5	12722.7	12722.7
805.61	681	12450	12450
806.11	680.5	12392.8	12392.8
806.61	680	12448.3	12448.3
807.11	679.5	12739	12739
807.61	679	12743.8	12743.8
808.11	678.5	12998.8	12998.8
808.61	678	12909.2	12909.2
809.11	677.5	12695.6	12695.6
809.61	677	12672.5	12672.5
810.11	676.5	12565.4	12565.4
810.61	676	12709.4	12709.4
811.11	675.5	12647.4	12647.4
811.61	675	12556.1	12556.1
812.11	674.5	12395.5	12395.5
812.61	674	12393.7	12393.7
813.11	673.5	12702.8	12702.8
813.61	673	12920	12920
814.11	672.5	12912.8	12912.8
814.61	672	12932.1	12932.1
815.11	671.5	12988.4	12988.4
815.61	671	13055.9	13055.9
816.11	670.5	13059.7	13059.7
816.61	670	13045.7	13045.7
817.11	669.5	12619.5	12619.5
817.61	669	12712.8	12712.8
818.11	668.5	12988.4	12988.4
818.61	668	12967	12967
819.11	667.5	12844.2	12844.2
819.61	667	13022.8	13022.8
820.11	666.5	12934.3	12934.3
820.61	666	13130.3	13130.3
821.11	665.5	12989.7	12989.7
821.61	665	13171.5	13171.5
822.11	664.5	13105.7	13105.7
822.61	664	13188.9	13188.9
823.11	663.5	12951.1	12951.1
823.61	663	13277.8	13277.8
824.11	662.5	13479.9	13479.9
824.61	662	13382.2	13382.2
825.11	661.5	13210.3	13210.3
825.61	661	13167.4	13167.4
826.11	660.5	13229	13229
826.61	660	13251.2	13251.2
827.11	659.5	13131.1	13131.1
827.61	659	13403	13403
828.11	658.5	13332	13332
828.61	658	13485.6	13485.6
829.11	657.5	13483.7	13483.7
829.61	657	13523.7	13523.7
830.11	656.5	13485.3	13485.3
830.61	656	13429.9	13429.9
831.11	655.5	13442.2	13442.2
831.61	655	13475.4	13475.4
832.11	654.5	13495.1	13495.1
832.61	654	13418.8	13418.8
833.11	653.5	13293.6	13293.6
833.61	653	13413	13413
834.11	652.5	13516.5	13516.5
834.61	652	13310.5	13310.5
835.11	651.5	13332.5	13332.5
835.61	651	13451.9	13451.9
836.11	650.5	13518	13518
836.61	650	13736.8	13736.8
837.11	649.5	13754.3	13754.3
837.61	649	13699.8	13699.8
838.11	648.5	13515.3	13515.3
838.61	648	13909.1	13909.1
839.11	647.5	13848.2	13848.2
839.61	647	13560.5	13560.5
840.11	646.5	13500.5	13500.5
