C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
445.11	1041.5	201.624	201.624
445.61	1041	225.556	225.556
446.11	1040.5	407.389	407.389
446.61	1040	392.289	392.289
447.11	1039.5	191.849	191.849
447.61	1039	-100.509	-100.509
448.11	1038.5	153.047	153.047
448.61	1038	318.721	318.721
449.11	1037.5	-9.41387	-9.41387
449.61	1037	113.742	113.742
450.11	1036.5	344.799	344.799
450.61	1036	229.957	229.957
451.11	1035.5	58.4125	58.4125
451.61	1035	271.123	271.123
452.11	1034.5	134.351	134.351
452.61	1034	16.5726	16.5726
453.11	1033.5	126.064	126.064
453.61	1033	141.176	141.176
454.11	1032.5	219.232	219.232
454.61	1032	107.731	107.731
455.11	1031.5	135.189	135.189
455.61	1031	-20.1046	-20.1046
456.11	1030.5	8.61728	8.61728
456.61	1030	199.859	199.859
457.11	1029.5	412.559	412.559
457.61	1029	-33.7411	-33.7411
458.11	1028.5	-88.5344	-88.5344
458.61	1028	-265.341	-265.341
459.11	1027.5	-309.139	-309.139
459.61	1027	54.4029	54.4029
460.11	1026.5	-6.78264	-6.78264
460.61	1026	2.98969	2.98969
461.11	1025.5	-129.597	-129.597
461.61	1025	218.626	218.626
462.11	1024.5	-242.357	-242.357
462.61	1024	-125.779	-125.779
463.11	1023.5	22.3033	22.3033
463.61	1023	-124.582	-124.582
464.11	1022.5	-130.931	-130.931
464.61	1022	-262.899	-262.899
465.11	1021.5	-71.2433	-71.2433
465.61	1021	-25.8836	-25.8836
466.11	1020.5	-349.243	-349.243
466.61	1020	-25.7442	-25.7442
467.11	1019.5	48.9036	48.9036
467.61	1019	13.9329	13.9329
468.11	1018.5	-254.88	-254.88
468.61	1018	-5.17366	-5.17366
469.11	1017.5	163.787	163.787
469.61	1017	-169.585	-169.585
470.11	1016.5	-164.96	-164.96
470.61	1016	-191.38	-191.38
471.11	1015.5	-183.833	-183.833
471.61	1015	106.641	106.641
472.11	1014.5	-125.107	-125.107
472.61	1014	88.0724	88.0724
473.11	1013.5	207.058	207.058
473.61	1013	-4.50371	-4.50371
474.11	1012.5	-202.633	-202.633
474.61	1012	-301.417	-301.417
475.11	1011.5	-141.791	-141.791
475.61	1011	-191.728	-191.728
476.11	1010.5	-168.213	-168.213
476.61	1010	-373.551	-373.551
477.11	1009.5	-385.431	-385.431
477.61	1009	-173.97	-173.97
478.11	1008.5	-164.415	-164.415
478.61	1008	-277.884	-277.884
479.11	1007.5	-186.752	-186.752
479.61	1007	-160.001	-160.001
480.11	1006.5	-72.7505	-72.7505
480.61	1006	163.883	163.883
481.11	1005.5	-171.609	-171.609
481.61	1005	-80.2803	-80.2803
482.11	1004.5	38.9279	38.9279
482.61	1004	88.3366	88.3366
483.11	1003.5	-125.369	-125.369
483.61	1003	-46.6302	-46.6302
484.11	1002.5	229.852	229.852
484.61	1002	-185.861	-185.861
485.11	1001.5	-90.3563	-90.3563
485.61	1001	72.4236	72.4236
486.11	1000.5	316.939	316.939
486.61	1000	35.8335	35.8335
487.11	999.5	332.52	332.52
487.61	999	370.83	370.83
488.11	998.5	305.854	305.854
488.61	998	271.233	271.233
