C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
1085.11	401.5	73026.8	73026.8
1085.61	401	73995.7	73995.7
1086.11	400.5	74634.2	74634.2
1086.61	400	74649.3	74649.3
1087.11	399.5	74397.6	74397.6
1087.61	399	74416.2	74416.2
1088.11	398.5	74676.9	74676.9
1088.61	398	74934.2	74934.2
1089.11	397.5	75843.1	75843.1
1089.61	397	75282	75282
1090.11	396.5	74985.6	74985.6
1090.61	396	75506.8	75506.8
1091.11	395.5	76028.1	76028.1
1091.61	395	76184.9	76184.9
1092.11	394.5	76352	76352
1092.61	394	76654.3	76654.3
1093.11	393.5	76656.9	76656.9
1093.61	393	76601.9	76601.9
1094.11	392.5	77071	77071
1094.61	392	77777.4	77777.4
1095.11	391.5	77947.8	77947.8
1095.61	391	78595.7	78595.7
1096.11	390.5	78307.2	78307.2
1096.61	390	78322.2	78322.2
1097.11	389.5	79334.4	79334.4
1097.61	389	79292.2	79292.2
1098.11	388.5	78962.3	78962.3
1098.61	388	79382.9	79382.9
1099.11	387.5	80286.8	80286.8
1099.61	387	80354.8	80354.8
1100.11	386.5	80699.3	80699.3
1100.61	386	80723.3	80723.3
1101.11	385.5	81299.9	81299.9
1101.61	385	81113.1	81113.1
1102.11	384.5	81497.5	81497.5
1102.61	384	81283.5	81283.5
1103.11	383.5	81483.7	81483.7
1103.61	383	81917.4	81917.4
1104.11	382.5	82334	82334
1104.61	382	81982.3	81982.3
1105.11	381.5	82807.7	82807.7
1105.61	381	82521.3	82521.3
1106.11	380.5	83196.6	83196.6
1106.61	380	83256	83256
1107.11	379.5	84233.2	84233.2
1107.61	379	83961.9	83961.9
1108.11	378.5	84128.5	84128.5
1108.61	378	84487.2	84487.2
1109.11	377.5	84417.5	84417.5
1109.61	377	84491.2	84491.2
1110.11	376.5	84545.9	84545.9
1110.61	376	85117.6	85117.6
1111.11	375.5	85064.1	85064.1
1111.61	375	85203.8	85203.8
1112.11	374.5	84765	84765
1112.61	374	84802.9	84802.9
1113.11	373.5	85653.6	85653.6
1113.61	373	86431.8	86431.8
1114.11	372.5	86327.1	86327.1
1114.61	372	86905.9	86905.9
1115.11	371.5	87043.7	87043.7
1115.61	371	87279.6	87279.6
1116.11	370.5	87835.3	87835.3
1116.61	370	88756.7	88756.7
1117.11	369.5	88783.4	88783.4
1117.61	369	89102.9	89102.9
1118.11	368.5	89445.3	89445.3
1118.61	368	89701.4	89701.4
1119.11	367.5	89584.5	89584.5
1119.61	367	89844.3	89844.3
1120.11	366.5	89887.8	89887.8
1120.61	366	90433.2	90433.2
1121.11	365.5	90942.7	90942.7
1121.61	365	91445.7	91445.7
1122.11	364.5	91862.3	91862.3
1122.61	364	92468.7	92468.7
1123.11	363.5	92663.6	92663.6
1123.61	363	93407.4	93407.4
1124.11	362.5	94336.9	94336.9
1124.61	362	94762.5	94762.5
1125.11	361.5	96025.7	96025.7
1125.61	361	97333.6	97333.6
1126.11	360.5	98803.1	98803.1
1126.61	360	100500	100500
1127.11	359.5	102691	102691
1127.61	359	105871	105871
1128.11	358.5	108528	108528
1128.61	358	112475	112475
1129.11	357.5	117641	117641
1129.61	357	123905	123905
1130.11	356.5	132588	132588
1130.61	356	143596	143596
1131.11	355.5	156969	156969
1131.61	355	171724	171724
1132.11	354.5	186727	186727
1132.61	354	200693	200693
1133.11	353.5	208866	208866
1133.61	353	209071	209071
1134.11	352.5	202128	202128
1134.61	352	187831	187831
1135.11	351.5	169789	169789
1135.61	351	150936	150936
1136.11	350.5	133750	133750
1136.61	350	119186	119186
1137.11	349.5	108371	108371
1137.61	349	99814.4	99814.4
1138.11	348.5	92794.1	92794.1
1138.61	348	87095.7	87095.7
1139.11	347.5	83058.4	83058.4
1139.61	347	79416	79416
1140.11	346.5	76810.9	76810.9
1140.61	346	75368.1	75368.1
1141.11	345.5	73176	73176
1141.61	345	71736.9	71736.9
1142.11	344.5	71120.7	71120.7
1142.61	344	70449.6	70449.6
1143.11	343.5	70698.5	70698.5
1143.61	343	72067.7	72067.7
1144.11	342.5	72709.2	72709.2
1144.61	342	74930.2	74930.2
1145.11	341.5	77297.9	77297.9
1145.61	341	80920.9	80920.9
1146.11	340.5	84502.9	84502.9
1146.61	340	90200.4	90200.4
1147.11	339.5	97252.2	97252.2
1147.61	339	106546	106546
1148.11	338.5	119974	119974
1148.61	338	137011	137011
1149.11	337.5	157017	157017
1149.61	337	181171	181171
1150.11	336.5	208263	208263
1150.61	336	231865	231865
1151.11	335.5	249258	249258
1151.61	335	251409	251409
1152.11	334.5	239448	239448
1152.61	334	213778	213778
1153.11	333.5	182257	182257
1153.61	333	149639	149639
1154.11	332.5	120782	120782
1154.61	332	97909.5	97909.5
1155.11	331.5	80186.9	80186.9
1155.61	331	65564.2	65564.2
1156.11	330.5	54123.1	54123.1
1156.61	330	45819.8	45819.8
1157.11	329.5	38440.8	38440.8
1157.61	329	32962.7	32962.7
1158.11	328.5	29147.7	29147.7
1158.61	328	25463.7	25463.7
1159.11	327.5	22190.3	22190.3
1159.61	327	19429.1	19429.1
1160.11	326.5	17301.1	17301.1
1160.61	326	16047.6	16047.6
1161.11	325.5	14232.6	14232.6
1161.61	325	12664.9	12664.9
1162.11	324.5	11757.3	11757.3
1162.61	324	10847.4	10847.4
1163.11	323.5	10137.4	10137.4
1163.61	323	9139.29	9139.29
1164.11	322.5	8432.1	8432.1
1164.61	322	7490.45	7490.45
1165.11	321.5	7150.24	7150.24
1165.61	321	6905.13	6905.13
1166.11	320.5	6705.91	6705.91
1166.61	320	5569.4	5569.4
1167.11	319.5	5611.48	5611.48
1167.61	319	5333.26	5333.26
1168.11	318.5	4857.62	4857.62
1168.61	318	4795.17	4795.17
1169.11	317.5	4174.57	4174.57
1169.61	317	4179.44	4179.44
1170.11	316.5	4151.38	4151.38
1170.61	316	3315.38	3315.38
1171.11	315.5	3287.86	3287.86
1171.61	315	3207.78	3207.78
1172.11	314.5	3108.68	3108.68
1172.61	314	2370.17	2370.17
1173.11	313.5	2365.39	2365.39
1173.61	313	2029.29	2029.29
1174.11	312.5	1959.37	1959.37
1174.61	312	1883.15	1883.15
1175.11	311.5	1650.56	1650.56
1175.61	311	1578.18	1578.18
1176.11	310.5	1671.72	1671.72
1176.61	310	1379.83	1379.83
1177.11	309.5	1204.61	1204.61
1177.61	309	1375.7	1375.7
1178.11	308.5	1110.83	1110.83
1178.61	308	1000.02	1000.02
1179.11	307.5	1244.9	1244.9
1179.61	307	1043.22	1043.22
1180.11	306.5	865.193	865.193
1180.61	306	712.243	712.243
1181.11	305.5	867.967	867.967
1181.61	305	903.092	903.092
1182.11	304.5	657.371	657.371
1182.61	304	576.969	576.969
1183.11	303.5	592.134	592.134
1183.61	303	308.4	308.4
1184.11	302.5	376.651	376.651
