C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
1122.61	364	37426.4	37426.4
1123.11	363.5	37806.8	37806.8
1123.61	363	38115.6	38115.6
1124.11	362.5	38218.7	38218.7
1124.61	362	38542.7	38542.7
1125.11	361.5	38597.9	38597.9
1125.61	361	39195.3	39195.3
1126.11	360.5	39067.8	39067.8
1126.61	360	39353.7	39353.7
1127.11	359.5	39645.3	39645.3
1127.61	359	40174.4	40174.4
1128.11	358.5	40478.8	40478.8
1128.61	358	41509.5	41509.5
1129.11	357.5	42316.5	42316.5
1129.61	357	44200.3	44200.3
1130.11	356.5	46615.4	46615.4
1130.61	356	49162.6	49162.6
1131.11	355.5	52673.6	52673.6
1131.61	355	56298	56298
1132.11	354.5	59870.4	59870.4
1132.61	354	63896	63896
1133.11	353.5	65758.8	65758.8
1133.61	353	66166.2	66166.2
1134.11	352.5	63817.2	63817.2
1134.61	352	59714.6	59714.6
1135.11	351.5	54426	54426
1135.61	351	49050.2	49050.2
1136.11	350.5	44054.4	44054.4
1136.61	350	40496.9	40496.9
1137.11	349.5	37019.8	37019.8
1137.61	349	34125.6	34125.6
1138.11	348.5	31652.7	31652.7
1138.61	348	29656.5	29656.5
1139.11	347.5	27858.9	27858.9
1139.61	347	26784.1	26784.1
1140.11	346.5	26035.9	26035.9
1140.61	346	25588.6	25588.6
1141.11	345.5	24683.6	24683.6
1141.61	345	24667.1	24667.1
1142.11	344.5	24286.9	24286.9
1142.61	344	24177.2	24177.2
1143.11	343.5	23796.4	23796.4
1143.61	343	23362	23362
1144.11	342.5	23348.4	23348.4
1144.61	342	23488.5	23488.5
1145.11	341.5	23614.3	23614.3
1145.61	341	24278.2	24278.2
1146.11	340.5	24901.2	24901.2
1146.61	340	25964.5	25964.5
1147.11	339.5	27910.1	27910.1
1147.61	339	30501.3	30501.3
1148.11	338.5	33850.9	33850.9
1148.61	338	38344.7	38344.7
1149.11	337.5	43514.5	43514.5
1149.61	337	49859.7	49859.7
1150.11	336.5	57296.8	57296.8
1150.61	336	63196.3	63196.3
1151.11	335.5	67757.1	67757.1
1151.61	335	67980.2	67980.2
1152.11	334.5	65095.6	65095.6
1152.61	334	57959.5	57959.5
1153.11	333.5	49842.7	49842.7
1153.61	333	41216.4	41216.4
1154.11	332.5	33271	33271
1154.61	332	26844.6	26844.6
1155.11	331.5	22239	22239
1155.61	331	18206.4	18206.4
1156.11	330.5	15148	15148
1156.61	330	12896	12896
1157.11	329.5	10929.8	10929.8
1157.61	329	9695.41	9695.41
1158.11	328.5	8325.13	8325.13
1158.61	328	7261.25	7261.25
1159.11	327.5	6508.72	6508.72
1159.61	327	5420.17	5420.17
1160.11	326.5	5085.75	5085.75
1160.61	326	4710.38	4710.38
1161.11	325.5	3934.73	3934.73
