C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
416.61	1070	106.567	106.567
417.11	1069.5	106.686	106.686
417.61	1069	72.293	72.293
418.11	1068.5	-7.55812	-7.55812
418.61	1068	153.986	153.986
419.11	1067.5	126.278	126.278
419.61	1067	80.9272	80.9272
420.11	1066.5	58.3617	58.3617
420.61	1066	77.5383	77.5383
421.11	1065.5	128.161	128.161
421.61	1065	19.4354	19.4354
422.11	1064.5	138.186	138.186
422.61	1064	15.9091	15.9091
423.11	1063.5	89.1126	89.1126
423.61	1063	160.429	160.429
424.11	1062.5	41.4294	41.4294
424.61	1062	7.04484	7.04484
425.11	1061.5	175.731	175.731
425.61	1061	143.903	143.903
426.11	1060.5	108.9	108.9
426.61	1060	32.7435	32.7435
427.11	1059.5	35.1632	35.1632
427.61	1059	-11.8611	-11.8611
428.11	1058.5	104.99	104.99
428.61	1058	131.848	131.848
429.11	1057.5	57.5669	57.5669
429.61	1057	64.8643	64.8643
430.11	1056.5	192.638	192.638
430.61	1056	121.319	121.319
431.11	1055.5	130.676	130.676
431.61	1055	19.8525	19.8525
432.11	1054.5	126.131	126.131
432.61	1054	121.875	121.875
433.11	1053.5	104.857	104.857
433.61	1053	56.6303	56.6303
434.11	1052.5	114.517	114.517
434.61	1052	128.257	128.257
435.11	1051.5	10.9058	10.9058
435.61	1051	235.142	235.142
436.11	1050.5	209.646	209.646
436.61	1050	141.696	141.696
437.11	1049.5	158.723	158.723
437.61	1049	153.685	153.685
438.11	1048.5	246.864	246.864
438.61	1048	99.762	99.762
439.11	1047.5	84.1036	84.1036
439.61	1047	181.949	181.949
440.11	1046.5	158.953	158.953
440.61	1046	108.755	108.755
441.11	1045.5	230.673	230.673
441.61	1045	99.5335	99.5335
442.11	1044.5	68.9605	68.9605
442.61	1044	5.79977	5.79977
443.11	1043.5	164.384	164.384
443.61	1043	82.1942	82.1942
444.11	1042.5	285.483	285.483
444.61	1042	233.243	233.243
445.11	1041.5	200.983	200.983
445.61	1041	66.9053	66.9053
446.11	1040.5	98.2143	98.2143
446.61	1040	130.605	130.605
447.11	1039.5	215.521	215.521
447.61	1039	235.56	235.56
448.11	1038.5	146.944	146.944
448.61	1038	186.428	186.428
449.11	1037.5	181.879	181.879
449.61	1037	204.354	204.354
450.11	1036.5	157.292	157.292
450.61	1036	143.652	143.652
451.11	1035.5	207.09	207.09
451.61	1035	189.295	189.295
452.11	1034.5	169.484	169.484
452.61	1034	193.438	193.438
453.11	1033.5	319.732	319.732
453.61	1033	229.582	229.582
454.11	1032.5	311.407	311.407
454.61	1032	190.965	190.965
455.11	1031.5	79.983	79.983
455.61	1031	113.234	113.234
456.11	1030.5	228.645	228.645
456.61	1030	243.396	243.396
457.11	1029.5	313.823	313.823
457.61	1029	207.131	207.131
458.11	1028.5	45.9873	45.9873
458.61	1028	94.2288	94.2288
459.11	1027.5	261.312	261.312
459.61	1027	294.78	294.78
460.11	1026.5	350.77	350.77
460.61	1026	224.547	224.547
461.11	1025.5	169.614	169.614
461.61	1025	95.2817	95.2817
462.11	1024.5	122.435	122.435
462.61	1024	197.787	197.787
463.11	1023.5	188.427	188.427
463.61	1023	274.84	274.84
464.11	1022.5	189.448	189.448
464.61	1022	360.169	360.169
465.11	1021.5	307.494	307.494
465.61	1021	136.51	136.51
466.11	1020.5	165.97	165.97
466.61	1020	263.084	263.084
467.11	1019.5	302.381	302.381
467.61	1019	387.485	387.485
468.11	1018.5	264.728	264.728
468.61	1018	122.945	122.945
469.11	1017.5	-9.3367	-9.3367
469.61	1017	168.467	168.467
470.11	1016.5	187.572	187.572
470.61	1016	246.087	246.087
471.11	1015.5	274.075	274.075
471.61	1015	234.216	234.216
472.11	1014.5	368.092	368.092
472.61	1014	286.329	286.329
473.11	1013.5	246.814	246.814
473.61	1013	194.767	194.767
474.11	1012.5	233.469	233.469
474.61	1012	124.879	124.879
475.11	1011.5	256.02	256.02
475.61	1011	292.355	292.355
476.11	1010.5	313.247	313.247
476.61	1010	127.143	127.143
477.11	1009.5	55.9437	55.9437
477.61	1009	97.538	97.538
478.11	1008.5	338.608	338.608
478.61	1008	347.374	347.374
479.11	1007.5	306.84	306.84
479.61	1007	212.585	212.585
480.11	1006.5	202.835	202.835
480.61	1006	77.3642	77.3642
481.11	1005.5	113.625	113.625
481.61	1005	261.46	261.46
482.11	1004.5	157.775	157.775
482.61	1004	166.79	166.79
483.11	1003.5	108.439	108.439
483.61	1003	130.907	130.907
484.11	1002.5	-4.05886	-4.05886
484.61	1002	-71.4232	-71.4232
485.11	1001.5	-4.20964	-4.20964
485.61	1001	25.0499	25.0499
486.11	1000.5	35.9017	35.9017
486.61	1000	-22.403	-22.403
487.11	999.5	154.819	154.819
487.61	999	43.7503	43.7503
488.11	998.5	38.2121	38.2121
488.61	998	0	0
