C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1118.11	368.5	2061.7	2061.7
1118.61	368	2080.58	2080.58
1119.11	367.5	2064.52	2064.52
1119.61	367	2065.01	2065.01
1120.11	366.5	2052.28	2052.28
1120.61	366	2050.66	2050.66
1121.11	365.5	2052.05	2052.05
1121.61	365	2064.64	2064.64
1122.11	364.5	2071.88	2071.88
1122.61	364	2072.44	2072.44
1123.11	363.5	2078.95	2078.95
1123.61	363	2071.39	2071.39
1124.11	362.5	2060.46	2060.46
1124.61	362	2068.11	2068.11
1125.11	361.5	2056.62	2056.62
1125.61	361	2078.41	2078.41
1126.11	360.5	2089.75	2089.75
1126.61	360	2076.82	2076.82
1127.11	359.5	2080.23	2080.23
1127.61	359	2103.11	2103.11
1128.11	358.5	2089.09	2089.09
1128.61	358	2094.1	2094.1
1129.11	357.5	2105.66	2105.66
1129.61	357	2101.52	2101.52
1130.11	356.5	2095.59	2095.59
1130.61	356	2098.92	2098.92
1131.11	355.5	2109.38	2109.38
1131.61	355	2097.4	2097.4
1132.11	354.5	2136.42	2136.42
1132.61	354	2096.11	2096.11
1133.11	353.5	2089.21	2089.21
1133.61	353	2111.63	2111.63
1134.11	352.5	2120.95	2120.95
1134.61	352	2142.35	2142.35
1135.11	351.5	2127.21	2127.21
1135.61	351	2139.06	2139.06
1136.11	350.5	2135.28	2135.28
1136.61	350	2126.44	2126.44
1137.11	349.5	2131.24	2131.24
1137.61	349	2135.53	2135.53
1138.11	348.5	2137.44	2137.44
1138.61	348	2134.88	2134.88
1139.11	347.5	2129.08	2129.08
1139.61	347	2138.76	2138.76
1140.11	346.5	2139.87	2139.87
1140.61	346	2136.27	2136.27
1141.11	345.5	2133.47	2133.47
1141.61	345	2120.35	2120.35
1142.11	344.5	2142.06	2142.06
1142.61	344	2131.98	2131.98
1143.11	343.5	2141.26	2141.26
1143.61	343	2152.25	2152.25
