C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1117.11	369.5	505.667	505.667
1117.61	369	496.344	496.344
1118.11	368.5	500.525	500.525
1118.61	368	501.316	501.316
1119.11	367.5	507.045	507.045
1119.61	367	508.25	508.25
1120.11	366.5	507.163	507.163
1120.61	366	496.427	496.427
1121.11	365.5	500.301	500.301
1121.61	365	506.845	506.845
1122.11	364.5	505.866	505.866
1122.61	364	504.251	504.251
1123.11	363.5	512.582	512.582
1123.61	363	518.516	518.516
1124.11	362.5	516.934	516.934
1124.61	362	524.235	524.235
1125.11	361.5	512.389	512.389
1125.61	361	514.132	514.132
1126.11	360.5	511.603	511.603
1126.61	360	512.951	512.951
1127.11	359.5	513.849	513.849
1127.61	359	520.597	520.597
1128.11	358.5	520.533	520.533
1128.61	358	518.453	518.453
1129.11	357.5	523.402	523.402
1129.61	357	518.02	518.02
1130.11	356.5	514.062	514.062
1130.61	356	533.761	533.761
1131.11	355.5	525.13	525.13
1131.61	355	530.392	530.392
1132.11	354.5	528.295	528.295
1132.61	354	515.705	515.705
1133.11	353.5	521.229	521.229
1133.61	353	523.189	523.189
1134.11	352.5	527.629	527.629
1134.61	352	526.666	526.666
1135.11	351.5	531.794	531.794
1135.61	351	528.631	528.631
1136.11	350.5	533.682	533.682
1136.61	350	546.458	546.458
1137.11	349.5	527.202	527.202
1137.61	349	531.947	531.947
1138.11	348.5	533.785	533.785
1138.61	348	538.057	538.057
1139.11	347.5	537.404	537.404
1139.61	347	538.285	538.285
1140.11	346.5	538.785	538.785
1140.61	346	535.167	535.167
1141.11	345.5	534.319	534.319
1141.61	345	534.179	534.179
1142.11	344.5	540.81	540.81
1142.61	344	539.33	539.33
1143.11	343.5	541.254	541.254
1143.61	343	533.083	533.083
1144.11	342.5	546.561	546.561
1144.61	342	553.982	553.982
1145.11	341.5	547.852	547.852
1145.61	341	535.11	535.11
1146.11	340.5	543.765	543.765
1146.61	340	537.859	537.859
1147.11	339.5	542.885	542.885
1147.61	339	546.793	546.793
1148.11	338.5	545.046	545.046
1148.61	338	543.452	543.452
1149.11	337.5	549.966	549.966
1149.61	337	550.51	550.51
1150.11	336.5	545.363	545.363
1150.61	336	556.862	556.862
1151.11	335.5	552.37	552.37
1151.61	335	557.507	557.507
1152.11	334.5	561.07	561.07
1152.61	334	544.969	544.969
1153.11	333.5	549.856	549.856
1153.61	333	552.759	552.759
1154.11	332.5	553.879	553.879
1154.61	332	553.5	553.5
1155.11	331.5	558.85	558.85
1155.61	331	561.904	561.904
1156.11	330.5	566.293	566.293
1156.61	330	559.826	559.826
1157.11	329.5	560.351	560.351
1157.61	329	557.7	557.7
1158.11	328.5	566.095	566.095
1158.61	328	560.281	560.281
1159.11	327.5	552.464	552.464
1159.61	327	555.327	555.327
1160.11	326.5	555.918	555.918
1160.61	326	553.779	553.779
1161.11	325.5	562.778	562.778
1161.61	325	577.184	577.184
1162.11	324.5	569.707	569.707
1162.61	324	563.779	563.779
1163.11	323.5	572.268	572.268
1163.61	323	563.747	563.747
1164.11	322.5	559.889	559.889
1164.61	322	556.334	556.334
1165.11	321.5	580.806	580.806
1165.61	321	573.285	573.285
1166.11	320.5	554.844	554.844
1166.61	320	564.062	564.062
1167.11	319.5	571.93	571.93
1167.61	319	575.277	575.277
1168.11	318.5	582.12	582.12
1168.61	318	572.597	572.597
1169.11	317.5	562.038	562.038
1169.61	317	567.4	567.4
1170.11	316.5	571.729	571.729
1170.61	316	576.867	576.867
1171.11	315.5	585.263	585.263
1171.61	315	587.231	587.231
1172.11	314.5	590.498	590.498
1172.61	314	579.298	579.298
1173.11	313.5	580.678	580.678
1173.61	313	577.013	577.013
1174.11	312.5	585.682	585.682
1174.61	312	588.893	588.893
1175.11	311.5	578.753	578.753
1175.61	311	586.954	586.954
1176.11	310.5	578.668	578.668
1176.61	310	577.38	577.38
1177.11	309.5	595.045	595.045
1177.61	309	589.901	589.901
1178.11	308.5	607.912	607.912
1178.61	308	601.358	601.358
1179.11	307.5	594.993	594.993
1179.61	307	597.883	597.883
1180.11	306.5	590.447	590.447
1180.61	306	586.57	586.57
1181.11	305.5	592.817	592.817
1181.61	305	591.099	591.099
1182.11	304.5	586.766	586.766
1182.61	304	592.281	592.281
1183.11	303.5	598.483	598.483
1183.61	303	590.552	590.552
1184.11	302.5	583.103	583.103
1184.61	302	586.512	586.512
1185.11	301.5	598.246	598.246
1185.61	301	609.234	609.234
1186.11	300.5	610.548	610.548
1186.61	300	600.697	600.697
1187.11	299.5	620.448	620.448
1187.61	299	605.972	605.972
1188.11	298.5	602.348	602.348
1188.61	298	599.254	599.254
1189.11	297.5	601.986	601.986
1189.61	297	608.299	608.299
1190.11	296.5	600.874	600.874
1190.61	296	593.998	593.998
1191.11	295.5	605.519	605.519
1191.61	295	604.907	604.907
1192.11	294.5	602.804	602.804
1192.61	294	610.474	610.474
1193.11	293.5	612.692	612.692
1193.61	293	620.077	620.077
1194.11	292.5	616.874	616.874
1194.61	292	607.133	607.133
1195.11	291.5	610.778	610.778
1195.61	291	613.887	613.887
1196.11	290.5	617.796	617.796
1196.61	290	618.059	618.059
1197.11	289.5	624.465	624.465
1197.61	289	619.827	619.827
1198.11	288.5	632.151	632.151
1198.61	288	648.912	648.912
1199.11	287.5	631.001	631.001
1199.61	287	634.137	634.137
1200.11	286.5	641.774	641.774
1200.61	286	636.491	636.491
1201.11	285.5	642.178	642.178
1201.61	285	641.964	641.964
1202.11	284.5	646.545	646.545
1202.61	284	644.653	644.653
1203.11	283.5	636.749	636.749
1203.61	283	627.415	627.415
1204.11	282.5	636.03	636.03
1204.61	282	623.898	623.898
1205.11	281.5	620.854	620.854
1205.61	281	617.401	617.401
1206.11	280.5	624.047	624.047
1206.61	280	619.169	619.169
1207.11	279.5	623.011	623.011
1207.61	279	619.265	619.265
1208.11	278.5	625.855	625.855
1208.61	278	626.008	626.008
1209.11	277.5	636.516	636.516
1209.61	277	626.652	626.652
1210.11	276.5	631.539	631.539
1210.61	276	644.329	644.329
1211.11	275.5	633.867	633.867
1211.61	275	620.541	620.541
1212.11	274.5	637.746	637.746
1212.61	274	646.8	646.8
