C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
794.11	692.5	34129	34129
794.61	692	34469.5	34469.5
795.11	691.5	34334.1	34334.1
795.61	691	33989.7	33989.7
796.11	690.5	34267.5	34267.5
796.61	690	34395.1	34395.1
797.11	689.5	34630.8	34630.8
797.61	689	34904.3	34904.3
798.11	688.5	34585.2	34585.2
798.61	688	34655.4	34655.4
799.11	687.5	34583.1	34583.1
799.61	687	34797.1	34797.1
800.11	686.5	34681.8	34681.8
800.61	686	34711.8	34711.8
801.11	685.5	34737.6	34737.6
801.61	685	34473.8	34473.8
802.11	684.5	34362.6	34362.6
802.61	684	34571.1	34571.1
803.11	683.5	34766.8	34766.8
803.61	683	34583.1	34583.1
804.11	682.5	34578.5	34578.5
804.61	682	34735.6	34735.6
805.11	681.5	34481.5	34481.5
805.61	681	34978.5	34978.5
806.11	680.5	34946.1	34946.1
806.61	680	34642	34642
807.11	679.5	35082.3	35082.3
807.61	679	35322.4	35322.4
808.11	678.5	35373.7	35373.7
808.61	678	34852.1	34852.1
809.11	677.5	34579.7	34579.7
809.61	677	34779.7	34779.7
810.11	676.5	34845.6	34845.6
810.61	676	34952.7	34952.7
811.11	675.5	34938.6	34938.6
811.61	675	35065.9	35065.9
812.11	674.5	35117.9	35117.9
812.61	674	35122.1	35122.1
813.11	673.5	34889.4	34889.4
813.61	673	34919.3	34919.3
814.11	672.5	35080.1	35080.1
814.61	672	35087.6	35087.6
815.11	671.5	35040.9	35040.9
815.61	671	35231.4	35231.4
816.11	670.5	34984.4	34984.4
816.61	670	35187.2	35187.2
817.11	669.5	35360.6	35360.6
817.61	669	35474.8	35474.8
818.11	668.5	35544.3	35544.3
818.61	668	34872.6	34872.6
819.11	667.5	35641.2	35641.2
819.61	667	35521.5	35521.5
820.11	666.5	35521.1	35521.1
820.61	666	35384.3	35384.3
821.11	665.5	35548.5	35548.5
821.61	665	35430.4	35430.4
822.11	664.5	35586.9	35586.9
822.61	664	35877.4	35877.4
823.11	663.5	35628.8	35628.8
823.61	663	36159.6	36159.6
824.11	662.5	35991.4	35991.4
824.61	662	36244.4	36244.4
825.11	661.5	35762.1	35762.1
825.61	661	36070.2	36070.2
826.11	660.5	36441.8	36441.8
826.61	660	36337.2	36337.2
827.11	659.5	36159.4	36159.4
827.61	659	36051.4	36051.4
828.11	658.5	36176.3	36176.3
828.61	658	36349.4	36349.4
829.11	657.5	36412.3	36412.3
829.61	657	36259.9	36259.9
830.11	656.5	36509.2	36509.2
830.61	656	36661.7	36661.7
831.11	655.5	36498.8	36498.8
831.61	655	36260.6	36260.6
832.11	654.5	36712.5	36712.5
832.61	654	36742.2	36742.2
833.11	653.5	36401.4	36401.4
833.61	653	36457	36457
834.11	652.5	36431.2	36431.2
834.61	652	36540.9	36540.9
835.11	651.5	36649.9	36649.9
835.61	651	36580.3	36580.3
836.11	650.5	36506.9	36506.9
836.61	650	36525.7	36525.7
837.11	649.5	36822	36822
837.61	649	36960.1	36960.1
838.11	648.5	37076.5	37076.5
838.61	648	36679.2	36679.2
839.11	647.5	37044.8	37044.8
839.61	647	36888.3	36888.3
840.11	646.5	36740	36740
840.61	646	36740.6	36740.6
841.11	645.5	37273.2	37273.2
841.61	645	36750.3	36750.3
842.11	644.5	36931.7	36931.7
842.61	644	36648.5	36648.5
843.11	643.5	36849.2	36849.2
843.61	643	36582	36582
844.11	642.5	37520.6	37520.6
844.61	642	37420.4	37420.4
845.11	641.5	37308.1	37308.1
845.61	641	37578.2	37578.2
846.11	640.5	37850.6	37850.6
846.61	640	37916.4	37916.4
847.11	639.5	38087.5	38087.5
847.61	639	37906	37906
848.11	638.5	37957.5	37957.5
848.61	638	38143	38143
849.11	637.5	38031.7	38031.7
849.61	637	38293.3	38293.3
850.11	636.5	38417.4	38417.4
850.61	636	38433.4	38433.4
851.11	635.5	38311.2	38311.2
851.61	635	38367.3	38367.3
852.11	634.5	38872.9	38872.9
852.61	634	39197.7	39197.7
853.11	633.5	38644.1	38644.1
853.61	633	38953.6	38953.6
854.11	632.5	38574.3	38574.3
854.61	632	38721.9	38721.9
855.11	631.5	38953.8	38953.8
855.61	631	39628.4	39628.4
856.11	630.5	39041.9	39041.9
856.61	630	39676	39676
857.11	629.5	40280.6	40280.6
857.61	629	40214.2	40214.2
858.11	628.5	39996	39996
858.61	628	39917.8	39917.8
859.11	627.5	40331.3	40331.3
859.61	627	39700.5	39700.5
860.11	626.5	39832.2	39832.2
860.61	626	39832	39832
861.11	625.5	39804	39804
861.61	625	39726.4	39726.4
862.11	624.5	40029.8	40029.8
862.61	624	39654.4	39654.4
863.11	623.5	40469.2	40469.2
863.61	623	39957.3	39957.3
864.11	622.5	40328.8	40328.8
864.61	622	39719.6	39719.6
865.11	621.5	39571.8	39571.8
865.61	621	39873.4	39873.4
866.11	620.5	40095.5	40095.5
866.61	620	39664.2	39664.2
867.11	619.5	39811	39811
867.61	619	39967.2	39967.2
868.11	618.5	39450.3	39450.3
868.61	618	39757.8	39757.8
869.11	617.5	40344.5	40344.5
869.61	617	39632.5	39632.5
870.11	616.5	40066.9	40066.9
870.61	616	39964.9	39964.9
871.11	615.5	39470.1	39470.1
871.61	615	39627.2	39627.2
872.11	614.5	40048.1	40048.1
872.61	614	40055.4	40055.4
873.11	613.5	40288.3	40288.3
873.61	613	40550	40550
874.11	612.5	40842.9	40842.9
874.61	612	41773.6	41773.6
875.11	611.5	42032.6	42032.6
875.61	611	41732.7	41732.7
876.11	610.5	42913	42913
876.61	610	43218.3	43218.3
877.11	609.5	44248.4	44248.4
877.61	609	45395.9	45395.9
878.11	608.5	46630.6	46630.6
878.61	608	48985.6	48985.6
879.11	607.5	51654.8	51654.8
879.61	607	55187.7	55187.7
880.11	606.5	60142.8	60142.8
880.61	606	66996.5	66996.5
881.11	605.5	76702.6	76702.6
881.61	605	87227.7	87227.7
882.11	604.5	95439.7	95439.7
882.61	604	100468	100468
883.11	603.5	97592.4	97592.4
883.61	603	89233.8	89233.8
884.11	602.5	77597.5	77597.5
884.61	602	65886.3	65886.3
885.11	601.5	56993.1	56993.1
885.61	601	50584.9	50584.9
886.11	600.5	45793.9	45793.9
886.61	600	42329.1	42329.1
887.11	599.5	40237.4	40237.4
887.61	599	38863	38863
888.11	598.5	37760	37760
888.61	598	36299.6	36299.6
889.11	597.5	35647.3	35647.3
889.61	597	35116.3	35116.3
890.11	596.5	34536.1	34536.1
890.61	596	34433.4	34433.4
891.11	595.5	33685.6	33685.6
891.61	595	33393.1	33393.1
892.11	594.5	33357.2	33357.2
892.61	594	32822.7	32822.7
893.11	593.5	32364.6	32364.6
893.61	593	32739.9	32739.9
894.11	592.5	32521.4	32521.4
894.61	592	31968.8	31968.8
895.11	591.5	31632.5	31632.5
895.61	591	31833.8	31833.8
896.11	590.5	31713.4	31713.4
896.61	590	31710.2	31710.2
897.11	589.5	32058.5	32058.5
897.61	589	31349.2	31349.2
898.11	588.5	31135.5	31135.5
898.61	588	30748.7	30748.7
899.11	587.5	30785.1	30785.1
899.61	587	31178.5	31178.5
900.11	586.5	31003.7	31003.7
900.61	586	30919	30919
901.11	585.5	31141.5	31141.5
901.61	585	30656	30656
902.11	584.5	30581.2	30581.2
902.61	584	30173.4	30173.4
903.11	583.5	30587.8	30587.8
903.61	583	30657.5	30657.5
904.11	582.5	31093.7	31093.7
904.61	582	31407	31407
905.11	581.5	31410	31410
905.61	581	32312.6	32312.6
906.11	580.5	33038.5	33038.5
906.61	580	33452.9	33452.9
907.11	579.5	34753.9	34753.9
907.61	579	36189.4	36189.4
908.11	578.5	38462.3	38462.3
908.61	578	41054.8	41054.8
909.11	577.5	44036.3	44036.3
909.61	577	48413.5	48413.5
910.11	576.5	54397	54397
910.61	576	62409	62409
911.11	575.5	73589.3	73589.3
911.61	575	89446	89446
912.11	574.5	108622	108622
912.61	574	128425	128425
913.11	573.5	143191	143191
