c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms			
Counts per Second			
	Characteristic Energy eV	1486.61	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	
1348.11	138.5	1118.37	
1348.21	138.4	1133.33	
1348.31	138.3	1125.27	
1348.41	138.2	1137.39	
1348.51	138.1	1106.44	
1348.61	138	1136.09	
1348.71	137.9	1140.13	
1348.81	137.8	1118.74	
1348.91	137.7	1119.51	
1349.01	137.6	1120.61	
1349.11	137.5	1108.78	
1349.21	137.4	1111.08	
1349.31	137.3	1114.88	
1349.41	137.2	1123.28	
1349.51	137.1	1132.33	
1349.61	137	1111.07	
1349.71	136.9	1109.86	
1349.81	136.8	1127.18	
1349.91	136.7	1140.76	
1350.01	136.6	1127.27	
1350.11	136.5	1096.03	
1350.21	136.4	1089.55	
1350.31	136.3	1109.95	
1350.41	136.2	1110.39	
1350.51	136.1	1108.7	
1350.61	136	1140.55	
1350.71	135.9	1115.65	
1350.81	135.8	1122.19	
1350.91	135.7	1136.89	
1351.01	135.6	1113.08	
1351.11	135.5	1118.91	
1351.21	135.4	1134.05	
1351.31	135.3	1139.02	
1351.41	135.2	1139.49	
1351.51	135.1	1118.84	
1351.61	135	1105.93	
1351.71	134.9	1132.94	
1351.81	134.8	1110.35	
1351.91	134.7	1112.99	
1352.01	134.6	1124.07	
1352.11	134.5	1131.86	
1352.21	134.4	1116.53	
1352.31	134.3	1126.26	
1352.41	134.2	1130.97	
1352.51	134.1	1124.21	
1352.61	134	1149.33	
1352.71	133.9	1129.49	
1352.81	133.8	1131.03	
1352.91	133.7	1124.39	
1353.01	133.6	1127.04	
1353.11	133.5	1130.57	
1353.21	133.4	1121.23	
1353.31	133.3	1131.5	
1353.41	133.2	1122.23	
1353.51	133.1	1103.66	
1353.61	133	1139.84	
1353.71	132.9	1120.7	
1353.81	132.8	1141.7	
1353.91	132.7	1129.66	
1354.01	132.6	1121.15	
1354.11	132.5	1141.13	
1354.21	132.4	1131.43	
1354.31	132.3	1129.95	
1354.41	132.2	1109.53	
1354.51	132.1	1107.73	
1354.61	132	1128.35	
1354.71	131.9	1146.44	
1354.81	131.8	1147.82	
1354.91	131.7	1122.54	
1355.01	131.6	1124.02	
1355.11	131.5	1139.58	
1355.21	131.4	1147.44	
1355.31	131.3	1118.31	
1355.41	131.2	1132.82	
1355.51	131.1	1135.52	
1355.61	131	1139.37	
1355.71	130.9	1146.28	
1355.81	130.8	1128.78	
1355.91	130.7	1126.02	
1356.01	130.6	1121.92	
1356.11	130.5	1118.04	
1356.21	130.4	1131.48	
1356.31	130.3	1107.67	
1356.41	130.2	1123.55	
1356.51	130.1	1106.35	
1356.61	130	1119.7	
1356.66	129.95	1112.44	
1356.71	129.9	1121.09	
1356.76	129.85	1113.41	
1356.81	129.8	1102.63	
1356.86	129.75	1112.31	
1356.91	129.7	1092.74	
1356.96	129.65	1110.89	
1357.01	129.6	1128.91	
1357.06	129.55	1138.15	
1357.11	129.5	1130.14	
1357.16	129.45	1135.65	
1357.21	129.4	1136.45	
1357.26	129.35	1096.12	
1357.31	129.3	1112.23	
1357.36	129.25	1113.72	
1357.41	129.2	1111.38	
1357.46	129.15	1121.13	
1357.51	129.1	1124.7	
1357.56	129.05	1142.47	
1357.61	129	1135.9	
1357.66	128.95	1146.43	
1357.71	128.9	1107.11	
1357.76	128.85	1125.97	
1357.81	128.8	1107.72	
1357.86	128.75	1101.96	
1357.91	128.7	1129.17	
1357.96	128.65	1121.51	
1358.01	128.6	1113.11	
1358.06	128.55	1113.62	
1358.11	128.5	1116.6	
1358.16	128.45	1093.39	
1358.21	128.4	1099.23	
1358.26	128.35	1090.68	
1358.31	128.3	1123.38	
1358.36	128.25	1104.96	
1358.41	128.2	1123.27	
1358.46	128.15	1124.54	
1358.51	128.1	1114.18	
1358.56	128.05	1113	
1358.61	128	1116.43	
1358.66	127.95	1118.84	
1358.71	127.9	1094.48	
1358.76	127.85	1117.05	
1358.81	127.8	1123.84	
1358.86	127.75	1109.67	
1358.91	127.7	1119.25	
1358.96	127.65	1132.65	
1359.01	127.6	1122.91	
1359.06	127.55	1135.23	
1359.11	127.5	1095.29	
1359.16	127.45	1097.12	
1359.21	127.4	1121.62	
1359.26	127.35	1147.9	
1359.31	127.3	1131.72	
1359.36	127.25	1128.55	
1359.41	127.2	1119.86	
1359.46	127.15	1115.31	
1359.51	127.1	1115.86	
1359.56	127.05	1095.59	
1359.61	127	1115.04	
1359.66	126.95	1123.31	
1359.71	126.9	1146.62	
1359.76	126.85	1126.68	
1359.81	126.8	1109.86	
1359.86	126.75	1101.65	
1359.91	126.7	1114.03	
1359.96	126.65	1118.37	
1360.01	126.6	1092.79	
1360.06	126.55	1116.42	
1360.11	126.5	1132.22	
1360.16	126.45	1117.54	
1360.21	126.4	1115.72	
1360.26	126.35	1117.48	
1360.31	126.3	1120.49	
1360.36	126.25	1136.93	
1360.41	126.2	1113.7	
1360.46	126.15	1115.31	
1360.51	126.1	1109.42	
1360.56	126.05	1123.87	
1360.61	126	1119.09	
1360.66	125.95	1115.24	
1360.71	125.9	1096.04	
