c:\users\mark\owncloud\muelheim group\projects\gas phase background\co in o2 300um nozzle\co3o4_ino2_ivac.vms				
Co2p				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Co2p	BE_Co2p	CPS_Co2p		
696.71	789.9	1611.3		
696.81	789.8	1595.08		
696.91	789.7	1579.57		
697.01	789.6	1573.76		
697.11	789.5	1580.76		
697.21	789.4	1561.24		
697.31	789.3	1579.27		
697.41	789.2	1577.11		
697.51	789.1	1609.28		
697.61	789	1582.42		
697.71	788.9	1583.81		
697.81	788.8	1590.73		
697.91	788.7	1575.05		
698.01	788.6	1639.09		
698.11	788.5	1627.87		
698.21	788.4	1601.34		
698.31	788.3	1561.51		
698.41	788.2	1548.43		
698.51	788.1	1561.22		
698.61	788	1562.69		
698.71	787.9	1527.19		
698.81	787.8	1532.78		
698.91	787.7	1550.89		
699.01	787.6	1545.84		
699.11	787.5	1548.67		
699.21	787.4	1546.54		
699.31	787.3	1567.11		
699.41	787.2	1530.15		
699.51	787.1	1524.41		
699.61	787	1582.07		
699.71	786.9	1551.83		
699.81	786.8	1530.7		
699.91	786.7	1545.85		
700.01	786.6	1525.73		
700.11	786.5	1530.4		
700.21	786.4	1540.77		
700.31	786.3	1553.37		
700.41	786.2	1534.78		
700.51	786.1	1523.34		
700.61	786	1546.57		
700.71	785.9	1540.52		
700.81	785.8	1529.07		
700.91	785.7	1544.2		
701.01	785.6	1570.08		
701.11	785.5	1544.09		
701.21	785.4	1569.67		
701.31	785.3	1578.01		
701.41	785.2	1595.74		
701.51	785.1	1557.04		
701.61	785	1529.68		
701.71	784.9	1532.37		
701.81	784.8	1532.76		
701.91	784.7	1559.47		
702.01	784.6	1586.67		
702.11	784.5	1573.7		
702.21	784.4	1580.34		
702.31	784.3	1593.27		
702.41	784.2	1636.28		
702.51	784.1	1629.58		
702.61	784	1578.47		
702.71	783.9	1619.56		
702.81	783.8	1627.1		
702.91	783.7	1650.41		
703.01	783.6	1647.8		
