c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second		
1364.31	122.3	2224.17		
1364.36	122.25	2174.82		
1364.41	122.2	2192.55		
1364.46	122.15	2182.41		
1364.51	122.1	2227.41		
1364.56	122.05	2272.52		
1364.61	122	2231.85		
1364.66	121.95	2197.97		
1364.71	121.9	2180.7		
1364.76	121.85	2213.39		
1364.81	121.8	2229.83		
1364.86	121.75	2216.92		
1364.91	121.7	2308.18		
1364.96	121.65	2252.37		
1365.01	121.6	2219.39		
1365.06	121.55	2244.14		
1365.11	121.5	2233.01		
1365.16	121.45	2222.5		
1365.21	121.4	2219.93		
1365.26	121.35	2229.41		
1365.31	121.3	2273.7		
1365.36	121.25	2216.73		
1365.41	121.2	2219.13		
1365.46	121.15	2291.81		
1365.51	121.1	2255.45		
1365.56	121.05	2212.15		
1365.61	121	2233.14		
1365.66	120.95	2227.67		
1365.71	120.9	2242.96		
1365.76	120.85	2290.85		
1365.81	120.8	2243.42		
1365.86	120.75	2265.77		
1365.91	120.7	2282.33		
1365.96	120.65	2246.42		
1366.01	120.6	2279.79		
1366.06	120.55	2289.45		
1366.11	120.5	2285.75		
1366.16	120.45	2234.47		
1366.21	120.4	2246.89		
1366.26	120.35	2267.74		
1366.31	120.3	2283.3		
1366.36	120.25	2241.64		
1366.41	120.2	2271.87		
1366.46	120.15	2238.86		
1366.51	120.1	2223.78		
1366.56	120.05	2238.68		
1366.61	120	2226.19		
1366.66	119.95	2214.63		
1366.71	119.9	2286.75		
1366.76	119.85	2316.88		
1366.81	119.8	2306.57		
1366.86	119.75	2275.55		
1366.91	119.7	2252.07		
1366.96	119.65	2275.35		
1367.01	119.6	2247.08		
1367.06	119.55	2275.44		
1367.11	119.5	2277.2		
1367.16	119.45	2273.35		
1367.21	119.4	2266.45		
1367.26	119.35	2310.12		
1367.31	119.3	2271.82		
1367.36	119.25	2301.04		
1367.41	119.2	2224.24		
1367.46	119.15	2269.31		
1367.51	119.1	2235.32		
1367.56	119.05	2249.16		
1367.61	119	2248.16		
1367.66	118.95	2237.16		
1367.71	118.9	2251.47		
1367.76	118.85	2286.37		
1367.81	118.8	2330.72		
1367.86	118.75	2306.46		
1367.91	118.7	2326.14		
1367.96	118.65	2302.45		
1368.01	118.6	2264.76		
1368.06	118.55	2325.09		
1368.11	118.5	2224.16		
1368.16	118.45	2310.42		
1368.21	118.4	2290.79		
1368.26	118.35	2286.31		
1368.31	118.3	2281.22		
1368.36	118.25	2242.55		
1368.41	118.2	2290.76		
1368.46	118.15	2235.6		
1368.51	118.1	2236.73		
1368.56	118.05	2280.89		
1368.61	118	2300.57		
1368.66	117.95	2296.04		
1368.71	117.9	2311.75		
1368.76	117.85	2254.96		
1368.81	117.8	2231.48		
1368.86	117.75	2308.91		
1368.91	117.7	2307.85		
1368.96	117.65	2331.9		
1369.01	117.6	2311.95		
1369.06	117.55	2256.15		
1369.11	117.5	2243.92		
1369.16	117.45	2270		
1369.21	117.4	2287.7		
1369.26	117.35	2283.86		
1369.31	117.3	2296.59		
1369.36	117.25	2252.48		
1369.41	117.2	2294.08		
1369.46	117.15	2310.77		
1369.51	117.1	2245.04		
1369.56	117.05	2232.72		
1369.61	117	2312.11		
1369.66	116.95	2265.18		
1369.71	116.9	2287.28		
1369.76	116.85	2314.53		
1369.81	116.8	2303.1		
1369.86	116.75	2271.68		
1369.91	116.7	2261.2		
1369.96	116.65	2300.65		
1370.01	116.6	2245.77		
