C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1080.21	406.4	972.786
1080.31	406.3	984.631
1080.41	406.2	990.314
1080.51	406.1	978.883
1080.61	406	961.108
1080.71	405.9	978.687
1080.81	405.8	976.708
1080.91	405.7	992.396
1081.01	405.6	965.571
1081.11	405.5	978.207
1081.21	405.4	981.075
1081.31	405.3	973.81
1081.41	405.2	968.616
1081.51	405.1	956.735
1081.61	405	978.94
1081.71	404.9	969.216
1081.81	404.8	970.883
1081.91	404.7	951.109
1082.01	404.6	962.467
1082.11	404.5	968.907
1082.21	404.4	984.052
1082.31	404.3	978.025
1082.41	404.2	965.377
1082.51	404.1	964.318
1082.61	404	972.797
1082.71	403.9	973.235
1082.81	403.8	972.722
1082.91	403.7	975.321
1083.01	403.6	954.556
1083.11	403.5	964.579
1083.21	403.4	968.902
1083.31	403.3	958.793
1083.41	403.2	969.322
1083.51	403.1	968.333
1083.61	403	953.12
1083.71	402.9	965.426
1083.81	402.8	971.148
1083.91	402.7	969.169
1084.01	402.6	971.342
1084.11	402.5	974.181
1084.21	402.4	961.698
1084.31	402.3	967.386
1084.41	402.2	945.593
1084.51	402.1	956.803
1084.61	402	966.677
1084.71	401.9	979.076
1084.81	401.8	965.112
1084.91	401.7	975.188
1085.01	401.6	968.395
1085.11	401.5	957.817
1085.21	401.4	976.89
1085.31	401.3	969.723
1085.41	401.2	968.746
1085.51	401.1	959.024
1085.61	401	967.001
1085.71	400.9	952.469
1085.81	400.8	965.986
1085.91	400.7	972.827
1086.01	400.6	973.97
1086.11	400.5	964.637
1086.21	400.4	965.009
1086.31	400.3	966.388
1086.41	400.2	967.487
1086.51	400.1	972.232
1086.61	400	970.298
1086.71	399.9	956.058
1086.81	399.8	978.984
1086.91	399.7	976.22
1087.01	399.6	968.509
1087.11	399.5	966.267
1087.21	399.4	981.456
1087.31	399.3	973.366
1087.41	399.2	968.992
1087.51	399.1	965.738
1087.61	399	956.279
1087.71	398.9	965.801
1087.81	398.8	984.222
1087.91	398.7	973.137
1088.01	398.6	960.871
1088.11	398.5	956.765
1088.21	398.4	966.988
1088.31	398.3	982.193
1088.41	398.2	970.024
1088.51	398.1	969.92
1088.61	398	971.093
1088.71	397.9	969.977
1088.81	397.8	966.42
1088.91	397.7	966.542
1089.01	397.6	965.766
1089.11	397.5	944.546
1089.21	397.4	959.663
1089.31	397.3	975.634
1089.41	397.2	968.016
