C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1355.11	131.5	1890.17
1355.21	131.4	1849.17
1355.31	131.3	1924.53
1355.41	131.2	1915.02
1355.51	131.1	1927.29
1355.61	131	1923.9
1355.71	130.9	1907.33
1355.81	130.8	1895.14
1355.91	130.7	1908.16
1356.01	130.6	1946.83
1356.11	130.5	1914.59
1356.21	130.4	1899.24
1356.31	130.3	1919.66
1356.41	130.2	1904.91
1356.51	130.1	1916.65
1356.61	130	1925.24
1356.71	129.9	1923.84
1356.81	129.8	1906.61
1356.91	129.7	1935.99
1357.01	129.6	1921.12
1357.11	129.5	1933.79
1357.21	129.4	1932.86
1357.31	129.3	1928.01
1357.41	129.2	1918.86
1357.51	129.1	1924.53
1357.61	129	1925.9
1357.71	128.9	1951.29
1357.81	128.8	1926.87
1357.91	128.7	1927.71
1358.01	128.6	1932.89
1358.11	128.5	1920.45
1358.21	128.4	1952.16
1358.31	128.3	1961.39
1358.41	128.2	1916.98
1358.51	128.1	1957.68
1358.61	128	1947.48
1358.71	127.9	1926.61
1358.81	127.8	1922.59
1358.91	127.7	1927.62
1359.01	127.6	1908.47
1359.11	127.5	1938.27
1359.21	127.4	1935.88
1359.31	127.3	1921.74
1359.41	127.2	1920.05
1359.51	127.1	1946.2
1359.61	127	1918.04
1359.71	126.9	1919.75
1359.81	126.8	1942.97
1359.91	126.7	1965.98
1360.01	126.6	1944.27
1360.11	126.5	1955.49
1360.21	126.4	1954.18
1360.31	126.3	1953.82
1360.41	126.2	1948.01
1360.51	126.1	1947.39
1360.61	126	1950.74
1360.71	125.9	1942.94
1360.81	125.8	1950.94
1360.91	125.7	1946.25
1361.01	125.6	1937.5
1361.11	125.5	1917.78
1361.21	125.4	1933.91
1361.31	125.3	1939.71
1361.41	125.2	1937.51
1361.51	125.1	1924.85
1361.61	125	1942.33
1361.71	124.9	1945.68
1361.81	124.8	1973.4
1361.91	124.7	1950.78
1362.01	124.6	1960.46
1362.11	124.5	1974.51
1362.21	124.4	1940.26
1362.31	124.3	1965.04
1362.41	124.2	1993.14
1362.51	124.1	1967.15
1362.61	124	1948.24
1362.71	123.9	1953.29
1362.81	123.8	1941.95
1362.91	123.7	1945.12
1363.01	123.6	1948.51
1363.11	123.5	1960.22
1363.21	123.4	1949.89
1363.31	123.3	1963.75
1363.41	123.2	1968.31
1363.51	123.1	1962.5
1363.61	123	1977.89
1363.71	122.9	1975.15
1363.81	122.8	1976.01
1363.91	122.7	1961.72
1364.01	122.6	1993.15
1364.11	122.5	1959.47
1364.21	122.4	1957.49
1364.31	122.3	1974.57
1364.41	122.2	1990.21
1364.51	122.1	1988.62
1364.61	122	1968.2
1364.71	121.9	1960.44
1364.81	121.8	1990.41
1364.91	121.7	1964.44
1365.01	121.6	1973.87
1365.11	121.5	1990.68
1365.21	121.4	1958.67
1365.31	121.3	1985.58
1365.41	121.2	1987.1
1365.51	121.1	1961.49
1365.61	121	1976.67
1365.71	120.9	1972.08
1365.81	120.8	1994.45
1365.91	120.7	2021.22
1366.01	120.6	1997.23
1366.11	120.5	1988.82
1366.21	120.4	2013.83
1366.31	120.3	2003.56
1366.41	120.2	2020.26
1366.51	120.1	1995.28
1366.61	120	1976.15
1366.71	119.9	1983.12
1366.81	119.8	1964.99
1366.91	119.7	1978.54
1367.01	119.6	1989.43
1367.11	119.5	2000.68
1367.21	119.4	2001.75
1367.31	119.3	1997.51
1367.41	119.2	1990.23
1367.51	119.1	2015.06
1367.61	119	2011.11
1367.71	118.9	1983
1367.81	118.8	1981.86
1367.91	118.7	1971.37
1368.01	118.6	1983.51
1368.11	118.5	2016.79
1368.21	118.4	2037.56
1368.31	118.3	1999.77
1368.41	118.2	2044.79
1368.51	118.1	1989.94
