C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1106.11	380.5	3654.35
1106.21	380.4	3672.16
1106.31	380.3	3629.83
1106.41	380.2	3603.78
1106.51	380.1	3584.67
1106.61	380	3591.05
1106.71	379.9	3604.47
1106.81	379.8	3589.4
1106.91	379.7	3596.58
1107.01	379.6	3582.6
1107.11	379.5	3594.05
1107.21	379.4	3560.73
1107.31	379.3	3601.37
1107.41	379.2	3625.91
1107.51	379.1	3613.78
1107.61	379	3648.93
1107.71	378.9	3668.04
1107.81	378.8	3660.79
1107.91	378.7	3742.77
1108.01	378.6	3797.36
1108.11	378.5	3875.54
1108.21	378.4	3919.52
1108.31	378.3	4036.23
1108.41	378.2	4154.48
1108.51	378.1	4265.16
1108.61	378	4312.86
1108.71	377.9	4346.22
1108.81	377.8	4343.08
1108.91	377.7	4259.54
1109.01	377.6	4191.31
1109.11	377.5	4086.03
1109.21	377.4	3980.76
1109.31	377.3	3877.88
1109.41	377.2	3830.32
1109.51	377.1	3775
1109.61	377	3736.49
1109.71	376.9	3755.08
1109.81	376.8	3782.56
1109.91	376.7	3825.79
1110.01	376.6	3853.9
1110.11	376.5	3891.13
1110.21	376.4	3954.45
1110.31	376.3	4049.21
1110.41	376.2	4113.67
1110.51	376.1	4192.47
1110.61	376	4290.32
1110.71	375.9	4444.08
1110.81	375.8	4547.12
1110.91	375.7	4705.72
1111.01	375.6	4910.26
1111.11	375.5	5182.82
1111.21	375.4	5508.15
1111.31	375.3	5880.8
1111.41	375.2	6499.78
1111.51	375.1	7352.54
1111.61	375	8608.59
1111.71	374.9	10528.4
1111.81	374.8	13381.4
1111.91	374.7	17445.5
1112.01	374.6	22779
1112.11	374.5	28958
1112.21	374.4	35063.1
1112.31	374.3	39616.8
1112.41	374.2	41153.3
1112.51	374.1	39013.7
1112.61	374	33851.3
1112.71	373.9	27164.5
1112.81	373.8	20276.2
1112.91	373.7	14755.2
1113.01	373.6	10975.6
1113.11	373.5	8346.78
1113.21	373.4	6644.13
1113.31	373.3	5472.95
1113.41	373.2	4664.39
1113.51	373.1	4166.42
1113.61	373	3768.97
1113.71	372.9	3571.64
1113.81	372.8	3455.11
1113.91	372.7	3397.16
1114.01	372.6	3355.03
1114.11	372.5	3375.75
1114.21	372.4	3396.12
1114.31	372.3	3500.75
1114.41	372.2	3605.48
1114.51	372.1	3694.05
1114.61	372	3728.6
1114.71	371.9	3747.25
1114.81	371.8	3702.19
1114.91	371.7	3572.67
1115.01	371.6	3393.41
1115.11	371.5	3205.42
1115.21	371.4	3042.23
1115.31	371.3	2863.99
1115.41	371.2	2746.08
1115.51	371.1	2644.15
1115.61	371	2595.23
1115.71	370.9	2583
1115.81	370.8	2592.43
1115.91	370.7	2595.6
1116.01	370.6	2638.03
1116.11	370.5	2711.1
1116.21	370.4	2747.83
1116.31	370.3	2865.21
1116.41	370.2	2990.09
1116.51	370.1	3108.82
1116.61	370	3273.08
1116.71	369.9	3432.43
1116.81	369.8	3678.66
1116.91	369.7	3922.39
1117.01	369.6	4219.2
1117.11	369.5	4640.77
1117.21	369.4	5136.93
1117.31	369.3	5787.45
1117.41	369.2	6651.24
1117.51	369.1	7931.96
1117.61	369	9875.66
1117.71	368.9	12626.2
1117.81	368.8	16754.6
1117.91	368.7	22557.6
1118.01	368.6	30235.3
1118.11	368.5	39028.6
1118.21	368.4	47859.2
1118.31	368.3	54462.4
1118.41	368.2	56521.6
1118.51	368.1	53378.4
1118.61	368	46287.5
1118.71	367.9	36769.9
1118.81	367.8	26996.5
1118.91	367.7	18997.2
1119.01	367.6	13435.1
1119.11	367.5	9661.08
1119.21	367.4	7139.93
1119.31	367.3	5357.57
1119.41	367.2	4088.96
1119.51	367.1	3242.19
1119.61	367	2704.73
1119.71	366.9	2293.13
1119.81	366.8	1995.32
1119.91	366.7	1794.89
1120.01	366.6	1623.04
1120.11	366.5	1494.8
1120.21	366.4	1409.05
1120.31	366.3	1305.32
1120.41	366.2	1222.02
1120.51	366.1	1170.18
1120.61	366	1110.91
1120.71	365.9	1059.52
1120.81	365.8	1023.26
1120.91	365.7	980.537
1121.01	365.6	953.531
1121.11	365.5	936.337
1121.21	365.4	900.975
1121.31	365.3	871.662
1121.41	365.2	847.92
1121.51	365.1	840.603
1121.61	365	813.389
1121.71	364.9	784.609
1121.81	364.8	767.391
1121.91	364.7	749.695
1122.01	364.6	736.71
1122.11	364.5	731.484
1122.21	364.4	717.48
1122.31	364.3	719.88
1122.41	364.2	702.861
1122.51	364.1	677.827
1122.61	364	669.224
1122.71	363.9	681.95
1122.81	363.8	673.421
1122.91	363.7	648.814
1123.01	363.6	658.755
1123.11	363.5	649.902
1123.21	363.4	646.411
1123.31	363.3	631.645
1123.41	363.2	626.096
1123.51	363.1	637.689
1123.61	363	628.207
1123.71	362.9	609.754
1123.81	362.8	616.605
1123.91	362.7	626.972
1124.01	362.6	626.236
1124.11	362.5	615.466
1124.21	362.4	609.376
1124.31	362.3	606.765
1124.41	362.2	601.495
1124.51	362.1	597.919
1124.61	362	590.155
1124.71	361.9	580.22
1124.81	361.8	584.588
1124.91	361.7	576.32
1125.01	361.6	562.557
1125.11	361.5	576.785
1125.21	361.4	569.197
1125.31	361.3	560.015
1125.41	361.2	558.34
1125.51	361.1	567.523
1125.61	361	562.225
1125.71	360.9	567.278
1125.81	360.8	552.881
1125.91	360.7	547.769
1126.01	360.6	554.239
1126.11	360.5	558.255
1126.21	360.4	557.158
1126.31	360.3	555.317
1126.41	360.2	554.597
1126.51	360.1	546.067
1126.61	360	557.458
1126.71	359.9	556.07
1126.81	359.8	545.428
1126.91	359.7	548.424
1127.01	359.6	546.227
1127.11	359.5	551.426
1127.21	359.4	544.103
1127.31	359.3	537.577
1127.41	359.2	552.698
1127.51	359.1	555.383
1127.61	359	545.336
1127.71	358.9	533.22
1127.81	358.8	534.76
1127.91	358.7	546.917
1128.01	358.6	541.521
1128.11	358.5	542.28
1128.21	358.4	544.689
1128.31	358.3	540.867
1128.41	358.2	542.735
1128.51	358.1	542.39
1128.61	358	537.143
1128.71	357.9	546.559
1128.81	357.8	541.458
1128.91	357.7	530.222
1129.01	357.6	532.091
1129.11	357.5	541.99
1129.21	357.4	546.288
