C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1173.61	313	3425.41	3425.41
1174.11	312.5	3388.84	3388.84
1174.61	312	3414.11	3414.11
1175.11	311.5	3451.69	3451.69
1175.61	311	3422.88	3422.88
1176.11	310.5	3439.63	3439.63
1176.61	310	3451.11	3451.11
1177.11	309.5	3442.27	3442.27
1177.61	309	3443.96	3443.96
1178.11	308.5	3444.88	3444.88
1178.61	308	3417.58	3417.58
1179.11	307.5	3412.72	3412.72
1179.61	307	3397.5	3397.5
1180.11	306.5	3426.95	3426.95
1180.61	306	3394.27	3394.27
1181.11	305.5	3406.05	3406.05
1181.61	305	3418.89	3418.89
1182.11	304.5	3428.02	3428.02
1182.61	304	3434.94	3434.94
1183.11	303.5	3402.56	3402.56
1183.61	303	3426.01	3426.01
1184.11	302.5	3404.14	3404.14
1184.61	302	3428.82	3428.82
1185.11	301.5	3455.66	3455.66
1185.61	301	3450.79	3450.79
1186.11	300.5	3431.3	3431.3
1186.61	300	3418.9	3418.9
1187.11	299.5	3424.52	3424.52
1187.61	299	3446.53	3446.53
1188.11	298.5	3447.91	3447.91
1188.61	298	3445.34	3445.34
1189.11	297.5	3446.34	3446.34
1189.61	297	3451.25	3451.25
1190.11	296.5	3429.85	3429.85
1190.61	296	3431.5	3431.5
