C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1151.11	335.5	31811.8	31811.8
1151.61	335	32055.2	32055.2
1152.11	334.5	30766.1	30766.1
1152.61	334	28295.3	28295.3
1153.11	333.5	24889.4	24889.4
1153.61	333	21568.4	21568.4
1154.11	332.5	18704.2	18704.2
1154.61	332	16366.6	16366.6
1155.11	331.5	14486.4	14486.4
1155.61	331	12979.6	12979.6
1156.11	330.5	11813.5	11813.5
1156.61	330	10908.5	10908.5
1157.11	329.5	10229.4	10229.4
1157.61	329	9650.71	9650.71
1158.11	328.5	9195.46	9195.46
1158.61	328	8783.09	8783.09
1159.11	327.5	8480.47	8480.47
1159.61	327	8319.66	8319.66
1160.11	326.5	8078.46	8078.46
1160.61	326	7872.43	7872.43
1161.11	325.5	7712.26	7712.26
1161.61	325	7584.39	7584.39
1162.11	324.5	7450.67	7450.67
1162.61	324	7369.11	7369.11
1163.11	323.5	7296.86	7296.86
1163.61	323	7156.49	7156.49
1164.11	322.5	7122.48	7122.48
1164.61	322	7072.48	7072.48
1165.11	321.5	7012.61	7012.61
1165.61	321	6961.49	6961.49
1166.11	320.5	6948.5	6948.5
1166.61	320	6990.55	6990.55
1167.11	319.5	6954.32	6954.32
1167.61	319	6868.99	6868.99
1168.11	318.5	6880.64	6880.64
1168.61	318	6796.09	6796.09
1169.11	317.5	6729	6729
1169.61	317	6717.28	6717.28
1170.11	316.5	6682.54	6682.54
1170.61	316	6626.97	6626.97
1171.11	315.5	6628.58	6628.58
1171.61	315	6622.72	6622.72
1172.11	314.5	6576.89	6576.89
1172.61	314	6525.79	6525.79
1173.11	313.5	6505.34	6505.34
1173.61	313	6568.55	6568.55
1174.11	312.5	6573.49	6573.49
1174.61	312	6555.17	6555.17
1175.11	311.5	6573.57	6573.57
1175.61	311	6497.64	6497.64
1176.11	310.5	6473.68	6473.68
1176.61	310	6486.18	6486.18
1177.11	309.5	6466.93	6466.93
1177.61	309	6449.17	6449.17
1178.11	308.5	6456.44	6456.44
1178.61	308	6477.49	6477.49
1179.11	307.5	6490.17	6490.17
1179.61	307	6447.06	6447.06
1180.11	306.5	6481.79	6481.79
1180.61	306	6433.96	6433.96
1181.11	305.5	6509.76	6509.76
1181.61	305	6464.62	6464.62
1182.11	304.5	6500.25	6500.25
1182.61	304	6489.82	6489.82
1183.11	303.5	6528.45	6528.45
1183.61	303	6499.23	6499.23
1184.11	302.5	6494.79	6494.79
1184.61	302	6508.34	6508.34
1185.11	301.5	6458.35	6458.35
1185.61	301	6491.58	6491.58
1186.11	300.5	6479.72	6479.72
1186.61	300	6472.55	6472.55
1187.11	299.5	6456.78	6456.78
1187.61	299	6490.12	6490.12
1188.11	298.5	6532.05	6532.05
1188.61	298	6521.4	6521.4
1189.11	297.5	6486.18	6486.18
1189.61	297	6433.25	6433.25
1190.11	296.5	6437.98	6437.98
1190.61	296	6492.59	6492.59
