C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
478.41	1008.2	2189.02	2189.02
478.51	1008.1	2177.1	2177.1
478.61	1008	2180.83	2180.83
478.71	1007.9	2229.7	2229.7
478.81	1007.8	2201.43	2201.43
478.91	1007.7	2179.71	2179.71
479.01	1007.6	2189.42	2189.42
479.11	1007.5	2180.16	2180.16
479.21	1007.4	2223.53	2223.53
479.31	1007.3	2213.79	2213.79
479.41	1007.2	2198.12	2198.12
479.51	1007.1	2175.16	2175.16
479.61	1007	2208.6	2208.6
479.71	1006.9	2192.69	2192.69
479.81	1006.8	2211.58	2211.58
479.91	1006.7	2204.69	2204.69
480.01	1006.6	2240.53	2240.53
480.11	1006.5	2217.88	2217.88
480.21	1006.4	2213.63	2213.63
480.31	1006.3	2225.71	2225.71
480.41	1006.2	2248.51	2248.51
480.51	1006.1	2216.73	2216.73
480.61	1006	2207.56	2207.56
480.71	1005.9	2219.31	2219.31
480.81	1005.8	2237.72	2237.72
480.91	1005.7	2254.47	2254.47
481.01	1005.6	2228.65	2228.65
481.11	1005.5	2219.82	2219.82
481.21	1005.4	2223.06	2223.06
481.31	1005.3	2252.43	2252.43
481.41	1005.2	2227.16	2227.16
481.51	1005.1	2209.51	2209.51
481.61	1005	2255.77	2255.77
481.71	1004.9	2255.82	2255.82
481.81	1004.8	2249.14	2249.14
481.91	1004.7	2203.87	2203.87
482.01	1004.6	2216.87	2216.87
482.11	1004.5	2263.94	2263.94
482.21	1004.4	2248.42	2248.42
482.31	1004.3	2218.08	2218.08
482.41	1004.2	2200.91	2200.91
482.51	1004.1	2178.02	2178.02
482.61	1004	2189.44	2189.44
482.71	1003.9	2209.41	2209.41
482.81	1003.8	2221.04	2221.04
482.91	1003.7	2197.06	2197.06
483.01	1003.6	2194.28	2194.28
483.11	1003.5	2216.88	2216.88
483.21	1003.4	2216.31	2216.31
483.31	1003.3	2181.74	2181.74
483.41	1003.2	2266.96	2266.96
483.51	1003.1	2243.93	2243.93
483.61	1003	2201.54	2201.54
483.71	1002.9	2185.04	2185.04
