C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
486.11	1000.5	180185	180185
486.21	1000.4	179819	179819
486.31	1000.3	180200	180200
486.41	1000.2	180128	180128
486.51	1000.1	179909	179909
486.61	1000	179062	179062
486.71	999.9	178923	178923
486.81	999.8	179436	179436
486.91	999.7	181666	181666
487.01	999.6	181364	181364
487.11	999.5	181047	181047
487.21	999.4	181613	181613
487.31	999.3	181649	181649
487.41	999.2	180155	180155
487.51	999.1	180998	180998
487.61	999	180757	180757
487.71	998.9	180211	180211
487.81	998.8	181293	181293
487.91	998.7	180910	180910
488.01	998.6	181123	181123
488.11	998.5	182345	182345
488.21	998.4	181924	181924
488.31	998.3	181733	181733
488.41	998.2	181348	181348
488.51	998.1	180901	180901
488.61	998	181867	181867
488.71	997.9	182415	182415
488.81	997.8	182758	182758
488.91	997.7	182311	182311
489.01	997.6	183098	183098
489.11	997.5	182504	182504
489.21	997.4	181743	181743
489.31	997.3	182278	182278
489.41	997.2	183148	183148
489.51	997.1	182843	182843
489.61	997	183474	183474
489.71	996.9	183463	183463
489.81	996.8	182055	182055
489.91	996.7	182205	182205
490.01	996.6	181861	181861
490.11	996.5	183195	183195
490.21	996.4	183454	183454
490.31	996.3	183552	183552
490.41	996.2	184086	184086
490.51	996.1	183866	183866
490.61	996	183574	183574
490.71	995.9	183225	183225
490.81	995.8	183091	183091
490.91	995.7	184450	184450
491.01	995.6	184447	184447
491.11	995.5	184029	184029
491.21	995.4	184323	184323
491.31	995.3	184069	184069
491.41	995.2	184060	184060
491.51	995.1	184183	184183
491.61	995	183283	183283
491.71	994.9	183922	183922
491.81	994.8	184231	184231
491.91	994.7	184506	184506
492.01	994.6	184815	184815
492.11	994.5	184389	184389
492.21	994.4	184005	184005
492.31	994.3	184893	184893
492.41	994.2	184811	184811
492.51	994.1	184778	184778
492.61	994	184194	184194
492.71	993.9	184926	184926
492.81	993.8	185300	185300
492.91	993.7	184684	184684
493.01	993.6	184661	184661
493.11	993.5	185340	185340
493.21	993.4	185226	185226
493.31	993.3	186352	186352
493.41	993.2	185705	185705
493.51	993.1	186036	186036
493.61	993	185033	185033
493.71	992.9	184951	184951
493.81	992.8	184785	184785
493.91	992.7	185996	185996
494.01	992.6	185572	185572
494.11	992.5	186040	186040
494.21	992.4	186017	186017
494.31	992.3	185640	185640
494.41	992.2	186089	186089
494.51	992.1	185179	185179
494.61	992	185239	185239
