experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Pr:Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Counts per Second	BE_Pr:Counts per Second	CPS_Pr:Counts per Second		
1333.61	153	1808.64		
1333.71	152.9	1795.1		
1333.81	152.8	1811.15		
1333.91	152.7	1805.94		
1334.01	152.6	1781.36		
1334.11	152.5	1769.63		
1334.21	152.4	1803.41		
1334.31	152.3	1821.33		
1334.41	152.2	1786.53		
1334.51	152.1	1790.68		
1334.61	152	1741.58		
1334.71	151.9	1801.99		
1334.81	151.8	1863.6		
1334.91	151.7	1808.1		
1335.01	151.6	1779.36		
1335.11	151.5	1781.13		
1335.21	151.4	1769.4		
1335.31	151.3	1818.49		
1335.41	151.2	1769.95		
1335.51	151.1	1799.79		
1335.61	151	1825.91		
1335.71	150.9	1784.47		
1335.81	150.8	1805.58		
1335.91	150.7	1822.94		
1336.01	150.6	1776.25		
1336.11	150.5	1794.91		
1336.21	150.4	1795.78		
1336.31	150.3	1793.92		
1336.41	150.2	1775.58		
1336.51	150.1	1764.47		
1336.61	150	1824.83		
1336.71	149.9	1791.23		
1336.81	149.8	1826.22		
1336.91	149.7	1858.4		
1337.01	149.6	1788.89		
1337.11	149.5	1810.08		
1337.21	149.4	1832.57		
1337.31	149.3	1796.83		
1337.41	149.2	1783.03		
1337.51	149.1	1791.28		
1337.61	149	1841.29		
1337.71	148.9	1788.68		
1337.81	148.8	1789.35		
1337.91	148.7	1784.71		
1338.01	148.6	1803.36		
1338.11	148.5	1840.51		
1338.21	148.4	1825.3		
1338.31	148.3	1816.37		
1338.41	148.2	1832.4		
1338.51	148.1	1836.52		
1338.61	148	1835.33		
1338.71	147.9	1827.64		
1338.81	147.8	1810.25		
1338.91	147.7	1835.53		
1339.01	147.6	1796.81		
1339.11	147.5	1849.93		
1339.21	147.4	1784.2		
1339.31	147.3	1816.45		
1339.41	147.2	1848.8		
1339.51	147.1	1791.94		
1339.61	147	1750.09		
1339.71	146.9	1803.39		
1339.81	146.8	1831.25		
1339.91	146.7	1807.92		
1340.01	146.6	1820.64		
1340.11	146.5	1807.79		
1340.21	146.4	1816.81		
1340.31	146.3	1828.87		
1340.41	146.2	1801.53		
1340.51	146.1	1875.08		
1340.61	146	1895.83		
1340.71	145.9	1840.89		
1340.81	145.8	1783.59		
1340.91	145.7	1791.5		
1341.01	145.6	1854.06		
1341.11	145.5	1840.27		
1341.21	145.4	1818.96		
1341.31	145.3	1803.7		
1341.41	145.2	1856.61		
1341.51	145.1	1832.74		
1341.61	145	1862.26		
1341.71	144.9	1884.39		
1341.81	144.8	1825.98		
1341.91	144.7	1835.43		
1342.01	144.6	1816.24		
1342.11	144.5	1851.74		
1342.21	144.4	1854.41		
1342.31	144.3	1894.02		
1342.41	144.2	1862.66		
1342.51	144.1	1852.08		
1342.61	144	1805.12		
1342.71	143.9	1852.25		
1342.81	143.8	1816.96		
1342.91	143.7	1811.33		
1343.01	143.6	1759.48		
1343.11	143.5	1812.28		
1343.21	143.4	1840.55		
1343.31	143.3	1846.97		
1343.41	143.2	1831.48		
1343.51	143.1	1788.95		
1343.61	143	1765.67		
1343.71	142.9	1816.85		
1343.81	142.8	1864.41		
1343.91	142.7	1848.98		
1344.01	142.6	1827.26		
1344.11	142.5	1865.74		
1344.21	142.4	1821.95		
1344.31	142.3	1886.76		
1344.41	142.2	1825.29		
1344.51	142.1	1837.91		
1344.61	142	1866.23		
1344.71	141.9	1878.23		
1344.81	141.8	1838.96		
1344.91	141.7	1871.95		
1345.01	141.6	1848.43		
1345.11	141.5	1864.66		
1345.21	141.4	1865.74		
1345.31	141.3	1840.95		
1345.41	141.2	1856.26		
1345.51	141.1	1805.83		
1345.61	141	1867.14		
1345.71	140.9	1846.47		
1345.81	140.8	1803.53		
1345.91	140.7	1810.26		
1346.01	140.6	1835.96		
1346.11	140.5	1867.15		
1346.21	140.4	1884.67		
1346.31	140.3	1840.39		
1346.41	140.2	1838.73		
1346.51	140.1	1834.56		
1346.61	140	1841.32		
1346.71	139.9	1868.84		
1346.81	139.8	1863.88		
1346.91	139.7	1913.34		
1347.01	139.6	1846.62		
1347.11	139.5	1852.62		
1347.21	139.4	1836.37		
1347.31	139.3	1835.83		
1347.41	139.2	1826.2		
1347.51	139.1	1889.26		
1347.61	139	1874.75		
1347.71	138.9	1833.71		
1347.81	138.8	1844.33		
1347.91	138.7	1871.93		
1348.01	138.6	1894.02		
1348.11	138.5	1852.9		
1348.21	138.4	1876.15		
1348.31	138.3	1845.98		
1348.41	138.2	1871.9		
1348.51	138.1	1893.11		
1348.61	138	1867.42		
1348.71	137.9	1911.75		
1348.81	137.8	1903.74		
1348.91	137.7	1890.69		
1349.01	137.6	1934.75		
1349.11	137.5	1881.51		
1349.21	137.4	1864.24		
1349.31	137.3	1881.25		
1349.41	137.2	1875.72		
1349.51	137.1	1877.87		
1349.61	137	1854.87		
1349.71	136.9	1878.06		
1349.81	136.8	1853.68		
1349.91	136.7	1881.57		
1350.01	136.6	1859.28		
1350.11	136.5	1866.75		
1350.21	136.4	1893		
1350.31	136.3	1886.95		
1350.41	136.2	1885.77		
1350.51	136.1	1827.27		
1350.61	136	1829.24		
1350.71	135.9	1883.66		
1350.81	135.8	1884.69		
1350.91	135.7	1895.82		
1351.01	135.6	1902.4		
1351.11	135.5	1897.49		
1351.21	135.4	1909.65		
1351.31	135.3	1915.34		
1351.41	135.2	1878.39		
1351.51	135.1	1877.12		
1351.61	135	1863.77		
1351.71	134.9	1886.13		
1351.81	134.8	1885.21		
1351.91	134.7	1912.08		
1352.01	134.6	1920.5		
1352.11	134.5	1904.62		
1352.21	134.4	1917.24		
1352.31	134.3	1945.69		
1352.41	134.2	1930.06		
1352.51	134.1	1864.2		
1352.61	134	1898.89		
1352.71	133.9	1890.15		
1352.81	133.8	1920.04		
1352.91	133.7	1920.31		
1353.01	133.6	1859.91		
1353.11	133.5	1918.75		
1353.21	133.4	1867.92		
1353.31	133.3	1907.54		
1353.41	133.2	1915.66		
1353.51	133.1	1930.56		
1353.61	133	1941.35		
1353.71	132.9	1908.62		
1353.81	132.8	1938.84		
1353.91	132.7	1950.15		
1354.01	132.6	1925.24		
1354.11	132.5	1931.9		
1354.21	132.4	1889.14		
1354.31	132.3	1933.49		
1354.41	132.2	1952.72		
1354.51	132.1	1945.87		
1354.61	132	1922.72		
1354.71	131.9	1926.14		
1354.81	131.8	1891.29		
1354.91	131.7	1903.11		
1355.01	131.6	1932.13		
1355.11	131.5	1935.81		
1355.21	131.4	1948.34		
1355.31	131.3	1980.38		
1355.41	131.2	1928.62		
1355.51	131.1	1935.84		
1355.61	131	1912.92		
1355.71	130.9	1879.48		
1355.81	130.8	1954.06		
1355.91	130.7	1918.59		
1356.01	130.6	1934.93		
1356.11	130.5	1890.85		
1356.21	130.4	1932.22		
1356.31	130.3	1952.58		
1356.41	130.2	1963.43		
1356.51	130.1	1933.11		
1356.61	130	1988.89		
1356.66	129.95	1943.09		
1356.71	129.9	1979.94		
1356.76	129.85	1928.35		
1356.81	129.8	1950.6		
1356.86	129.75	1944.29		
1356.91	129.7	1952.38		
1356.96	129.65	1969.87		
1357.01	129.6	1925		
1357.06	129.55	1935.46		
1357.11	129.5	1909.8		
1357.16	129.45	1933.27		
1357.21	129.4	2005.07		
1357.26	129.35	1953.4		
1357.31	129.3	1940.69		
1357.36	129.25	1911.93		
1357.41	129.2	1952.26		
1357.46	129.15	1960.26		
1357.51	129.1	1942.07		
1357.56	129.05	1950.01		
1357.61	129	1933.1		
1357.66	128.95	1937.58		
1357.71	128.9	1943.14		
1357.76	128.85	1955.75		
1357.81	128.8	1997.94		
1357.86	128.75	2019.49		
1357.91	128.7	1954.15		
1357.96	128.65	1973.88		
1358.01	128.6	1944.14		
1358.06	128.55	2004.17		
1358.11	128.5	1961.33		
1358.16	128.45	1920.23		
1358.21	128.4	1924.14		
1358.26	128.35	1933.2		
1358.31	128.3	1922.72		
1358.36	128.25	1913		
1358.41	128.2	1924.44		
1358.46	128.15	1978.01		
1358.51	128.1	1955.29		
1358.56	128.05	1921.38		
1358.61	128	1960.44		
1358.66	127.95	1996.01		
1358.71	127.9	1973.99		
1358.76	127.85	1992.81		
1358.81	127.8	1964.13		
1358.86	127.75	1970.7		
1358.91	127.7	1976.39		
1358.96	127.65	1981.43		
1359.01	127.6	1981.09		
1359.06	127.55	2001.41		
1359.11	127.5	2002.04		
1359.16	127.45	1952.06		
1359.21	127.4	1970.28		
1359.26	127.35	1951.59		
1359.31	127.3	1962.16		
1359.36	127.25	2006.34		
1359.41	127.2	1961.67		
1359.46	127.15	1989.75		
1359.51	127.1	1986.06		
1359.56	127.05	1989.53		
1359.61	127	1978.19		
1359.66	126.95	1969.57		
1359.71	126.9	1980.35		
1359.76	126.85	1946.48		
1359.81	126.8	1964.43		
1359.86	126.75	1962.69		
1359.91	126.7	1931.63		
1359.96	126.65	1933.16		
1360.01	126.6	1953.39		
1360.06	126.55	1960.52		
1360.11	126.5	1965.42		
1360.16	126.45	1941.56		
1360.21	126.4	1992.49		
1360.26	126.35	1998.31		
1360.31	126.3	1972.06		
1360.36	126.25	2025.87		
1360.41	126.2	2032.38		
1360.46	126.15	1950.74		
1360.51	126.1	1976.7		
1360.56	126.05	2018.07		
1360.61	126	1984.19		
1360.66	125.95	2011.86		
1360.71	125.9	2020.16		
1360.76	125.85	2025.55		
1360.81	125.8	1953.94		
1360.86	125.75	1951.49		
1360.91	125.7	1969.48		
1360.96	125.65	1991.38		
1361.01	125.6	1986.08		
1361.06	125.55	2008.68		
1361.11	125.5	2011.11		
1361.16	125.45	1980.71		
1361.21	125.4	1958.83		
1361.26	125.35	2001.56		
1361.31	125.3	1988.39		
1361.36	125.25	1997.06		
1361.41	125.2	1977.83		
1361.46	125.15	1992.99		
1361.51	125.1	2038.89		
1361.56	125.05	2032.65		
1361.61	125	2054.36		
1361.66	124.95	2014.75		
1361.71	124.9	1985.35		
1361.76	124.85	1966.96		
1361.81	124.8	2023.19		
1361.86	124.75	2020.81		
1361.91	124.7	1987.35		
1361.96	124.65	2047.81		
1362.01	124.6	2043.96		
1362.06	124.55	2039.14		
1362.11	124.5	2014.89		
1362.16	124.45	2033.67		
1362.21	124.4	1958.17		
1362.26	124.35	1994.05		
1362.31	124.3	2029.75		
1362.36	124.25	2008.91		
1362.41	124.2	2006.45		
1362.46	124.15	1988.93		
1362.51	124.1	2032.02		
1362.56	124.05	2020.21		
1362.61	124	2034.33		
1362.66	123.95	2024.46		
1362.71	123.9	2043.17		
1362.76	123.85	2052.74		
1362.81	123.8	2064.04		
1362.86	123.75	2059.26		
1362.91	123.7	2032.41		
1362.96	123.65	1981.83		
1363.01	123.6	2011.44		
1363.06	123.55	2062.33		
1363.11	123.5	2040.55		
1363.16	123.45	2062.12		
1363.21	123.4	2057.72		
1363.26	123.35	2010.42		
1363.31	123.3	1995.41		
1363.36	123.25	2010.29		
1363.41	123.2	2042.52		
1363.46	123.15	2057.1		
1363.51	123.1	2048.49		
1363.56	123.05	2030.1		
1363.61	123	2032.25		
1363.66	122.95	2042.47		
1363.71	122.9	2057.93		
1363.76	122.85	2013.81		
1363.81	122.8	2049.56		
1363.86	122.75	2072.48		
1363.91	122.7	2100.71		
1363.96	122.65	2083.38		
1364.01	122.6	2055.01		
1364.06	122.55	2080.53		
1364.11	122.5	2072.03		
1364.16	122.45	2075.97		
1364.21	122.4	2076.83		
1364.26	122.35	2036		
1364.31	122.3	2064.08		
1364.36	122.25	2088.25		
1364.41	122.2	2101.4		
1364.46	122.15	2075.27		
1364.51	122.1	2057.99		
1364.56	122.05	2040.1		
1364.61	122	2075.06		
1364.66	121.95	2085.62		
1364.71	121.9	2103.99		
1364.76	121.85	2114.96		
1364.81	121.8	2100.05		
1364.86	121.75	2054.35		
1364.91	121.7	2036.36		
1364.96	121.65	2111.65		
1365.01	121.6	2111.22		
1365.06	121.55	2071.68		
1365.11	121.5	2039.18		
1365.16	121.45	2077.68		
1365.21	121.4	2073.64		
1365.26	121.35	2096.61		
1365.31	121.3	2123.73		
1365.36	121.25	2128.4		
1365.41	121.2	2088.31		
1365.46	121.15	2113.31		
1365.51	121.1	2101.2		
1365.56	121.05	2100.88		
1365.61	121	2092.56		
1365.66	120.95	2061.15		
1365.71	120.9	2135.65		
1365.76	120.85	2122.27		
1365.81	120.8	2064.18		
1365.86	120.75	2056.72		
1365.91	120.7	2054.87		
1365.96	120.65	2116.82		
1366.01	120.6	2114.66		
1366.06	120.55	2112.11		
1366.11	120.5	2160.26		
1366.16	120.45	2114.29		
1366.21	120.4	2119.03		
1366.26	120.35	2149.18		
1366.31	120.3	2160.02		
1366.36	120.25	2128.22		
1366.41	120.2	2096.72		
1366.46	120.15	2086.3		
1366.51	120.1	2126.74		
1366.56	120.05	2106.69		
1366.61	120	2146.53		
1366.66	119.95	2112.87		
1366.71	119.9	2076.09		
1366.76	119.85	2148.08		
1366.81	119.8	2113.62		
1366.86	119.75	2152.02		
1366.91	119.7	2122.86		
1366.96	119.65	2150.73		
1367.01	119.6	2080.02		
1367.06	119.55	2088.9		
1367.11	119.5	2076.47		
1367.16	119.45	2084.54		
1367.21	119.4	2106.91		
1367.26	119.35	2117.25		
1367.31	119.3	2134.17		
1367.36	119.25	2128.37		
1367.41	119.2	2128.95		
1367.46	119.15	2129.38		
1367.51	119.1	2126.7		
1367.56	119.05	2129.14		
1367.61	119	2150.67		
1367.66	118.95	2171.46		
1367.71	118.9	2124.34		
1367.76	118.85	2152.58		
1367.81	118.8	2109.37		
1367.86	118.75	2173.33		
1367.91	118.7	2139.75		
1367.96	118.65	2111.72		
1368.01	118.6	2126.77		
1368.06	118.55	2124.89		
1368.11	118.5	2140.86		
1368.16	118.45	2166.12		
1368.21	118.4	2147.44		
1368.26	118.35	2129.92		
1368.31	118.3	2093.95		
1368.36	118.25	2125.17		
1368.41	118.2	2131.77		
1368.46	118.15	2152.08		
1368.51	118.1	2141.94		
1368.56	118.05	2116.35		
1368.61	118	2114.65		
1368.66	117.95	2119.78		
1368.71	117.9	2127.61		
1368.76	117.85	2131.51		
1368.81	117.8	2153.75		
1368.86	117.75	2129.99		
