C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1373.71	112.9	1018.32
1373.81	112.8	1003.19
1373.91	112.7	1009.62
1374.01	112.6	1012.02
1374.11	112.5	1019.43
1374.21	112.4	1021.44
1374.31	112.3	1016.12
1374.41	112.2	1016.14
1374.51	112.1	1016.41
1374.61	112	1017.98
1374.71	111.9	1016.07
1374.81	111.8	1014.63
1374.91	111.7	1025.69
1375.01	111.6	1032.61
1375.11	111.5	1027.47
1375.21	111.4	1019.81
1375.31	111.3	1018.45
1375.41	111.2	1033.08
1375.51	111.1	1039.9
1375.61	111	1032.75
1375.71	110.9	1022.19
1375.81	110.8	1026.31
1375.91	110.7	1026.54
1376.01	110.6	1023.34
1376.11	110.5	1035.94
1376.21	110.4	1034.77
1376.31	110.3	1018.74
1376.41	110.2	1033.89
1376.51	110.1	1026.25
1376.61	110	1028.58
1376.71	109.9	1026.56
1376.81	109.8	1017.48
1376.91	109.7	1002.38
1377.01	109.6	1012.05
1377.11	109.5	1018.68
1377.21	109.4	1032.07
1377.31	109.3	1031.81
1377.41	109.2	1014.39
1377.51	109.1	1028.83
1377.61	109	1023.32
1377.71	108.9	1010.19
1377.81	108.8	1026.9
1377.91	108.7	1031.6
1378.01	108.6	1023.14
1378.11	108.5	1014.34
1378.21	108.4	1008.3
1378.31	108.3	1024.62
1378.41	108.2	1026.29
1378.51	108.1	1023.53
1378.61	108	1035.77
1378.71	107.9	1022.55
1378.81	107.8	1011.17
1378.91	107.7	1018.3
1379.01	107.6	1015.24
1379.11	107.5	1022.25
1379.21	107.4	1026.19
1379.31	107.3	1013.49
1379.41	107.2	1003.27
1379.51	107.1	1014.92
1379.61	107	1021
1379.71	106.9	1020.53
1379.81	106.8	1011.52
1379.91	106.7	993.351
1380.01	106.6	1003.16
1380.11	106.5	999.979
1380.21	106.4	1010.86
1380.31	106.3	1008.76
1380.41	106.2	1001.85
1380.51	106.1	1002.57
1380.61	106	993.627
1380.71	105.9	999.853
1380.81	105.8	994.198
1380.91	105.7	1000.3
1381.01	105.6	984.43
1381.11	105.5	991.009
1381.21	105.4	986.029
1381.31	105.3	998.288
1381.41	105.2	1004.69
1381.51	105.1	1003.3
1381.61	105	1009.89
1381.71	104.9	1016.67
1381.81	104.8	1020.72
1381.91	104.7	999.213
1382.01	104.6	1013.17
1382.11	104.5	1011.33
1382.21	104.4	1004.44
1382.31	104.3	1012.62
1382.41	104.2	1014.01
1382.51	104.1	1000.74
