experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	Background_Counts per Second	
1360.26	126.35	1150.12	1182.67	
1360.31	126.3	1150.43	1167.13	
1360.36	126.25	1155.88	1178.68	
1360.41	126.2	1168.93	1155	
1360.46	126.15	1158.14	1160.08	
1360.51	126.1	1164.14	1217.45	
1360.56	126.05	1154.36	1118.85	
1360.61	126	1148.53	1155.46	
1360.66	125.95	1147.57	1125.2	
1360.71	125.9	1153.94	1162.02	
1360.76	125.85	1161.7	1228.04	
1360.81	125.8	1166.35	1145.48	
1360.86	125.75	1172.58	1196.07	
1360.91	125.7	1167.33	1164.16	
1360.96	125.65	1168.29	1175.63	
1361.01	125.6	1178.52	1127.42	
1361.06	125.55	1169.47	1137.67	
1361.11	125.5	1175.11	1179.22	
1361.16	125.45	1154.1	1132.16	
1361.21	125.4	1161.36	1169.07	
1361.26	125.35	1164.5	1164.17	
1361.31	125.3	1173.46	1133.67	
1361.36	125.25	1176.94	1174.34	
1361.41	125.2	1174.43	1160.75	
1361.46	125.15	1165.81	1167.67	
1361.51	125.1	1181.89	1121.74	
1361.56	125.05	1173.75	1178.11	
1361.61	125	1160.06	1150.3	
1361.66	124.95	1156.6	1116.12	
1361.71	124.9	1153.81	1187.45	
1361.76	124.85	1161.45	1163.07	
1361.81	124.8	1161.98	1173.9	
1361.86	124.75	1157.58	1144.19	
1361.91	124.7	1160.77	1197.24	
1361.96	124.65	1163.37	1199.76	
1362.01	124.6	1168.03	1201.06	
1362.06	124.55	1182.87	1197.85	
1362.11	124.5	1170.76	1104.54	
1362.16	124.45	1155.58	1107.05	
1362.21	124.4	1175.84	1138.38	
1362.26	124.35	1163.29	1138.16	
1362.31	124.3	1162.67	1106.75	
1362.36	124.25	1177.87	1152.97	
1362.41	124.2	1168.99	1158.97	
1362.46	124.15	1165.94	1141.85	
1362.51	124.1	1166.14	1174.79	
1362.56	124.05	1162.24	1159.72	
1362.61	124	1170.66	1174.36	
1362.66	123.95	1148.31	1219.4	
1362.71	123.9	1174.59	1179.71	
1362.76	123.85	1171.56	1190.23	
1362.81	123.8	1169.84	1168.96	
1362.86	123.75	1174.9	1180.9	
1362.91	123.7	1152.24	1161.21	
1362.96	123.65	1168.05	1151.62	
1363.01	123.6	1162.45	1137.92	
1363.06	123.55	1168.29	1178.68	
1363.11	123.5	1171.15	1148.06	
1363.16	123.45	1156.18	1163.52	
1363.21	123.4	1162.91	1144.11	
1363.26	123.35	1169.04	1174.72	
1363.31	123.3	1161.96	1140.49	
1363.36	123.25	1179.38	1203.98	
1363.41	123.2	1183.54	1211.02	
1363.46	123.15	1164.42	1134.8	
1363.51	123.1	1171.21	1121.99	
1363.56	123.05	1176.81	1165.51	
1363.61	123	1158.54	1148.8	
1363.66	122.95	1175.53	1142.56	
1363.71	122.9	1156.92	1175.76	
1363.76	122.85	1163.02	1130.05	
1363.81	122.8	1171.65	1197.31	
1363.86	122.75	1177.15	1223.3	
1363.91	122.7	1177.04	1203.27	
1363.96	122.65	1163.37	1144.69	
1364.01	122.6	1183.41	1141.37	
1364.06	122.55	1171.29	1197.89	
1364.11	122.5	1152.43	1136.47	
1364.16	122.45	1162.85	1122.72	
1364.21	122.4	1186.96	1201.37	
1364.26	122.35	1163.52	1188.49	
1364.31	122.3	1158.59	1136.17	
1364.36	122.25	1176.71	1120.07	
1364.41	122.2	1169.43	1145.09	
1364.46	122.15	1164.44	1136.34	
1364.51	122.1	1184.19	1141.49	
1364.56	122.05	1175.19	1152.97	
1364.61	122	1162.1	1178.32	
1364.66	121.95	1174.13	1175.17	
1364.71	121.9	1168.44	1210.5	
1364.76	121.85	1176.39	1171.37	
1364.81	121.8	1173.95	1182.14	
1364.86	121.75	1184.57	1174.73	
1364.91	121.7	1166.98	1230.89	
1364.96	121.65	1174.04	1169.25	
1365.01	121.6	1176.28	1194.74	
1365.06	121.55	1172.7	1177.11	
1365.11	121.5	1164.88	1223.09	
1365.16	121.45	1169.14	1199.24	
1365.21	121.4	1176.81	1218.05	
1365.26	121.35	1186.83	1253.94	
1365.31	121.3	1200.07	1218.24	
1365.36	121.25	1167.32	1159	
