experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	Background_Counts per Second	
1334.51	152.1	1083.46	1003.93	
1334.61	152	1097.79	1131.71	
1334.71	151.9	1088.53	1092.25	
1334.81	151.8	1088.63	1096.37	
1334.91	151.7	1100.67	1135.16	
1335.01	151.6	1108.72	1110.14	
1335.11	151.5	1122.55	1109.16	
1335.21	151.4	1112.05	1090.1	
1335.31	151.3	1111.12	1074.26	
1335.41	151.2	1102.73	1042.42	
1335.51	151.1	1086.89	1068.09	
1335.61	151	1090.61	1091.33	
1335.71	150.9	1110.88	1067.28	
1335.81	150.8	1144.3	1138.29	
1335.91	150.7	1118.14	1057.06	
1336.01	150.6	1136.53	1074.81	
1336.11	150.5	1121.72	1163.57	
1336.21	150.4	1080.86	1107.72	
1336.31	150.3	1100.81	1069.54	
1336.41	150.2	1101.47	1048.57	
1336.51	150.1	1088.08	1026.25	
1336.61	150	1096.48	1089.07	
1336.71	149.9	1124.41	1112.98	
1336.81	149.8	1111.09	1130.07	
1336.91	149.7	1094.34	1054.68	
1337.01	149.6	1103.85	1095.44	
1337.11	149.5	1106.68	1073.39	
1337.21	149.4	1101.74	1094.03	
1337.31	149.3	1097.91	1182.09	
1337.41	149.2	1106.72	1113.19	
1337.51	149.1	1115.67	1079.64	
1337.61	149	1108.11	1103.3	
1337.71	148.9	1087.8	1065.22	
1337.81	148.8	1107.19	1148.41	
1337.91	148.7	1132.98	1106.7	
1338.01	148.6	1102.85	1093.43	
1338.11	148.5	1075.46	1090.31	
1338.21	148.4	1076.65	1036.87	
1338.31	148.3	1114.08	1124.88	
1338.41	148.2	1098.6	1052.26	
1338.51	148.1	1109.61	1120.85	
1338.61	148	1134.7	1127.56	
1338.71	147.9	1114.13	1064.92	
1338.81	147.8	1130.24	1127.31	
1338.91	147.7	1097.76	1122.1	
1339.01	147.6	1134.12	1149.25	
1339.11	147.5	1113.99	1083.37	
1339.21	147.4	1116.7	1122.37	
1339.31	147.3	1097.97	1049.08	
1339.41	147.2	1092.36	1085.45	
1339.51	147.1	1102.11	1066.82	
1339.61	147	1097.7	1040.47	
1339.71	146.9	1091.82	1091.69	
1339.81	146.8	1114.39	1104.8	
1339.91	146.7	1102.54	1059.02	
1340.01	146.6	1071.22	1184.84	
1340.11	146.5	1109.97	1202.55	
1340.21	146.4	1150.43	1115.68	
1340.31	146.3	1095.43	1124.4	
1340.41	146.2	1107.69	1145.81	
1340.51	146.1	1125.74	1201.95	
1340.61	146	1115.49	1173.02	
1340.71	145.9	1111.2	1064.27	
1340.81	145.8	1098.91	1126.5	
1340.91	145.7	1087.05	1084.39	
1341.01	145.6	1093.64	1069.01	
1341.11	145.5	1126.13	1105.17	
1341.21	145.4	1079.08	1142.62	
1341.31	145.3	1135.44	1206.78	
1341.41	145.2	1102.56	1108.02	
1341.51	145.1	1092.38	1110.71	
1341.61	145	1117.66	1116.63	
1341.71	144.9	1105.22	1123.56	
1341.81	144.8	1101.08	1063.67	
1341.91	144.7	1092.57	1091.9	
1342.01	144.6	1123.73	1151.76	
1342.11	144.5	1108.66	1098.5	
1342.21	144.4	1114.76	1058.82	
1342.31	144.3	1108.74	1055.17	
1342.41	144.2	1109	1118.76	
1342.51	144.1	1117.87	1153.59	
1342.61	144	1119.97	1134.99	
1342.71	143.9	1117.53	1184.83	
1342.81	143.8	1134.67	1072.51	
1342.91	143.7	1130.3	1099.56	
1343.01	143.6	1132.12	1145.62	
1343.11	143.5	1108.19	1151.14	
1343.21	143.4	1124.02	1078.56	
1343.31	143.3	1105.5	1115.35	
1343.41	143.2	1128.37	1161.31	
1343.51	143.1	1142.74	1184.76	
1343.61	143	1109.25	1118.84	
1343.71	142.9	1096.67	1075.47	
1343.81	142.8	1128.45	1087.72	
1343.91	142.7	1122.45	1140.81	
1344.01	142.6	1117.49	1057.88	
1344.11	142.5	1126.79	1048.05	
1344.21	142.4	1135.99	1113.07	
1344.31	142.3	1155.49	1090.65	
