c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex391_cec356_o2 test without sample 1.vms
O1s
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_O1s	BE_O1s	CPS_O1s	Background_O1s
561.01	925.6	1.04655	1.04655
561.11	925.5	1.41673	1.41673
561.21	925.4	0.835389	0.835389
561.31	925.3	0.91954	0.91954
561.41	925.2	0.631743	0.631743
561.51	925.1	1.04563	1.04563
561.61	925	0.997266	0.997266
561.71	924.9	0.995902	0.995902
561.81	924.8	0.95952	0.95952
561.91	924.7	0.986742	0.986742
562.01	924.6	0.883585	0.883585
562.11	924.5	0.961693	0.961693
562.21	924.4	1.27106	1.27106
562.31	924.3	0.980217	0.980217
562.41	924.2	0.974649	0.974649
562.51	924.1	1.28517	1.28517
562.61	924	0.989237	0.989237
562.71	923.9	0.748083	0.748083
562.81	923.8	1.17368	1.17368
562.91	923.7	1.54382	1.54382
563.01	923.6	1.00519	1.00519
563.11	923.5	0.755556	0.755556
563.21	923.4	0.929276	0.929276
563.31	923.3	1.12176	1.12176
563.41	923.2	1.12246	1.12246
563.51	923.1	1.10171	1.10171
563.61	923	0.735496	0.735496
563.71	922.9	0.940565	0.940565
563.81	922.8	1.09855	1.09855
563.91	922.7	0.913528	0.913528
564.01	922.6	0.659851	0.659851
564.11	922.5	0.831319	0.831319
564.21	922.4	0.932458	0.932458
564.31	922.3	0.724215	0.724215
564.41	922.2	1.06501	1.06501
564.51	922.1	0.976496	0.976496
564.61	922	0.745911	0.745911
564.71	921.9	0.660327	0.660327
564.81	921.8	0.714438	0.714438
564.91	921.7	0.893218	0.893218
565.01	921.6	0.636582	0.636582
565.11	921.5	0.894529	0.894529
565.21	921.4	0.995106	0.995106
565.31	921.3	0.869686	0.869686
565.41	921.2	0.690974	0.690974
565.51	921.1	1.10838	1.10838
565.61	921	0.911848	0.911848
565.71	920.9	1.29367	1.29367
565.81	920.8	1.03927	1.03927
565.91	920.7	1.21881	1.21881
566.01	920.6	1.13727	1.13727
566.11	920.5	1.22237	1.22237
566.21	920.4	1.29295	1.29295
566.31	920.3	0.92005	0.92005
566.41	920.2	0.741429	0.741429
566.51	920.1	0.892206	0.892206
566.61	920	1.3772	1.3772
566.71	919.9	1.12931	1.12931
566.81	919.8	1.18119	1.18119
566.91	919.7	1.09315	1.09315
567.01	919.6	1.20162	1.20162
567.11	919.5	0.721224	0.721224
567.21	919.4	1.11162	1.11162
567.31	919.3	0.842246	0.842246
567.41	919.2	1.15591	1.15591
567.51	919.1	0.927804	0.927804
567.61	919	1.09347	1.09347
567.71	918.9	1.21961	1.21961
567.81	918.8	1.31794	1.31794
567.91	918.7	1.4033	1.4033
568.01	918.6	0.946433	0.946433
568.11	918.5	0.877896	0.877896
568.21	918.4	0.845239	0.845239
568.31	918.3	1.08731	1.08731
568.41	918.2	0.816916	0.816916
568.51	918.1	0.983028	0.983028
568.61	918	0.922382	0.922382
568.71	917.9	0.679839	0.679839
568.81	917.8	0.994735	0.994735
568.91	917.7	0.882223	0.882223
569.01	917.6	0.824771	0.824771
569.11	917.5	0.908498	0.908498
569.21	917.4	1.34994	1.34994
569.31	917.3	1.37514	1.37514
569.41	917.2	0.858855	0.858855
569.51	917.1	0.664321	0.664321
569.61	917	1.19053	1.19053
569.71	916.9	0.764837	0.764837
569.81	916.8	0.85723	0.85723
569.91	916.7	1.29047	1.29047
570.01	916.6	1.17648	1.17648
570.11	916.5	0.888101	0.888101
570.21	916.4	0.851851	0.851851
570.31	916.3	0.972934	0.972934
570.41	916.2	1.06285	1.06285
570.51	916.1	0.770397	0.770397
570.61	916	0.84566	0.84566
570.71	915.9	0.880893	0.880893
570.81	915.8	1.2396	1.2396
570.91	915.7	0.756288	0.756288
571.01	915.6	0.736259	0.736259
571.11	915.5	1.4924	1.4924
571.21	915.4	0.809438	0.809438
571.31	915.3	1.09665	1.09665
571.41	915.2	1.28882	1.28882
571.51	915.1	0.879244	0.879244
571.61	915	1.11109	1.11109
571.71	914.9	1.34897	1.34897
