C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
489.41	997.2	12181.8
489.51	997.1	12197.6
489.61	997	12199.6
489.71	996.9	12158.3
489.81	996.8	12229.8
489.91	996.7	12219.2
490.01	996.6	12200.8
490.11	996.5	12250.9
490.21	996.4	12246.8
490.31	996.3	12253.8
490.41	996.2	12243.2
490.51	996.1	12253.1
490.61	996	12284.4
490.71	995.9	12250.2
490.81	995.8	12233.3
490.91	995.7	12307.8
491.01	995.6	12300.8
491.11	995.5	12356.8
491.21	995.4	12357.2
491.31	995.3	12301.7
491.41	995.2	12296.1
491.51	995.1	12284.7
491.61	995	12325.4
491.71	994.9	12328.4
491.81	994.8	12345.9
491.91	994.7	12359.4
492.01	994.6	12395.8
492.11	994.5	12332.8
492.21	994.4	12368.7
492.31	994.3	12425
492.41	994.2	12415.6
492.51	994.1	12466.8
492.61	994	12426.3
492.71	993.9	12389.4
492.81	993.8	12417.2
492.91	993.7	12422
493.01	993.6	12396
493.11	993.5	12361.7
493.21	993.4	12386
493.31	993.3	12305.8
493.41	993.2	12327.9
493.51	993.1	12384.3
493.61	993	12350.3
493.71	992.9	12353.3
493.81	992.8	12304.3
493.91	992.7	12355.4
494.01	992.6	12363.8
494.11	992.5	12359.3
494.21	992.4	12338
494.31	992.3	12351
494.41	992.2	12378.9
494.51	992.1	12329.7
494.61	992	12337.9
494.71	991.9	12327.3
494.81	991.8	12303.5
494.91	991.7	12302.1
495.01	991.6	12339.5
495.11	991.5	12358.8
495.21	991.4	12272.6
495.31	991.3	12344.2
495.41	991.2	12298.4
495.51	991.1	12308.2
495.61	991	12277.4
495.71	990.9	12320
495.81	990.8	12264.5
495.91	990.7	12276.5
496.01	990.6	12299.9
496.11	990.5	12321.2
496.21	990.4	12309.7
496.31	990.3	12320.4
496.41	990.2	12282.5
496.51	990.1	12275.5
496.61	990	12273.8
496.71	989.9	12340.3
496.81	989.8	12332.8
496.91	989.7	12309.1
497.01	989.6	12312.2
497.11	989.5	12357.5
497.21	989.4	12340.2
497.31	989.3	12290.8
497.41	989.2	12321.3
497.51	989.1	12305.9
497.61	989	12327.3
497.71	988.9	12342.8
497.81	988.8	12372
497.91	988.7	12349.6
498.01	988.6	12364.7
498.11	988.5	12374.3
498.21	988.4	12352.6
498.31	988.3	12347.4
498.41	988.2	12408.1
498.51	988.1	12376.8
498.61	988	12336.5
498.71	987.9	12367.9
498.81	987.8	12457.8
498.91	987.7	12421.5
