C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
502.91	983.7	168920	168920
503.01	983.6	168277	168277
503.11	983.5	168697	168697
503.21	983.4	169110	169110
503.31	983.3	169928	169928
503.41	983.2	169450	169450
503.51	983.1	170005	170005
503.61	983	170042	170042
503.71	982.9	169760	169760
503.81	982.8	169082	169082
503.91	982.7	169532	169532
504.01	982.6	170537	170537
504.11	982.5	170489	170489
504.21	982.4	169800	169800
504.31	982.3	169910	169910
504.41	982.2	170228	170228
504.51	982.1	171234	171234
504.61	982	170835	170835
504.71	981.9	170702	170702
504.81	981.8	170609	170609
504.91	981.7	170541	170541
505.01	981.6	170414	170414
505.11	981.5	170517	170517
505.21	981.4	171671	171671
505.31	981.3	171300	171300
505.41	981.2	170775	170775
505.51	981.1	171059	171059
505.61	981	171184	171184
505.71	980.9	171557	171557
505.81	980.8	171781	171781
505.91	980.7	171486	171486
506.01	980.6	171792	171792
506.11	980.5	171196	171196
506.21	980.4	172170	172170
506.31	980.3	172761	172761
506.41	980.2	172837	172837
506.51	980.1	173076	173076
506.61	980	173218	173218
506.71	979.9	172985	172985
506.81	979.8	172858	172858
506.91	979.7	173493	173493
507.01	979.6	173099	173099
507.11	979.5	173654	173654
507.21	979.4	173530	173530
507.31	979.3	173380	173380
507.41	979.2	173241	173241
507.51	979.1	173844	173844
507.61	979	174342	174342
507.71	978.9	174234	174234
507.81	978.8	174884	174884
507.91	978.7	175406	175406
508.01	978.6	174315	174315
508.11	978.5	174473	174473
508.21	978.4	174466	174466
508.31	978.3	175025	175025
508.41	978.2	174435	174435
508.51	978.1	174836	174836
508.61	978	175504	175504
508.71	977.9	175742	175742
508.81	977.8	174944	174944
508.91	977.7	175459	175459
509.01	977.6	175702	175702
509.11	977.5	175908	175908
509.21	977.4	174850	174850
509.31	977.3	175350	175350
509.41	977.2	175326	175326
509.51	977.1	176557	176557
509.61	977	176665	176665
509.71	976.9	176270	176270
509.81	976.8	176725	176725
509.91	976.7	176626	176626
510.01	976.6	176656	176656
510.11	976.5	177026	177026
510.21	976.4	177724	177724
510.31	976.3	178149	178149
510.41	976.2	177428	177428
510.51	976.1	177363	177363
510.61	976	177837	177837
510.71	975.9	177635	177635
510.81	975.8	177540	177540
510.91	975.7	177181	177181
511.01	975.6	177972	177972
511.11	975.5	178158	178158
511.21	975.4	178347	178347
511.31	975.3	178124	178124
511.41	975.2	178547	178547
511.51	975.1	179025	179025
511.61	975	178858	178858
511.71	974.9	178709	178709
511.81	974.8	179041	179041
511.91	974.7	179620	179620
512.01	974.6	180203	180203
512.11	974.5	181027	181027
512.21	974.4	181688	181688
512.31	974.3	181955	181955
512.41	974.2	182147	182147
512.51	974.1	183749	183749
512.61	974	183142	183142
512.71	973.9	183922	183922
512.81	973.8	184834	184834
512.91	973.7	185654	185654
513.01	973.6	184985	184985
513.11	973.5	184644	184644
513.21	973.4	184201	184201
513.31	973.3	183500	183500
513.41	973.2	182459	182459
513.51	973.1	181366	181366
513.61	973	180768	180768
513.71	972.9	180063	180063
513.81	972.8	179765	179765
513.91	972.7	178290	178290
514.01	972.6	178068	178068
514.11	972.5	177749	177749
514.21	972.4	177607	177607
514.31	972.3	178002	178002
514.41	972.2	176831	176831
514.51	972.1	176469	176469
514.61	972	176742	176742
514.71	971.9	175972	175972
514.81	971.8	175926	175926
514.91	971.7	176040	176040
