C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
495.91	990.7	48651.7	48651.7
496.01	990.6	48904.7	48904.7
496.11	990.5	48772.4	48772.4
496.21	990.4	48685.4	48685.4
496.31	990.3	48805.6	48805.6
496.41	990.2	48906.6	48906.6
496.51	990.1	48977.6	48977.6
496.61	990	48835.6	48835.6
496.71	989.9	48921.8	48921.8
496.81	989.8	48688.8	48688.8
496.91	989.7	48647.5	48647.5
497.01	989.6	48811.4	48811.4
497.11	989.5	48828.6	48828.6
497.21	989.4	48945.6	48945.6
497.31	989.3	49048.4	49048.4
497.41	989.2	49008.1	49008.1
497.51	989.1	49086.9	49086.9
497.61	989	49250.8	49250.8
497.71	988.9	49063.1	49063.1
497.81	988.8	49031.1	49031.1
497.91	988.7	49022.9	49022.9
498.01	988.6	48808.7	48808.7
498.11	988.5	48975.4	48975.4
498.21	988.4	48854.2	48854.2
498.31	988.3	48945.4	48945.4
498.41	988.2	48901	48901
498.51	988.1	48944.8	48944.8
498.61	988	49049.2	49049.2
498.71	987.9	48998.2	48998.2
498.81	987.8	48943.6	48943.6
498.91	987.7	49188.2	49188.2
499.01	987.6	49036.1	49036.1
499.11	987.5	49306.5	49306.5
499.21	987.4	49118.6	49118.6
499.31	987.3	49294.4	49294.4
499.41	987.2	49209	49209
499.51	987.1	49105	49105
499.61	987	49157	49157
499.71	986.9	49268.3	49268.3
499.81	986.8	49132.5	49132.5
499.91	986.7	48978.8	48978.8
500.01	986.6	48977.5	48977.5
500.11	986.5	49172.6	49172.6
500.21	986.4	49142.9	49142.9
500.31	986.3	48973.1	48973.1
500.41	986.2	49122.9	49122.9
500.51	986.1	49213	49213
500.61	986	49148.8	49148.8
500.71	985.9	49224.2	49224.2
500.81	985.8	49311.2	49311.2
500.91	985.7	49302.7	49302.7
501.01	985.6	49454.8	49454.8
501.11	985.5	49442.7	49442.7
501.21	985.4	49383.5	49383.5
501.31	985.3	49238.3	49238.3
501.41	985.2	49296.5	49296.5
501.51	985.1	49502.8	49502.8
501.61	985	49417.2	49417.2
501.71	984.9	49267.6	49267.6
501.81	984.8	49110.4	49110.4
501.91	984.7	49453.7	49453.7
502.01	984.6	49345.3	49345.3
502.11	984.5	49434.4	49434.4
502.21	984.4	49588.7	49588.7
502.31	984.3	49350.7	49350.7
502.41	984.2	49038.5	49038.5
502.51	984.1	49222.4	49222.4
502.61	984	49557.9	49557.9
502.71	983.9	49547.6	49547.6
502.81	983.8	49432.5	49432.5
502.91	983.7	49461.5	49461.5
503.01	983.6	49590.3	49590.3
503.11	983.5	49652.2	49652.2
503.21	983.4	49519.5	49519.5
503.31	983.3	49807.4	49807.4
503.41	983.2	49614.8	49614.8
503.51	983.1	49518.9	49518.9
503.61	983	49541.3	49541.3
503.71	982.9	49631.3	49631.3
503.81	982.8	49718.1	49718.1
503.91	982.7	49680.1	49680.1
504.01	982.6	49902.1	49902.1
504.11	982.5	49882.1	49882.1
504.21	982.4	49839.8	49839.8
504.31	982.3	49933.3	49933.3
504.41	982.2	49951.5	49951.5
504.51	982.1	50014.4	50014.4
504.61	982	49907.1	49907.1
504.71	981.9	49810.5	49810.5
504.81	981.8	49759.1	49759.1
504.91	981.7	49827.8	49827.8
505.01	981.6	49857.5	49857.5
505.11	981.5	49878.2	49878.2
505.21	981.4	50118	50118
505.31	981.3	50020.2	50020.2
505.41	981.2	50087.8	50087.8
505.51	981.1	50056.7	50056.7
505.61	981	49946.3	49946.3
505.71	980.9	50065.2	50065.2
505.81	980.8	50219.7	50219.7
505.91	980.7	50026.5	50026.5
506.01	980.6	50134.6	50134.6
506.11	980.5	50149.4	50149.4
506.21	980.4	50309.2	50309.2
506.31	980.3	50403.2	50403.2
506.41	980.2	50521.2	50521.2
506.51	980.1	50453.5	50453.5
506.61	980	50396.3	50396.3
506.71	979.9	50486.9	50486.9
506.81	979.8	50550.6	50550.6
506.91	979.7	50506.3	50506.3
507.01	979.6	50565.8	50565.8
507.11	979.5	50742.3	50742.3
507.21	979.4	50625.2	50625.2
507.31	979.3	50919.9	50919.9
507.41	979.2	50776.8	50776.8
507.51	979.1	50609.1	50609.1
507.61	979	50757	50757
507.71	978.9	50760.1	50760.1
507.81	978.8	50950.4	50950.4
507.91	978.7	51101.8	51101.8
508.01	978.6	51068.7	51068.7
508.11	978.5	51081.9	51081.9
508.21	978.4	51164.1	51164.1
508.31	978.3	51306.7	51306.7
508.41	978.2	51214	51214
508.51	978.1	51485.2	51485.2
508.61	978	51628.9	51628.9
508.71	977.9	51784.3	51784.3
508.81	977.8	51678.5	51678.5
508.91	977.7	51619.6	51619.6
509.01	977.6	51840.3	51840.3
509.11	977.5	51826.3	51826.3
509.21	977.4	52046.2	52046.2
509.31	977.3	51992.4	51992.4
509.41	977.2	51902.5	51902.5
509.51	977.1	52274.9	52274.9
509.61	977	52452.5	52452.5
509.71	976.9	52446.6	52446.6
509.81	976.8	52247.6	52247.6
509.91	976.7	52352	52352
510.01	976.6	52361.5	52361.5
510.11	976.5	52798.1	52798.1
510.21	976.4	52950	52950
510.31	976.3	53053.2	53053.2
510.41	976.2	53138.3	53138.3
510.51	976.1	53026.1	53026.1
510.61	976	53155.2	53155.2
510.71	975.9	53153.6	53153.6
510.81	975.8	53510.4	53510.4
510.91	975.7	53339.7	53339.7
511.01	975.6	53610.9	53610.9
511.11	975.5	53702.4	53702.4
511.21	975.4	53757.2	53757.2
511.31	975.3	54046	54046
511.41	975.2	54028.8	54028.8
511.51	975.1	53909.8	53909.8
511.61	975	54205.8	54205.8
511.71	974.9	54317.6	54317.6
511.81	974.8	54561.7	54561.7
511.91	974.7	54518	54518
512.01	974.6	54346.2	54346.2
512.11	974.5	54548.2	54548.2
512.21	974.4	54546.3	54546.3
512.31	974.3	54617.8	54617.8
512.41	974.2	54465.8	54465.8
512.51	974.1	54341.4	54341.4
512.61	974	54390.6	54390.6
512.71	973.9	54215.3	54215.3
512.81	973.8	54075.3	54075.3
512.91	973.7	54034.1	54034.1
513.01	973.6	53821.1	53821.1
513.11	973.5	53701.9	53701.9
513.21	973.4	53830	53830
513.31	973.3	53689	53689
513.41	973.2	53300.5	53300.5
513.51	973.1	52947.2	52947.2
513.61	973	53117.8	53117.8
513.71	972.9	53212.5	53212.5
513.81	972.8	53162.1	53162.1
513.91	972.7	52980.6	52980.6
514.01	972.6	52954.1	52954.1
514.11	972.5	52865.3	52865.3
514.21	972.4	52828.5	52828.5
514.31	972.3	52794.3	52794.3
514.41	972.2	52770.6	52770.6
514.51	972.1	52688.3	52688.3
514.61	972	52502.6	52502.6
514.71	971.9	52311.5	52311.5
514.81	971.8	52704.7	52704.7
514.91	971.7	52717.5	52717.5
515.01	971.6	52509.8	52509.8
515.11	971.5	52406.1	52406.1
515.21	971.4	52323.7	52323.7
515.31	971.3	52362.9	52362.9
515.41	971.2	52337.6	52337.6
515.51	971.1	52084.4	52084.4
515.61	971	52115.6	52115.6
515.71	970.9	52102.1	52102.1
515.81	970.8	52196.5	52196.5
515.91	970.7	52037.1	52037.1
516.01	970.6	51882.3	51882.3
516.11	970.5	51936.9	51936.9
516.21	970.4	51886.7	51886.7
516.31	970.3	52236	52236
516.41	970.2	52091.1	52091.1
516.51	970.1	51937.3	51937.3
516.61	970	51662	51662
516.71	969.9	51752	51752
516.81	969.8	51645.9	51645.9
516.91	969.7	51617.8	51617.8
517.01	969.6	51340.5	51340.5
517.11	969.5	51349.9	51349.9
517.21	969.4	51480.2	51480.2
517.31	969.3	51690.8	51690.8
517.41	969.2	51595.5	51595.5
517.51	969.1	51541.7	51541.7
517.61	969	51409.2	51409.2
517.71	968.9	51536.2	51536.2
517.81	968.8	51499.2	51499.2
517.91	968.7	51201.9	51201.9
518.01	968.6	51281	51281
518.11	968.5	51413.5	51413.5
