C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
491.21	995.4	134687	134687
491.31	995.3	134758	134758
491.41	995.2	135195	135195
491.51	995.1	134805	134805
491.61	995	134850	134850
491.71	994.9	134557	134557
491.81	994.8	134018	134018
491.91	994.7	134695	134695
492.01	994.6	133698	133698
492.11	994.5	134635	134635
492.21	994.4	134948	134948
492.31	994.3	134222	134222
492.41	994.2	133804	133804
492.51	994.1	133369	133369
492.61	994	134497	134497
492.71	993.9	134819	134819
492.81	993.8	134951	134951
492.91	993.7	134464	134464
493.01	993.6	133699	133699
493.11	993.5	134550	134550
493.21	993.4	134386	134386
493.31	993.3	133507	133507
493.41	993.2	134047	134047
493.51	993.1	134981	134981
493.61	993	135074	135074
493.71	992.9	135169	135169
493.81	992.8	135559	135559
493.91	992.7	134948	134948
494.01	992.6	134983	134983
494.11	992.5	135085	135085
494.21	992.4	135528	135528
494.31	992.3	135925	135925
494.41	992.2	135307	135307
494.51	992.1	134940	134940
494.61	992	135970	135970
494.71	991.9	135189	135189
494.81	991.8	136160	136160
494.91	991.7	136308	136308
495.01	991.6	135498	135498
495.11	991.5	135185	135185
495.21	991.4	136225	136225
495.31	991.3	136048	136048
495.41	991.2	135322	135322
495.51	991.1	136459	136459
495.61	991	136770	136770
495.71	990.9	134674	134674
495.81	990.8	134386	134386
495.91	990.7	135610	135610
496.01	990.6	135476	135476
496.11	990.5	136081	136081
496.21	990.4	135602	135602
496.31	990.3	135886	135886
496.41	990.2	134926	134926
496.51	990.1	134399	134399
496.61	990	134419	134419
496.71	989.9	134812	134812
496.81	989.8	135273	135273
496.91	989.7	135400	135400
497.01	989.6	135404	135404
497.11	989.5	135976	135976
497.21	989.4	137135	137135
497.31	989.3	137559	137559
497.41	989.2	136425	136425
497.51	989.1	135373	135373
497.61	989	136053	136053
497.71	988.9	136196	136196
497.81	988.8	136447	136447
497.91	988.7	136463	136463
498.01	988.6	137088	137088
498.11	988.5	136056	136056
498.21	988.4	136370	136370
498.31	988.3	137277	137277
498.41	988.2	137070	137070
498.51	988.1	136809	136809
498.61	988	136008	136008
498.71	987.9	137373	137373
498.81	987.8	136886	136886
498.91	987.7	135963	135963
499.01	987.6	136534	136534
499.11	987.5	137199	137199
499.21	987.4	137062	137062
499.31	987.3	137181	137181
499.41	987.2	136778	136778
499.51	987.1	136952	136952
499.61	987	137517	137517
499.71	986.9	137919	137919
499.81	986.8	137446	137446
499.91	986.7	137474	137474
500.01	986.6	138032	138032
500.11	986.5	137998	137998
500.21	986.4	138302	138302
500.31	986.3	137871	137871
500.41	986.2	137408	137408
500.51	986.1	137945	137945
500.61	986	138803	138803
500.71	985.9	138154	138154
500.81	985.8	138768	138768
500.91	985.7	139075	139075
501.01	985.6	139094	139094
501.11	985.5	139022	139022
501.21	985.4	138918	138918
501.31	985.3	137660	137660
501.41	985.2	138561	138561
501.51	985.1	139246	139246
501.61	985	139001	139001
501.71	984.9	138871	138871
501.81	984.8	138459	138459
501.91	984.7	138785	138785
502.01	984.6	139265	139265
502.11	984.5	139138	139138
502.21	984.4	139562	139562
502.31	984.3	139711	139711
502.41	984.2	139823	139823
502.51	984.1	140261	140261
502.61	984	140367	140367
502.71	983.9	138873	138873
502.81	983.8	138971	138971
502.91	983.7	140357	140357
503.01	983.6	140204	140204
503.11	983.5	139119	139119
503.21	983.4	139704	139704
503.31	983.3	140240	140240
503.41	983.2	141058	141058
503.51	983.1	140560	140560
503.61	983	139887	139887
503.71	982.9	140086	140086
503.81	982.8	139908	139908
503.91	982.7	139793	139793
504.01	982.6	140203	140203
504.11	982.5	141388	141388
504.21	982.4	140424	140424
504.31	982.3	140616	140616
504.41	982.2	139893	139893
504.51	982.1	140551	140551
504.61	982	140820	140820
504.71	981.9	139855	139855
504.81	981.8	139150	139150
504.91	981.7	139974	139974
505.01	981.6	140678	140678
505.11	981.5	140955	140955
505.21	981.4	141346	141346
505.31	981.3	142498	142498
505.41	981.2	140628	140628
505.51	981.1	140942	140942
505.61	981	141715	141715
505.71	980.9	141986	141986
505.81	980.8	142376	142376
505.91	980.7	142235	142235
506.01	980.6	142342	142342
506.11	980.5	142726	142726
506.21	980.4	143514	143514
506.31	980.3	143278	143278
506.41	980.2	142612	142612
506.51	980.1	142658	142658
506.61	980	142353	142353
506.71	979.9	142266	142266
506.81	979.8	143105	143105
506.91	979.7	143318	143318
507.01	979.6	143132	143132
507.11	979.5	143534	143534
507.21	979.4	142768	142768
507.31	979.3	142195	142195
507.41	979.2	143817	143817
507.51	979.1	144142	144142
507.61	979	144476	144476
507.71	978.9	145313	145313
507.81	978.8	144561	144561
507.91	978.7	143999	143999
508.01	978.6	144002	144002
508.11	978.5	144364	144364
508.21	978.4	144128	144128
508.31	978.3	143598	143598
508.41	978.2	144979	144979
508.51	978.1	145280	145280
508.61	978	145184	145184
508.71	977.9	144983	144983
508.81	977.8	145253	145253
508.91	977.7	145083	145083
509.01	977.6	145125	145125
509.11	977.5	145286	145286
509.21	977.4	145788	145788
509.31	977.3	145083	145083
509.41	977.2	145189	145189
509.51	977.1	145722	145722
509.61	977	145449	145449
509.71	976.9	146355	146355
509.81	976.8	145856	145856
509.91	976.7	146735	146735
510.01	976.6	146004	146004
510.11	976.5	145568	145568
510.21	976.4	145647	145647
510.31	976.3	146736	146736
510.41	976.2	145916	145916
510.51	976.1	145391	145391
510.61	976	145950	145950
510.71	975.9	146075	146075
510.81	975.8	147209	147209
510.91	975.7	147535	147535
511.01	975.6	146817	146817
511.11	975.5	147353	147353
511.21	975.4	148282	148282
511.31	975.3	146879	146879
511.41	975.2	146693	146693
511.51	975.1	146753	146753
