C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
1425.11	61.5	7553.22	7553.22
1425.61	61	7508.22	7508.22
1426.11	60.5	7479.96	7479.96
1426.61	60	7432.5	7432.5
1427.11	59.5	7324.74	7324.74
1427.61	59	7186.91	7186.91
1428.11	58.5	7077.11	7077.11
1428.61	58	7206.28	7206.28
1429.11	57.5	7162.8	7162.8
1429.61	57	7141.29	7141.29
1430.11	56.5	7249.86	7249.86
1430.61	56	7210.31	7210.31
1431.11	55.5	7106.18	7106.18
1431.61	55	7198.68	7198.68
1432.11	54.5	7171.24	7171.24
1432.61	54	7366.18	7366.18
1433.11	53.5	7254.1	7254.1
1433.61	53	7261.41	7261.41
1434.11	52.5	7279.78	7279.78
1434.61	52	7353.28	7353.28
1435.11	51.5	7433.09	7433.09
1435.61	51	7426.54	7426.54
1436.11	50.5	7182.65	7182.65
1436.61	50	7281.15	7281.15
1437.11	49.5	7346.98	7346.98
1437.61	49	7293.99	7293.99
1438.11	48.5	7436.16	7436.16
1438.61	48	7465.51	7465.51
1439.11	47.5	7300.46	7300.46
1439.61	47	7285.24	7285.24
1440.11	46.5	7317.32	7317.32
1440.61	46	7332.57	7332.57
